edoC dooF,Fis,h Name,snoigeR fo .oN,Magnesium (Mg),Manganese (Mn),Mercury (Hg),Molebdenum (Mo),Nickel (Ni),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn)
,,,,mg,mgg,,mg,mg,mg,mgg,,mg,mg
,,,,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
P084,T u n a (Euthynnu,s affinis),5,35.85±1.59,0.02±0.01,,0.002±0.001,0.007±0.002,292±39.6,357±20.6,21.55±5.13,52.89±10.16,0.69±0.20
P085,"Tuna, stri p e d (K",atsuwonus pelamis),1,26.02,0.02,,,0.004,209,273,23.85,22.60,0.46
P086,Vala v a (Chiroce,ntrus nudus),1,39.05,0.02,,,0.004,229,365,32.02,91.91,0.42
P087,Vanjaram (Scom commerson),beromorus,2,36.73,0.01,,0.002,,302,473,32.64,34.85,0.74
P088,Vela me e n (Apri,on virescens),1,31.93,0.02,,0.001,0.011,280,387,35.45,38.15,0.36
P089,V o r a (Siganus ja,vus),2,32.27,0.01,,,0.003,246,401,23.65,43.66,0.29
P090,Whale sh a r k (G,aleocerdo cuvier),1,20.61,0.01,,,0.001,274,365,33.95,116,0.38
P091,Xiph i n i s (Xiphia,s gladius),1,26.38,0.01,,,0.002,255,306,32.82,66.21,0.56
P092,"Z.Eggs, Cat fish bimaculatus)",(Ompok,1,59.93,0.50,2.26,,0.016,445,252,43.57,54.83,3.11
,,,,,,,,,,,,,
Q,MARINE S,HELLFISH,,,,,,,,,,,
Q001,C r a b (Menippe m,ercenaria),1,38.04,0.33,4.61,0.024,0.024,100,171,34.80,244,0.76
Q002,"Crab, sea (Portu",nus sanguinolentus),1,80.04,0.16,,0.012,0.003,193,252,37.69,313,3.07
Q003,"Lobster, bro w n",(Thenus orientalis),1,45.34,0.07,,0.004,0.005,223,212,33.82,140,1.16
Q004,"Lobster, king si orientalis)",ze(Thenus,1,50.16,0.04,14.58,,0.006,261,315,69.71,191,1.92
Q005,Mud c r a b (Scylla,tranquebarica),1,46.92,0.79,,,0.002,153,227,51.97,305,3.30
Q006,Oys t e r (Crassos,trea sp.),1,22.24,0.56,,0.071,,170,122,28.91,41.01,7.35
Q007,"Tiger prawns, b crassicornis)",rown (Solenocera,1,45.93,0.03,,,0.003,189,141,46.95,188,1.10
Q008,"Tiger Prawns, o monodon)",range (Penaeus,1,30.50,0.02,,0.001,0.003,191,140,54.22,61.05,1.16
