Ta,,,,,,,,,,,,,
ble,,,sn,Magnesium,Manganese,Mercury,Molebdenum,Nickel,Phosphorus,Potassium,Selenium,Sodium,Zinc
5.,ed,,oi,(Mg),(Mn),(Hg),(Mo),(Ni),(P),(K),(Se),(Na),(Zn)
Min,oC,Fish Name,geR,,,,,,,,,,
erals,doo,,fo .,mg,mgg,,mg,mg,mg,mgg,,mg,mg
and,F,,oN,MG,MN,HG,MO,NI,P,K,SE,NA,ZN
Tr,,,,,,,,,,,,,
ace,R,MARINE MOLLUSKS,,,,,,,,,,,
Ele,,,,,,,,,,,,,
me,R001,"Clam, green s h e l l (Perna viridis )",1,73.64,0.34,,0.044,0.036,128,152,76.34,322,1.64
nts,,,,,,,,,,,,,
,,"Clam, white shell, ribbed (Meretrix",,,,,,,,,,,
,R002,meretrix),1,86.64,0.22,,0.048,0.044,192,245,32.81,404,1.16
,,,,,,,,,,,,,
,R003,Octopus (Octopus vulgaris),1,50.92,0.04,1.37,0.003,0.007,131,181,40.21,230,4.07
,,,,,,,,,,,,,
,R004,"Squid, black (Loligo sp.)",1,41.99,0.03,0.95,,0.004,173,162,57.13,179,1.24
,,,,,,,,,,,,,
,R005,"Squid, hard s h e l l (Sepia pharaonis)",1,35.46,0.02,,,,173,116,41.34,99.14,1.30
,,,,,,,,,,,,,
,R006,"Squid, red (Loligo duvaucelii)",2,35.74,0.02,,0.001,0.003,167,134,47.43,121,0.95
,,,,,,,,,,,,,
,,"Squid, white, small",,,,,,,,,,,
,R007,(Uroteuthis duvauceli),1,38.53,0.02,1.67,,0.006,151,134,70.02,154,1.64
,,,,,,,,,,,,,
168,,,,,,,,,,,,,
,,,,,,,,,,,,,
,S,FRESHWATER FISH AND S,HELL,FISH,,,,,,,,,
,,,,,,,,,,,,,
,S001,Cat fish (Tandanus tandanus),2,18.78±6.65,0.02±0.03,1.89±2.43,,0.004±0.002,157±58.6,250±83.0,71.03±12.14,28.29±11.65,0.71±0.24
,,,,,,,,,,,,,
,S002,Catla (Catla catla),6,25.58±0.87,0.03±0.02,1.59±1.06,0.001±0.000,0.006±0.002,182±7,301±29.0,19.73±26.86,36.56±6.32,0.68±0.13
,,,,,,,,,,,,,
,S003,Freshwater E e l (Anguilla anguilla),1,42.50,0.13,3.97,,0.012,361,450,67.32,88.67,2.23
,,,,,,,,,,,,,
,S004,Gold fish (Carassius auratus),2,21.66,0.02,2.29,,0.01,185,243,14.22,27.53,1.69
,,,,,,,,,,,,,
,,Pangas (Pangasianodon,,,,,,,,,,,
,S005,hypophthalmus),6,25.09±4.41,0.03±0.01,0.26±0.20,0.001±0.000,0.003±0.002,179±37.0,282±78.6,19.31±6.56,37.42±9.50,0.69±0.16
,,,,,,,,,,,,,
,S006,Rohu (Labeo rohita),6,26.53±3.81,0.04±0.02,1.71±2.54,,0.005±0.002,200±48.7,303±72.4,51.50±11.49,35.56±6.36,0.80±0.11
,,,,,,,,,,,,,
,S007,Crab (Pachygrapsus sp.),1,66.77,0.09,4.04,,0.001,208,286,71.84,280,2.49
,,,,,,,,,,,,,
,,"Prawns, big (Macrobrachium",,,,,,,,,,,
,S008,rosenbergii),1,39.25,0.03,0.94,0.002,0.006,237,269,28.59,849,1.44
,,,,,,,,,,,,,
,S009,"Prawns, sm a l l (Macrobrachium sp.)",3,26.91,0.02,0.78,0.004,0.006,192,224,19.92,77.71,0.87
,,,,,,,,,,,,,
,S010,Tiger praw n s (Macrobrachium sp.),2,22.94,0.08,0.40,,0.005,155,149,14.69,80.77,1.02
