edoc dooF,Foo,d Name,snoigeR fo .oN,Total T Available CHO,otal Starch,Fructose,Glucose,Sucrose,Maltose,Total Free Sugars
,,,,,,,g,,,
,,,,,STARCH,FRUS,GLUS,SUCS,MALS,
A,CEREALS,AND MILLETS,,,,,,,,
A001,"Amaranth seed, black (Am",aranthus cruentus),1,56.71,55.83,0.10,0.22,0.46,0.10,0.88
A002,"Amaranth seed, pale brow",n (Amaranthus cruentus),6,60.13±1.30,59.33±1.31,0.10±0.01,0.22±0.04,0.48±0.04,,0.80±0.07
A003,Bajra (Pennisetum typhoide,um),6,56.02±2.57,55.21±2.57,0.21±0.01,0.60±0.02,,,0.81±0.01
A004,Barley (Hordeum vulgare),,6,72.73±2.93,72.67±2.92,,0.06±0.02,,,0.06±0.02
A005,Jowar (Sorghum vulgare),,6,60.96±1.70,59.70±1.70,0.57±0.07,0.10±0.01,0.60±0.04,,1.27±0.05
A006,"Maize, dry (Zea mays)",,6,61.01±0.76,59.35±0.83,0.16±0.03,0.80±0.01,0.70±0.03,,1.66±0.04
A007,"Maize, tender, local (Zea m",ays),6,17.35±2.78,15.88±2.80,0.27±0.03,0.80±0.06,0.40±0.04,,1.47±0.05
A008,"Maize, tender, sweet (Zea",mays),4,12.11±0.64,7.45±0.68,0.91±0.04,0.97±0.02,2.79±0.03,,4.67±0.05
A009,Quinoa(Chenopodium quin,oa),1,49.82,48.41,,1.41,,,1.41
A010,Ragi (Eleusine coracana),,5,62.47±1.24,62.13±1.31,,0.25±0.06,0.12±0.02,,0.34±0.06
A011,Rice flakes (Oryza sativa ),,6,68.40±1.67,68.06±1.81,,0.20±0.07,0.14±0.02,,0.34±0.06
A012,Rice puffed (Oryza sativa ),,6,69.89±2.19,69.25±2.16,,0.49±0.07,0.15±0.03,,0.64±0.08
A013,"Rice, raw, brown (Oryza s",ativa ),6,72.00±1.87,71.31±1.91,,0.55±0.08,0.14±0.02,,0.69±0.08
A014,"Rice, parboiled, milled (O",ryza sativa ),6,76.80±5.71,76.14±5.73,,0.51±0.24,0.16±0.06,,0.67±0.25
A015,"Rice, raw, milled (Oryza s",ativa ),6,76.39±2.76,75.70±2.70,,0.54±0.25,0.15±0.06,,0.69±0.28
A016,Samai (Panicum miliare),,6,56.43±4.09,56.07±4.12,,0.24±0.10,0.13±0.01,,0.37±0.09
A017,Varagu (Setaria italica),,5,66.25±2.90,64.96±2.93,,0.89±0.11,0.40±0.02,,1.29±0.10
A018,"Wheat flour, refined (Tritic",um aestivum),6,71.82±1.07,70.03±1.01,0.64±0.03,0.75±0.02,0.40±0.05,,1.79±0.08
