Ta,,,,,,,,,,,,
ble,,,,,sn,Total,,,,,,Total Free
6.,ed,,,,oig A,T vailable CHO,otal Starch,Fructose,Glucose,Sucrose,Maltose,Sugars
Sta,oc,,Foo,d Name,eR,,,,,,,
rch,doo,,,,fo,,,,g,,,
an,F,,,,.o,,,,,,,
d,,,,,N,,STARCH,FRUS,GLUS,SUCS,MALS,
Indiv,,,,,,,,,,,,
id,A019,"Wheat flour,",atta (Triticum,aestivum),6,58.62±2.68,56.82±2.69,0.72±0.03,0.78±0.05,0.30±0.02,,1.80±0.06
ual,,,,,,,,,,,,
Sugars,A020,"Wheat, whol",e (Triticum aes,tivum),6,59.30±1.86,57.53±1.86,0.74±0.11,0.73±0.08,0.30±0.09,,1.77±0.15
,A021,"Wheat, bulg",ur (Triticum ae,stivum),6,61.74±3.52,60.54±3.62,0.32±0.34,0.55±0.13,0.33±0.08,,1.20±0.24
,,,,,,,,,,,,
,A022,"Wheat, semo",lina (Triticum,aestivum),6,59.85±2.99,58.20±2.95,0.60±0.04,0.55±0.03,0.50±0.04,,1.65±0.08
,,,,,,,,,,,,
,A023,"Wheat, verm",icelli (Triticum,aestivum),6,56.99±1.91,55.31±1.93,0.60±0.02,0.58±0.02,0.50±0.02,,1.68±0.03
,,,,,,,,,,,,
,A024,"Wheat, verm","icelli, roasted",(Triticum aestivum),6,56.69±2.10,54.55±2.05,0.63±0.16,1.01±0.02,0.50±0.05,,2.14±0.17
,,,,,,,,,,,,
,B,GRAIN L,EGUMES,,,,,,,,,
,,,,,,,,,,,,
,B001,Bengal gram,", dal (Cicer ar",ietinum),6,41.52±0.87,40.49±0.83,0.10±0.02,0.10±0.01,0.63±0.23,0.20±0.03,1.03±0.23
,,,,,,,,,,,,
,B002,Bengal gram,", whole (Cice",r arietinum),6,36.68±3.62,35.69±3.63,0.10±0.01,0.10±0.01,0.69±0.16,0.10±0.01,0.99±0.16
172,,,,,,,,,,,,
,B003,"Black gram,",dal (Phaseolu,s mungo),6,48.73±1.91,47.89±1.90,0.20±0.03,0.20±0.02,0.44±0.14,,0.84±0.15
,,,,,,,,,,,,
,B004,"Black gram,",whole (Phase,olus mungo),6,42.64±5.56,42.19±5.52,0.10±0.01,0.10±0.02,0.30±0.02,,0.45±0.24
,,,,,,,,,,,,
,B005,"Cowpea, bro",wn (Vigna cat,jang),6,47.09±0.79,45.49±0.66,0.30±0.19,0.61±0.24,0.68±0.20,,1.60±0.38
,,,,,,,,,,,,
,B006,"Cowpea, whi",te (Vigna catj,ang),1,47.51,46.33,0.13,0.39,0.67,,1.18
,,,,,,,,,,,,
,B007,"Field bean, b",lack (Phaseol,us vulgaris),1,41.22,40.07,0.20,0.53,0.42,,1.15
,,,,,,,,,,,,
,B008,"Field bean, b",rown (Phase,olus vulgaris),1,43.47,42.30,0.20,0.29,0.68,,1.17
,,,,,,,,,,,,
,B009,"Field bean,",white (Phaseo,lus vulgaris),5,44.32±1.37,42.25±0.52,0.10±0.01,0.41±0.06,0.56±0.23,,1.07±0.28
,,,,,,,,,,,,
,B010,"Green gram,",dal (Phaseolu,s aureus),6,42.01±0.79,41.06±0.64,0.10±0.01,0.30±0.02,0.55±0.20,,0.95±0.41
,,,,,,,,,,,,
,B011,"Green gram,",whole (Phase,olus aureus),6,39.75±5.41,39.21±5.42,0.10±0.02,0.14±0.02,0.30±0.11,,0.54±0.11
,,,,,,,,,,,,
,B012,"Horse gram,",whole (Dolicu,s biflorus),6,48.31±1.68,47.96±1.68,0.10±0.03,0.15±0.03,0.10±0.01,,0.35±0.05
,,,,,,,,,,,,
,B013,Lentil dal (Le,ns culinaris),,6,46.39±2.28,44.44±2.17,0.80±0.16,0.30±0.01,0.85±0.02,,1.95±0.17
,,,,,,,,,,,,
,B014,"Lentil whole,",brown (Lens,culinaris),6,43.03±1.05,41.41±0.92,0.78±0.22,0.15±0.06,0.71±0.11,,1.63±0.33
,,,,,,,,,,,,
,B015,"Lentil whole,",yellowish (L,ens culinaris),2,43.58,42.08,0.50,0.23,0.77,,1.50
