,,,,,,,,g,,
,,,,,,STARCH,FRUS,GLUS,SUCS MALS,
B016,Moth bean (Vigna,aconitifolia),,6,48.00±0.72,46.64±0.76,0.10±0.01,0.62±0.03,0.64±0.11,1.36±0.11
B017,"Peas, dry (Pisum",sativum),,6,45.07±2.32,43.04±2.09,0.61±0.04,0.48±0.26,0.94±0.08,2.03±0.26
B018,"Rajmah, black (Ph",aseolus vulgari,s),2,40.46,38.45,,0.18,1.84,2.02
B019,"Rajmah, brown (P",haseolus vulga,ris),6,40.32±2.28,38.05±2.28,,0.39±0.16,1.88±0.49,2.27±0.53
B020,"Rajmah, red (Pha",seolus vulgaris),,3,40.07±0.51,38.55±0.28,,0.23±0.04,1.29±0.23,1.52±0.26
B021,"Red gram, dal (Ca",janus cajan),,6,50.60±1.41,48.53±1.24,0.10±0.02,0.20±0.02,1.78±0.17,2.08±0.14
B022,"Red gram, whole",(Cajanus cajan),,6,40.27±2.16,38.97±1.91,0.10±0.01,0.20±0.02,1.00±0.07,1.30±0.09
B023,Ricebean (Vigna u,mbellata),,1,45.38,44.05,0.20,0.73,0.40,1.33
B024,"Soya bean, brown",(Glycine max),,6,9.16±1.10,6.65±1.34,0.20±0.02,0.63±0.25,1.68±0.39,2.51±0.43
B025,"Soya bean, white",(Glycine max),,1,9.46,7.26,0.20,0.56,1.44,2.20
C,GREEN LEA,FY VEGETA,BLES,,,,,,,
C001,Agathi leaves (Se,sbania grandiflo,ra),1,3.95,3.72,0.10,0.10,0.03,0.23
C002,"Amaranth leaves,",green (Amaran,thus gangeticus),6,1.02±0.02,0.70±0.01,0.09±0.01,0.19±0.02,0.04±0.02,0.32±0.02
C003,"Amaranth leaves,",red (Amaranthu,s gangeticus),1,1.05,0.77,0.24,0.04,,0.28
C004,"Amaranth leaves,",red and green,(Amaranthus gangeticus),4,1.10±0.12,0.95±0.04,0.03±0.02,0.12±0.10,,0.15±0.11
C005,Amaranth spinos spinosus),"us, leaves, gre",en (Amaranthus,4,0.83±0.03,0.69±0.02,0.01±0.01,0.13±0.02,,0.14±0.02
C006,Amaranth spinos spinosus),"us, leaves, red",and green (Amaranthus,2,0.86,0.73,0.01,0.12,,0.13
C007,Basella leaves (B,asella alba),,2,1.69,1.67,0.01,0.01,0.01,0.02
C008,Bathua leaves (C,henopodium alb,um),2,1.59,1.07,0.01,0.51,,0.52
C009,Beet greens (Beta,vulgaris),,6,2.18±0.05,2.05±0.03,0.03±0.02,0.10±0.01,,0.13±0.02
C010,"Betel leaves, big (",kolkata) (Piper,betle),6,6.61±0.06,6.24±0.04,0.20±0.01,0.17±0.02,,0.37±0.03
