edoc dooF,F,ood Name,,snoigeR A fo .oN,Total T vailable CHO,otal Starch,Fructose,Glucose,Sucrose Maltose,Total Free Sugars
,,,,,,,,g,,
,,,,,,STARCH,FRUS,GLUS,SUCS MALS,
C011,"Betel leaves, small (Pipe",r betle),,4,5.54±0.03,5.14±0.02,0.20±0.02,0.20±0.02,,0.40±0.03
C012,Brussels sprouts (Brassi,ca olerace,a var. gemmifera),1,4.42,4.31,0.04,0.05,0.08,0.17
C013,"Cabbage, Chinese (Bras",sica rupa),,1,1.42,1.00,0.20,0.10,0.12,0.42
C014,"Cabbage, collard greens",(Brassica,oleracea var. viridis),1,2.35,1.59,0.41,0.24,0.11,0.76
C015,"Cabbage, green (Brassic",a oleracea,var. capitata f. alba),6,1.54±0.21,0.53±0.13,0.52±0.08,0.26±0.09,0.23±0.08,1.00±0.11
C016,"Cabbage, violet (Brassic",a oleracea,var. capitata f. rubra),2,1.33,0.54,0.43,0.18,0.19,0.80
C017,Cauliflower leaves (Bras,sica olerac,ea var. botrytis),6,2.15±0.07,1.53±0.03,0.32±0.01,0.24±0.02,0.05±0.03,0.61±0.04
C018,"Colocasia leaves, green",(Colocasia,anti-quorum),6,2.72±0.09,2.10±0.03,0.20±0.04,0.10±0.01,0.33±0.03,0.63±0.07
C019,Drumstick leaves (Morin,ga oleifera),,3,2.51±0.12,2.49±0.12,,0.02±0.01,,0.02±0.01
C020,Fenugreek leaves (Trigon,ella foenu,m graecum),5,1.48±0.05,0.60±0.07,0.71±0.08,0.17±0.03,,0.88±0.08
C021,Garden cress (Lepidium,sativum),,2,2.17,1.25,0.10,0.72,0.10,0.92
C022,"Gogu leaves, green (Hibi",scus cann,abinus),4,1.16±0.06,1.15±0.06,,0.01±0.01,,0.01±0.01
C023,"Gogu leaves, red (Hibisc",us cannabi,nus),1,1.17,1.16,,0.01,,0.01
C024,"Knol-Khol, leaves (Brass",ica olerace,a var. gongylodes),2,4.57,4.47,,0.05,0.05,0.10
C025,Lettuce (Lactuca sativa),,,3,1.72±0.09,1.50±0.14,0.17±0.04,0.05±0.01,,0.22±0.05
C026,Mustard leaves (Brassica,juncea),,3,1.45±0.09,1.41±0.07,,0.02±0.01,0.02±0.02,0.04±0.03
C027,Pak Choi leaves(Brassic,a rapa var.,Chinensis),1,1.62,1.10,0.10,0.20,0.22,0.52
C028,Parsley (Petroselinum cri,spum),,3,7.05±0.07,6.36±0.10,0.29±0.02,0.20±0.03,0.20±0.02,0.69±0.03
C029,Ponnaganni (Alternanthe,ra sessilis),,2,4.10,3.66,0.11,0.33,,0.44
C030,"Pumpkin leaves, tender",(Cucurbita,maxima),6,2.20±0.03,2.10±0.02,,0.10±0.02,,0.10±0.02
