edoc dooF,,Food Name,snoigeR A fo .oN,Total T vailable CHO,otal Starch,Fructose,Glucose,Sucrose Maltose,Total Free Sugars
,,,,,,,g,,
,,,,,STARCH,FRUS,GLUS,SUCS MALS,
D017,Brinjal-8 (Solanum m,elongena),3,2.77±0.07,1.98±0.02,0.41±0.20,0.11±0.03,0.27±0.18,0.79±0.06
D018,Brinjal-9(Solanum m,elongena),2,2.45,1.54,0.47,0.23,0.21,0.91
D019,Brinjal-10 (Solanum,melongena),2,2.15,1.29,0.50,0.23,0.13,0.86
D020,Brinjal-11 (Solanum,melongena),6,2.81±0.10,1.76±0.04,0.54±0.03,0.21±0.01,0.30±0.06,1.05±0.08
D021,Brinjal-12 (Solanum,melongena),2,1.97,0.75,0.82,0.14,0.27,1.22
D022,Brinjal-13(Solanum,melongena),1,2.27,1.12,0.59,0.37,0.19,1.15
D023,Brinjal-14(Solanum,melongena),3,1.80±0.16,0.92±0.01,0.40±0.02,0.28±0.07,0.20±0.20,0.88±0.17
D024,Brinjal-15 (Solanum,melongena),4,1.90±0.12,1.08±0.01,0.40±0.02,0.15±0.02,0.27±0.13,0.82±0.12
D025,Brinjal-16(Solanum,melongena),1,1.60,0.61,0.54,0.13,0.32,0.99
D026,Brinjal-17(Solanum,melongena),1,1.47,0.62,0.40,0.26,0.19,0.85
D027,Brinjal-18 (Solanum,melongena),3,2.72±0.85,1.28±0.57,0.95±0.44,0.20±0.23,0.29±0.28,1.44±0.43
D028,Brinjal-19(Solanum,melongena),3,2.02±0.02,1.05±0.02,0.50±0.03,0.32±0.04,0.14±0.02,0.96±0.01
D029,Brinjal-20(Solanum,melongena),5,2.83±0.04,2.08±0.02,0.42±0.02,0.21±0.02,0.12±0.01,0.76±0.03
D030,Brinjal-21(Solanum,melongena),2,2.01,1.08,0.70,0.07,0.15,0.93
D031,Brinjal - all varieties,(Solanum melongena),6,2.28±0.51,1.31±0.48,0.55±0.19,0.20±0.09,0.22±0.12,0.97±0.21
D032,Broad beans (Vicia f,aba),3,2.06±0.06,0.84±0.03,0.61±0.02,0.41±0.02,0.20±0.02,1.22±0.05
D033,"Capsicum, green (C",apsicum annuum),6,1.16±0.10,0.31±0.02,0.42±0.04,0.20±0.07,0.23±0.01,0.86±0.11
D034,"Capsicum, red (Cap",sicum annuum),4,1.01±0.05,0.08±0.02,0.34±0.03,0.26±0.02,0.33±0.01,0.93±0.05
D035,"Capsicum, yellow (",Capsicum annuum),4,1.10±0.03,0.12±0.01,0.38±0.02,0.25±0.03,0.35±0.03,0.97±0.04
D036,Cauliflower (Brassic,a oleracea),6,1.05±0.07,0.59±0.11,0.27±0.06,0.14±0.03,0.06±0.06,0.47±0.10
