edoc dooF,,,Food Na,me,snoigeR A fo .oN,Total T vailable CHO,otal Starch,Fructose,Glucose,Sucrose,Maltose,Total Free Sugars
,,,,,,,,,g,,,
,,,,,,,STARCH,FRUS,GLUS,SUCS,MALS,
D059,"Papaya, raw (",Cari,ca papaya),,6,3.63±0.24,,2.64±0.17,0.99±0.07,,,3.63±0.24
D060,Parwar (Tricho,san,thes dioica),,6,1.26±0.21,0.90±0.09,0.31±0.12,0.06±0.05,,,0.37±0.17
D061,"Peas, fresh (P",isu,m sativum),,6,7.89±0.50,6.92±0.49,0.41±0.02,0.20±0.02,0.36±0.02,,0.97±0.02
D062,"Plantain, flow",er (,Musa x paradis,iaca),6,2.03±0.11,1.86±0.11,0.13±0.01,0.04±0.01,,,0.17±0.01
D063,"Plantain, gree",n (,Musa x paradis,iaca),6,16.29±1.65,15.43±1.15,0.76±0.59,0.10±0.11,,,0.86±0.67
D064,"Plantain, stem",(M,usa x paradisi,aca),6,5.15±0.70,4.51±0.34,,0.65±0.45,,,0.65±0.45
D065,"Pumpkin, gre","en,",cylindrical (C,ucurbita maxima),1,3.10,0.20,1.03,1.01,0.86,,2.90
D066,"Pumpkin, ora",nge,", round (Cucu",rbita maxima),6,3.30±0.12,0.33±0.08,1.90±0.24,0.33±0.15,0.74±0.33,,2.97±0.15
D067,"Red gram, ten",der,", fresh (Cajan",us cajan),1,14.57,14.02,0.22,0.10,0.23,,0.55
D068,Ridge gourd (,Luff,a acutangula),,6,1.40±0.07,0.81±0.12,0.45±0.11,0.08±0.05,0.03±0.00,0.06±0.01,0.62±0.18
D069,"Ridge gourd,",sm,ooth skin (Luff,a acutangula),3,1.19±0.16,0.79±0.05,0.32±0.11,0.06±0.04,0.02±0.02,0.01±0.00,0.41±0.16
D070,"Snake gourd,",lon,"g, pale green",(Trichosanthes anguina),6,1.20±0.56,0.78±0.55,0.31±0.03,0.05±0.05,0.01±0.01,0.05±0.02,0.42±0.05
D071,"Snake gourd,",lon,"g, dark green",(Trichosanthes anguina),2,1.19,0.74,0.30,0.10,0.01,0.04,0.45
D072,"Snake gourd,",sh,ort (Trichosant,hes anguina),1,1.18,0.72,0.31,0.12,0.01,0.01,0.46
D073,"Tinda, tender",(Pr,aecitrullus fistu,losus),6,1.07±0.06,0.64±0.02,0.25±0.03,0.07±0.03,,0.12±0.02,0.44±0.06
D074,"Tomato, gree",n (L,ycopersicon es,culentum),6,1.31±0.04,0.48±0.03,0.41±0.02,0.42±0.02,,,0.83±0.02
D075,"Tomato, ripe,",hyb,rid (Lycopersi,con esculentum),6,1.82±0.18,,1.65±0.15,0.18±0.05,,,1.82±0.18
D076,"Tomato, ripe,",loc,al (Lycopersico,n esculentum),6,1.34±0.19,,1.16±0.18,0.18±0.07,,,1.34±0.19
D077,"Zucchini, gre",en (,Cucurbita pepo,),2,1.61,1.47,0.12,0.02,,,0.14
