edoc dooF,,,Foo,d Name,,snoigeR A fo .oN,Total T vailable CHO,otal Starch,Fructose,Glucose,Sucrose Maltose,Total Free Sugars
,,,,,,,,,,g,,
,,,,,,,,STARCH,FRUS,GLUS,SUCS MALS,
E021,Goosberry (E,mbli,ca officina,lis),,5,3.95±0.05,0.56±0.03,2.10±0.02,1.29±0.02,,3.39±0.02
E022,"Grapes, seed","ed,","round, bla",ck (Vitis vi,nifera),4,10.02±0.05,,7.10±0.02,2.77±0.03,0.15±0.03,10.02±0.05
E023,"Grapes, seed","ed,","round, gre",en (Vitis vi,nifera),5,9.59±0.02,,7.11±0.03,2.38±0.02,0.10±0.01,9.59±0.02
E024,"Grapes, seed","ed,","round, red",(Vitis vinif,era),5,10.47±0.07,,7.80±0.02,2.57±0.04,0.10±0.02,10.47±0.07
E025,"Grapes, seed",less,", oval, bla",ck (Vitis vi,nifera),5,9.19±0.03,,7.08±0.01,2.01±0.02,0.10±0.01,9.19±0.03
E026,"Grapes, seed",less,", round, g",reen (Vitis,vinifera),5,9.60±0.06,,7.35±0.06,2.15±0.01,0.10±0.03,9.60±0.06
E027,"Grapes, seed",less,", round, b",lack (Vitis,vinifera),5,10.88±0.05,,7.49±0.03,3.29±0.03,0.10±0.02,10.88±0.05
E028,"Guava, white",fles,h (Psidium,guajava),,5,4.74±0.08,0.63±0.02,2.00±0.04,1.90±0.02,0.20±0.03,4.10±0.07
E029,"Guava, pink f",lesh,(Psidium,guajava),,5,8.49±0.58,0.70±0.03,4.01±0.32,3.60±0.02,0.18±0.01,7.79±1.29
E030,"Jack fruit, rip",e (A,rtocarpus,heterophyll,us),5,12.71±0.04,0.50±0.03,4.12±0.03,3.33±0.03,4.76±0.03,12.21±0.02
E031,"Jambu fruit, r",ipe,(Syzygium,cumini),,2,8.32,1.48,4.47,2.21,0.16,6.84
E032,Karonda fruit,(Ca,rissa cara,ndas),,1,2.55,0.80,1.19,0.56,,1.75
E033,"Lemon, juice",(Cit,rus limon),,,6,2.59±0.06,,1.01±0.03,1.28±0.04,0.30±0.02,2.59±0.06
E034,"Lime, sweet,",pulp,(Citrus lim,etta),,6,3.94±0.03,0.52±0.03,0.70±0.02,2.60±0.01,0.12±0.01,3.42±0.01
E035,Litchi (Nephe,lium,litchi),,,4,9.30±0.06,,4.05±0.04,2.17±0.04,3.08±0.02,9.30±0.06
E036,"Mango, ripe,",ban,ganapalli,(Mangifera,indica),6,7.77±0.07,,2.38±0.03,0.73±0.02,4.66±0.09,7.77±0.07
E037,"Mango, ripe,",gula,bkhas (M,angifera ind,ica),2,8.13,,3.90,2.60,1.63,8.13
E038,"Mango, ripe,",him,sagar (Ma,ngifera indi,ca),3,8.06±0.07,,4.50±0.01,0.55±0.04,3.01±0.02,8.06±0.07
E039,"Mango, ripe,",kes,ar (Mangife,ra indica),,4,9.00±0.05,,4.80±0.02,2.65±0.01,1.55±0.04,9.00±0.05
E040,"Mango, ripe,",nee,lam (Mang,ifera indica,),2,7.94,,4.42,2.71,0.81,7.94
