edoc dooF,Food,Name,snoigeR A fo .oN,Total T vailable CHO,otal Starch,Fructose,Glucose,Sucrose,Maltose,Total Free Sugars
,,,,,,,g,,,
,,,,,STARCH,FRUS,GLUS,SUCS,MALS,
G015,Mango ginger (Curcuma am,ada),3,4.21±0.07,1.79±0.09,1.11±0.02,0.81±0.11,0.50±0.03,,2.42±0.12
G016,Mint leaves (Mentha spicata,),4,1.10±0.03,1.02±0.03,0.01±0.00,0.07±0.02,,,0.08±0.02
G017,"Onion, big (Allium cepa)",,6,6.68±0.09,0.80±0.03,1.89±0.19,1.47±0.04,2.52±0.10,,5.88±0.09
G018,"Onion, small (Allium cepa)",,5,6.37±1.15,0.75±0.26,1.44±0.26,1.63±0.09,2.55±1.06,,5.62±1.06
G,CONDIMENTS AND,SPICES-DRY,,,,,,,,
G019,Asafoetida (Ferula assa-foet,ida),6,37.76±1.01,36.83±1.00,0.21±0.11,0.47±0.13,0.25±0.10,,0.93±0.26
G020,"Cardamom, green (Elettaria",cardamomum),6,33.75±1.38,29.47±1.39,1.84±0.02,1.89±0.04,0.55±0.05,,4.28±0.06
G021,"Cardamom, black (Elettaria",cardamomum),4,31.34±0.34,29.04±0.36,1.37±0.03,0.76±0.02,0.17±0.02,,2.30±0.04
G022,"Chillies, red (Capsicum ann",um),6,9.45±0.59,4.75±0.22,2.68±0.33,1.82±0.33,0.20±0.02,,4.70±0.38
G023,Cloves (Syzygium aromaticu,m),6,10.67±0.35,8.57±0.45,1.68±0.16,0.43±0.05,,,2.10±0.15
G024,Coriander seeds (Coriandru,m sativum),6,8.45±0.77,6.07±0.76,1.61±0.84,0.77±0.16,,,2.38±0.95
G025,Cumin seeds (Cuminum cym,inum),6,15.84±0.50,14.46±0.20,0.63±0.11,0.75±0.24,,,1.38±0.33
G026,Fenugreek seeds (Trigonella,foenum graecum),6,4.22±0.20,3.66±0.20,0.31±0.02,0.12±0.01,0.11±0.02,0.01±0.01,0.55±0.05
G027,Mace (Myristica fragrans),,6,23.71±1.14,22.85±1.07,0.20±0.02,0.28±0.05,0.38±0.11,,0.85±0.12
G028,Nutmeg (Myristica fragrans),,6,25.56±1.40,24.49±1.39,0.29±0.10,0.59±0.11,0.20±0.02,,1.08±0.21
G029,Omum (Trachyspermum am,mi),6,18.51±1.26,15.75±1.05,2.07±0.13,0.47±0.28,0.22±0.06,,2.76±0.37
G030,Pippali (Piper longum),,6,34.46±0.61,31.72±0.72,1.24±0.23,0.51±0.10,1.00±0.02,,2.75±0.25
G031,"Pepper, black (Piper nigrum",),6,35.67±0.85,35.35±1.12,0.09±0.04,0.23±0.05,,,0.32±0.05
G032,Poppy seeds (Papaver somn,iferum),6,12.28±0.79,10.43±0.81,0.78±0.43,0.77±0.11,0.30±0.13,,1.85±0.40
