Ta,,,,,,,,,,
ble,,,,sn,Total,,,,,Total Free
6.,ed,,,oig A,T vailable CHO,otal Starch,Fructose,Glucose,Sucrose Maltose,Sugars
Sta,oc,Foo,d Name,eR,,,,,,
rch,doo,,,fo,,,,g,,
an,F,,,.o,,,,,,
d,,,,N,,STARCH,FRUS,GLUS,SUCS MALS,
Indiv,,,,,,,,,,
id,H021,Walnut (Juglans regia),,6,10.05±0.73,6.63±0.34,1.10±0.02,0.36±0.03,1.76±0.10,3.22±0.08
ual,,,,,,,,,,
Sugars,,,,,,,,,,
,I,SUGARS,,,,,,,,
,,,,,,,,,,
,I001,"Jaggery, cane (Saccharum",officinarum),6,84.32±3.22,,22.31±1.92,3.79±0.79,58.23±1.21,84.32±3.22
,,,,,,,,,,
,I002,"Sugarcane, juice (Saccharu",m officinarum),6,12.85±0.80,,0.55±0.22,2.27±0.49,10.03±0.33,12.85±0.80
,,,,,,,,,,
,J,MUSHROOMS,,,,,,,,
,,,,,,,,,,
,J001,"Button mushroom, fresh (",Agaricus sp.),1,0.80,0.70,0.10,,,0.10
,,,,,,,,,,
186,J002,"Chicken mushroom, fresh",(Lactiporus sp.),1,1.96,1.86,0.10,,,0.10
,,,,,,,,,,
,J003,"Shiitake mushroom, fresh",(Lentinula sp.),1,4.51,4.31,0.20,,,0.20
,,,,,,,,,,
,J004,"Oyster mushroom, dried (P",leurotus sp.),1,22.00,21.32,0.68,,,0.68
,,,,,,,,,,
,K,MISCELLANEOUS,FOODS,,,,,,,
,,,,,,,,,,
,K001,Toddy,,10,5.73±0.17,,5.73±0.17,,,5.73±0.17
,,,,,,,,,,
,K002,Coconut Water,,6,3.06±0.07,,3.06±0.07,,,3.06±0.07
,,,,,,,,,,
,L,MILK AND MILK PR,ODUCTS,,,,,,,
,,,,,,,,,,
,L001,"Milk, whole, Buffalo1",,6,5.48±0.19,,0.24±0.05,0.39±0.04,0.59±0.06,5.34±0.16
,,,,,,,,,,
,L002,"Milk, whole, Cow2",,6,4.94±0.18,,0.20±0.04,0.18±0.04,0.24±0.03,4.89±0.14
,,,,,,,,,,
,L003,Panner3,,6,12.01±0.08,,0.50±0.03,1.11±0.24,0.84±0.08,11.57±0.28
,,,,,,,,,,
,L004,Khoa4,,6,16.33±3.84,,0.80±0.04,1.57±0.34,0.91±0.04,16.14±1.11
