Ta,,,,,,,,,,,,,,
ble,,,,,,,,,,,,Total,Total Mono,Total Poly
7.,,,,sn,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic,Arachidonic Sa,turated Fatty,Unsaturated,Unsaturated
Fat,edo,,,oig,(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3),(C20:4n6),Acids,Fatty Acids,Fatty Acids
ty A,c,Food,Name,eR,,,,,,,,(TSFA),(TMUFA),(TPUFA)
cid,doo,,,fo,,,,,,,,,,
P,F,,,.o,,,,,mg,,,,,
rofile,,,,N,,,,,,,,,,
,,,,,F20D1N9F,F22D1N9,F24D1C,F18D2CN6,F20D2,F18D3N3,F20D4N6,FASAT,FAMS,FAPU
,,,,,,,,,,,,,,
,E008,Bael fruit (Aegle ma,rmelos),1,,,,87.01,,66.18,,190,112,154
,,,,,,,,,,,,,,
,E009,"Banana, ripe, mont",ham (Musa x,1,,,,68.33,,63.24,,110,14.38,132
,,paradisiaca),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E010,"Banana, ripe, poov",am (Musa x,2,,,,65.50,,69.67,,113,32.29,135
,,paradisiaca),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E011,"Banana, ripe, red (M",usa x paradisiaca),1,,,,61.66,,46.23,,106,17.78,108
,,,,,,,,,,,,,,
,E012,"Banana, ripe, robus",ta (Musa x,6,,,,53.50±2.61,,73.44±1.80,,114±4.4,20.89±1.70,127±2.8
,,paradisiaca),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E013,Black berry (Rubus,fruticosus),5,,,,153±1.9,,80.24±2.19,,195±5.6,87.71±4.44,234±1.7
,,,,,,,,,,,,,,
,E014,"Cherries, red (Prunu",s cerasus),4,,,,116±4.3,,71.55±3.27,,125±5.9,95.85±2.36,187±4.2
,,,,,,,,,,,,,,
,E015,"Currants, black (Rib",es nigrum),1,3.22,,,30.58,,8.47,,83.33,302,39.06
2,,,,,,,,,,,,,,
08,,,,,,,,,,,,,,
,E016,Custard apple (Ann,ona squamosa),1,,,,78.56,,53.47,,138,39.74,132
,,,,,,,,,,,,,,
,E017,"Dates, dry, pale bro",wn (Phoenix,6,,,,140±8.4,,19.49±1.13,,97.03±4.87,30.43±3.94,159±9.4
,,dactylifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E018,"Dates, dry, dark bro",wn (Phoenix,2,,,,129,,16.35,,114,21.00,145
,,dactylifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E019,"Dates, processed (",Phoenix dactylifera),2,,,,124,,11.63,,149,46.88,136
,,,,,,,,,,,,,,
,E020,Fig (Ficus carica),,6,,,,50.57±0.50,,46.52±0.54,,89.44±9.07,41.38±1.12,97.09±0.80
,,,,,,,,,,,,,,
,E021,Goosberry (Emblica,officinalis),5,,,,47.41±2.23,,27.83±2.51,,38.48±3.26,23.93±1.89,75.24±4.62
,,,,,,,,,,,,,,
,E022,"Grapes, seeded, ro","und, black (Vitis",4,,,,94.88±6.61,,44.44±2.81,,106±6.7,12.73±2.37,139±8.6
,,vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E023,"Grapes, seeded, ro","und, green (Vitis",5,,,,82.21±4.28,,36.68±2.24,,92.42±3.73,11.10±1.44,119±6.3
,,vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E024,"Grapes, seeded, ro","und, red (Vitis",5,,,,83.32±0.24,,39.64±1.05,,92.04±4.41,12.18±0.22,123±1.0
,,vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E025,"Grapes, seedless, o","val, black (Vitis",5,,,,172±1.3,,11.29±1.01,,45.63±5.51,33.96±0.80,183±1.9
,,vinifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E026,"Grapes, seedless, r","ound, green (Vitis",5,,,,80.70±1.11,,32.12±0.79,,87.11±4.50,9.33±1.22,113±1.8
,,vinifera),,,,,,,,,,,,
