Ta,,,,,,,,,,,,,,,
ble,,,,,,,,,,,,,Total,Total Mono,Total Poly
7.,,,,,sn,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,α-Linolenic,Arachidonic Sa,turated Fatty,Unsaturated,Unsaturated
Fat,edo,,,,oig,(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C18:3n3),(C20:4n6),Acids,Fatty Acids,Fatty Acids
ty,c,,Food Na,me,eR,,,,,,,,(TSFA),(TMUFA),(TPUFA)
Acid,doo,,,,fo,,,,,,,,,,
P,F,,,,.o,,,,,mg,,,,,
rofile,,,,,N,,,,,,,,,,
,,,,,,F20D1N9F,F22D1N9,F24D1C,F18D2CN6,F20D2,F18D3N3,F20D4N6,FASAT,FAMS,FAPU
,,,,,,,,,,,,,,,
,E027,"Grapes, seed","less, rou","nd, black (Vitis",5,,,,109±0.4,,52.81±0.21,,129±0.4,12.97±0.07,162±0.6
,,vinifera),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,E028,"Guava, white",flesh (Ps,idium guajava),5,0.64±0.08,,,165±13.4,,11.08±1.05,,49.30±3.97,35.72±3.43,176±14.4
,,,,,,,,,,,,,,,
,E029,"Guava, pink f",lesh (Psi,dium guajava),5,,,,84.36±6.35,,7.29±0.56,,27.18±2.05,13.97±2.14,91.65±6.38
,,,,,,,,,,,,,,,
,E030,"Jack fruit, rip",e (Artoca,rpus,5,3.86±0.60,28.77±3.05,1.56±0.24,22.63±2.96,,15.44±1.58,,37.66±2.83,44.27±4.43,38.07±4.41
,,heterophyllus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,E031,"Jambu fruit, r",ipe (Syzy,gium cumini),2,,,,42.40,,6.37,,66.49,20.73,48.77
,,,,,,,,,,,,,,,
,E032,Karonda fruit,(Carissa,carandas),1,,,,45.12,,7.48,,66.81,24.12,52.60
,,,,,,,,,,,,,,,
,E033,"Lemon, juice",(Citrus li,mon),6,,,,270±9.5,,83.53±3.97,,202±7.3,47.40±6.45,353±13.4
,,,,,,,,,,,,,,,
,E034,"Lime, sweet,p",ulp (Citr,us limetta),6,,,,67.81±3.12,,16.60±1.75,,76.40±4.34,35.18±2.49,84.41±4.19
210,,,,,,,,,,,,,,,
,E035,Litchi (Nephel,ium litchi,),4,,,,51.98±4.49,,26.91±1.89,,91.48±4.93,45.63±3.45,78.89±6.36
,,,,,,,,,,,,,,,
,E036,"Mango, ripe,",bangana,palli (Mangifera,6,,,,30.72±2.87,,101±5.5,,170±6.6,134±10.3,132±7.5
,,indica),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,E037,"Mango, ripe,",gulabkha,s (Mangifera,2,,,,27.91,,71.39,,180,145,99.30
,,indica),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,E038,"Mango, ripe,",himsaga,r (Mangifera,3,,,,16.00±1.74,,111±9.1,,174±3.3,134±4.2,127±10.2
,,indica),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,E039,"Mango, ripe,",kesar (M,angifera indica),4,,,,24.29±1.83,,90.87±8.77,,172±8.1,169±9.2,115±10.4
,,,,,,,,,,,,,,,
,E040,"Mango, ripe,",neelam (,Mangifera indica),2,,,,16.56,,98.95,,178,147,116
,,,,,,,,,,,,,,,
,E041,"Mango, ripe,",paheri (M,angifera indica),2,,,,20.40,,65.92,,186,192,86.32
,,,,,,,,,,,,,,,
,E042,"Mango, ripe,",totapari (,Mangifera indica),1,,,,18.64,,70.06,,175,168,88.71
,,,,,,,,,,,,,,,
,E043,Mangosteen (,Garcinia,mangostana),1,,,,20.48,,68.12,,176,165,88.60
,,,,,,,,,,,,,,,
,E044,Manila tamari,nd (Pithe,cellobium dulce),1,,,,6.01,,13.48,,27.81,33.45,19.49
,,,,,,,,,,,,,,,
,E045,"Musk melon,",orange f,lesh (Cucumis,5,,,,97.34±6.29,,61.33±2.46,,92.94±4.13,25.18±2.14,159±7.2
,,melon),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,E046,"Musk melon,",yellow fl,esh (Cucumis,6,,,,72.56±4.65,,41.54±2.55,,79.00±5.34,21.12±1.78,114±7.1
,,melon),,,,,,,,,,,,,
