,,,,,,,,,,mg,,,,,
,,,,,,,,,,,,,,,
,,,,,F10D0,F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0,F14D1,F16D1C,F18D1CN9
E047,"Orange, pulp (",Citrus aurantiu,m),6,,,,29.46±4.92,7.66±1.10,,,,,4.27±0.79,14.99±1.78
E048,"Palm fruit, tend",er (Borassus,flabellifer),1,,,2.45,22.45,8.46,,,,,5.47,32.85
E049,"Papaya, ripe (C",arcia papaya),,6,,,5.52±0.62,45.26±4.02,5.30±0.61,,,,,9.53±0.95,16.83±1.70
E050,Peach (Prunus,communis),,1,,,0.32,17.24,5.98,0.03,,,0.03,1.32,207
E051,Pear (Pyrus sp.,),,6,,,,47.91±5.65,15.80±2.38,4.52±0.59,4.73±0.98,2.98±0.55,,,24.26±3.22
E052,Phalsa (Grewia,asiatica),,2,,,2.18,107,45.72,4.21,3.06,2.17,,5.70,162
E053,Pineapple (An,anas comosus,),6,,,,42.57±5.87,8.52±1.57,,,,,,31.15±4.54
E054,Plum (Prunus d,omestica),,3,,,,16.00±0.07,4.05±0.11,,,,,4.09±0.22,166±0.5
E055,"Pomegranate, granatum)",maroon seed,s (Punica,6,,1.14±0.18,0.48±0.12,22.64±3.44,13.25±2.35,2.90±0.56,1.33±0.26,0.77±0.21,,,35.30±4.74
E056,Pummelo (Citru,s maxima),,3,,,,88.03±0.05,19.32±0.32,,3.66±0.20,4.27±0.30,,8.70±0.34,32.30±0.31
E057,"Raisins, dried,",black (Vitis vi,nifera),6,,,,46.97±2.24,15.49±0.72,,,,,,46.53±3.32
E058,"Raisins, dried,",golden (Vitis,vinifera),6,,,,95.25±7.47,25.94±2.83,,,,,,32.64±1.74
E059,Rambutan (Ne,phelium lappa,ceum),1,,,,120,24.12,,,,,14.25,145
E060,Sapota (Achras,sapota),,6,,,,343±5.4,45.33±3.97,,,,,35.05±4.86,220±9.8
E061,Soursop (Anno,na muricata),,1,,,,89,28.84,4.98,4.01,7.98,,4.56,33.98
E062,Star fruit (Averr,hoa carambol,a),1,,,,10.23,10.54,,,,,3.50,30.12
E063,Strawberry (Fr,agaria ananas,sa),6,,,,50.68±4.43,10.62±0.38,3.81±0.56,1.11±0.11,,,,77.87±0.85
E064,"Tamarind, pulp",(Tamarindus,indicus),6,,,,20.58±0.51,3.14±0.38,1.02±0.05,1.05±0.05,1.46±0.25,,,34.89±0.45
E065,"Water melon, d (Citrullus vulgar",ark green (s is),ugar baby),6,,,,32.40±2.17,7.31±0.63,,,,,,24.84±1.71
E066,"Water melon, p vulgaris)",ale green (Ci,trullus,6,,,,42.94±2.12,7.39±0.99,,,,,,10.96±0.61
