,,,,sn,Capric,Lauric,Myristic,Palmitic,Stearic,Arachidic,Behenic,Lignoceric Myristoleic,Palmitoleic,Oleic
,ed,,,oi,(C10:0),(C12:0),(C14:0),(C16:0),(C18:0),(C20:0),(C22:0),(C24:0) (C14:1),(C16:1),(C18:1n9)
,oc,Food N,ame,geR,,,,,,,,,,
,doo,,,fo,,,,,,,,,,
,F,,,.,,,,,,mg,,,,
,,,,oN,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,F10D0,F12D0,F14D0,F16D0,F18D0,F20D0,F22D0,F24D0 F14D1,F16D1C,F18D1CN9
,,,,,,,,,,,,,,
,G016,Mint leaves (Mentha,spicata ),4,,,2.18±0.18,105±8.6,17.59±1.10,,,,,13.23±1.01
,,,,,,,,,,,,,,
,G017,"Onion, big (Allium ce",pa),6,,,,47.96±0.96,4.65±0.34,,3.80±0.29,4.40±0.32,,39.36±0.89
,,,,,,,,,,,,,,
,G018,"Onion, small (Allium",cepa),5,,,,32.07±2.47,4.08±0.41,,2.50±0.21,2.37±0.42,,15.83±1.73
,,,,,,,,,,,,,,
,G,CONDIMENTS,AND SPICES-D,RY,,,,,,,,,,
,,,,,,,,,,,,,,
,G019,Asafoetida (Ferula a,ssa-foetida),6,,,5.04±0.97,191±4.3,45.89±3.99,,,,5.91±0.71,236±7.9
,,,,,,,,,,,,,,
,G020,"Cardamom, green (E",lettaria,6,,,,557±22.5,66.70±6.98,,,,32.49±5.63,858±65.5
,,cardamomum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Cardamom, black (E",lettaria,,,,,,,,,,,
21,G021,cardamomum),,4,,,,430±6.3,62.50±0.85,,,,39.53±0.59,1043±13.7
7,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,G022,"Chillies, red (Capsic",um annum),6,,,60.26±6.53,890±41.5,141±5.1,21.09±0.77,15.91±0.82,13.52±0.83,22.41±1.65,646±66.3
,,,,,,,,,,,,,,
,G023,Cloves (Syzygium ar,omaticum),6,,,,2020±33.4,659±23.8,,,,,605±47.7
,,,,,,,,,,,,,,
,G024,Coriander seeds (Co,riandrum sativum),6,,,54.98±10.72,631±20.6,141±5.8,31.53±4.31,56.26±5.65,36.98±3.68,27.35±3.65,10702±135
,,,,,,,,,,,,,,
,G025,Cumin seeds (Cumin,um cyminum),6,,,,500±12.4,98.2±3.04,20.46±1.89,,,35.01±0.95,8344±88.0
,,,,,,,,,,,,,,
,G026,Fenugreek seeds (Tr,igonella foenum,6,,,,501±12.2,188±5.3,50.12±2.25,18.60±1.44,11.78±1.27,,663±24.1
,,graecum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,G027,Mace (Myristica fragr,ans),6,,,362±38,8120±304,767±200,54.30±13.98,,,404±35.2,8898±398
,,,,,,,,,,,,,,
,G028,Nutmeg (Myristica fra,grans),6,,783±18.0,,2372±102,204±32.7,,,,47.77±9.28,1562±117
,,,,,,,,,,,,,,
,G029,Omum (Trachysperm,um ammi),6,,,16.93±2.62,895±10.9,177±10.0,23.26±0.90,,,26.83±0.98,13810±152
Ta,,,,,,,,,,,,,,
ble,G030,Pippali (Piper longum,),6,,,,436±11.7,165±10.0,,,,38.18±1.88,289±15.1
7.,,,,,,,,,,,,,,
Fatty,G031,"Pepper, black (Piper",nigrum),6,,,,548±23.3,106±5.9,,,,,463±24.8
Aci,G032,Poppy seeds (Papav,er somniferum),6,,,10.16±0.81,1644±46.6,397±11.0,22.27±1.91,,,27.62±2.90,2311±106
d,,,,,,,,,,,,,,
Pr,,,,,,,,,,,,,,
ofi,G033,Turmeric powder (C,urcuma domestica),6,,,,769±42.7,691±44.7,174±16.1,,,,448±83.7
le,,,,,,,,,,,,,,
