Tab,,,,,,,,,Total Mono,Total Poly,
le,,,s,Eicosatrienoic,Arachidonic,Eicosa-,Docosa- To,tal Saturated Uns,aturated Fatty,Unsaturated,
7. Fat,edoC,,noige,(C20:3n6),(C20:4n6),pentaenoic (C20:5n3),hexaenoic (C22:6n3),Fatty Acids (TSFA),Acids,Fatty Acids,Cholestero
ty Acid,doo,Food Name,R fo .,,,,mg,,(TMUFA),(TPUFA),
Pr,F,,oN,,,,,,,,
ofile,,,,F20D3N6,F20D4N6,F20D5N3,F22D6N3,FASAT,FAMS,FAPU,CHOLC
,,,,,,,,,,,
,O025,"Beef, shoulder",6,,280±168,,,7046±1155,6227±1010,1008±536,66.36±4.77
,,,,,,,,,,,
,O026,"Beef, chops",4,,122±74.7,,,3031±491,2680±428,437±236,45.97±5.89
,,,,,,,,,,,
,O027,"Beef, round (leg)",6,,211±12.7,,,2998±361,3280±291,480±40,55.81±1.96
,,,,,,,,,,,
,O028,"Beef, brain",4,,321±77.3,,432±99.1,2490±289,1869±200,848±200,1668±28.5
,,,,,,,,,,,
,O029,"Beef, tongue",4,,86.44±28.31,,,6287±716,4741±524,484±99,141±1.1
,,,,,,,,,,,
,O030,"Beef, lungs",3,,146±85.9,,,1198±290,647±73.6,244±111,334±8.8
,,,,,,,,,,,
,O031,"Beef, heart",5,,128±38,,,1479±273,848±240,490±136,92.73±5.29
,,,,,,,,,,,
,O032,"Beef, liver",6,,218±79.7,,103±27.5,1543±331,826±202,566±162,261±9.9
,,,,,,,,,,,
234,O033,"Beef, tripe",5,,35.70±4.88,,,1371±491,833±216,95.26±25.86,82.66±4.33
,,,,,,,,,,,
,O034,"Beef, spleen",6,,254±84.3,,,1160±159,480±130,393±113,353±8.3
,,,,,,,,,,,
,O035,"Beef, kidneys",3,,135±0.0,,,1743±0.0,835±0.0,291±0.0,439±3.8
,,,,,,,,,,,
,O036,"Calf, shoulder",2,,231,,,3510,2647,689,58.27
,,,,,,,,,,,
,O037,"Calf, chops",2,,105,,,1966,1034,449,62.05
,,,,,,,,,,,
,O038,"Calf, round (leg)",2,,233,,,2263,2433,497,50.10
,,,,,,,,,,,
,O039,"Calf, brain",2,,264,,249,2202,1460,603,1345
,,,,,,,,,,,
,O040,"Calf, tongue",2,,256,,,5630,4406,737,107
,,,,,,,,,,,
,O041,"Calf, heart",1,,198,,,1489,696,773,130
,,,,,,,,,,,
,O042,"Calf, liver",1,,265,,92.00,1616,670,643,306
,,,,,,,,,,,
,O043,"Calf, spleen",1,,269,,,1030,513,397,360
,,,,,,,,,,,
,O044,"Calf, kidneys",2,,239,,,1464,660,491,271
,,,,,,,,,,,
,O045,"Mithun, shoulder",1,,889,,,4436,2157,3613,45.07
