,,,Undecanoic Lauric sn,Myristic,Pentadecanoic,Palmitic,Stearic,Arachidic Behenic L,ignoce
,e,,,,,,,,
,d,,(C11:0) (C12:0) oi,(C14:0),(C15:0),(C16:0),(C18:0),(C20:0) (C22:0),(C24:0)
,oC,Food Name,geR,,,,,,
,doo,,fo,,,mg,,,
,F,,.o,,,,,,
,,,N,,,,,,
,,,F4D0 F12D0,F14D0,F15D0,F16D0,F18D0,F20D0 F22D0,F24D0
,,,,,,,,,
,O046,"Mithun, chops",1,65.47,,859,1748,34.94,28.37
,,,,,,,,,
,O047,"Mithun, round (leg)",1,41.28,,491,817,36.27,57.04
,,,,,,,,,
,O048,"Pork, shoulder",6,259±107,,4438±899,2151±502,39.02±23.54,
,,,,,,,,,
,O049,"Pork, chops",6,157±20.5,,3080±135,1531±483,33.99±16.58,
,,,,,,,,,
,O050,"Pork, ham",6,269±63.7,,4510±482,2101±467,59.11±57.10,
,,,,,,,,,
,O051,"Pork, lungs",4,34.48±12.10,,776±70.9,431±73.4,6.29±4.17,
,,,,,,,,,
,O052,"Pork, heart",4,47.89±24.92,,858±192,660±148,8.55±3.25,
,,,,,,,,,
,O053,"Pork, liver",5,15.29±4.18,,549±33.6,753±85.0,6.89±0.71,
,,,,,,,,,
235,O054,"Pork, stomach",1,102,,1864,1342,19.31,
,,,,,,,,,
,O055,"Pork, spleen",3,27.99±8.02,,691±190,520±144,6.41±2.90,
,,,,,,,,,
,O056,"Pork, kidneys",5,29.58±13.59,,672±123,461±87.9,6.33±3.02,
,,,,,,,,,
,O057,"Pork, tube (small intestine)",1,126,,2318,1639,25.50,
,,,,,,,,,
,O058,"Hare, shoulder",1,183,,2202,313,,
,,,,,,,,,
,O059,"Hare, chops",1,80.96,,827,121,,
,,,,,,,,,
,O060,"Hare, leg",1,59.34,,754,97,,
,,,,,,,,,
,O061,"Rabbit, shoulder",1,282,,2634,227,,
,,,,,,,,,
,O062,"Rabbit, chops",1,180,,1606,121,,
Ta,,,,,,,,,
ble,O063,"Rabbit, leg",1,163,,1295,117,,
7.,,,,,,,,,
Fatty,,,,,,,,,
Acid,,,,,,,,,
Profile,,,,,,,,,
