,,,,,,,,,Total Mono,Total Poly,
,,,s,Eicosatrienoic,Arachidonic,Eicosa-,Docosa- To,tal Saturated,,,
,e,,n,,,pentaenoic,hexaenoic,Fatty Acids Uns,aturated Fatty,Unsaturated,Cholestero
,d,,o,,,,,,,,
,,,i,(C20:3n6),(C20:4n6),,,,,,
,oC,Food Name,geR,,,(C20:5n3),(C22:6n3),(TSFA),Acids,Fatty Acids,
,doo,,fo,,,,mg,,,,
,F,,.o,,,,,,,,
,,,N,,,,,,,,
,,,,F20D3N6,F20D4N6,F20D5N3,F22D6N3,FASAT,FAMS,FAPU,CHOLC
,,,,,,,,,,,
,O046,"Mithun, chops",1,,340,,,2736,1276,1596,46.99
,,,,,,,,,,,
,O047,"Mithun, round (leg)",1,,458,,,1442,1918,1700,44.01
,,,,,,,,,,,
,O048,"Pork, shoulder",6,,121±134,,,6887±1531,8114±1217,2129±1024,44.38±2.76
,,,,,,,,,,,
,O049,"Pork, chops",6,,26.53±10.54,,,4803±655,4972±373,660±193,46.98±3.18
,,,,,,,,,,,
,O050,"Pork, ham",6,,114±72.8,,,6938±1069,8065±876,1875±567,47.08±1.64
,,,,,,,,,,,
,O051,"Pork, lungs",4,,121±91.6,,,1247±161,867±113,469±150,232±11.0
,,,,,,,,,,,
,O052,"Pork, heart",4,,255±119,,,1575±367,1247±350,1019±391,134±4.2
,,,,,,,,,,,
,O053,"Pork, liver",5,,376±85,,,1325±123,700±213,896±285,216±1.4
,,,,,,,,,,,
237,O054,"Pork, stomach",1,,154,,,3327,2690,1090,187
,,,,,,,,,,,
,O055,"Pork, spleen",3,,137±23.9,,,1245±345,820±283,397±78,201±70.8
,,,,,,,,,,,
,O056,"Pork, kidneys",5,,214±36.5,,,1169±228,846±174,714±130,267±2.1
,,,,,,,,,,,
,O057,"Pork, tube (small intestine)",1,,168,,,4109,3174,892,180
,,,,,,,,,,,
,O058,"Hare, shoulder",1,,191,,,2698,1606,1720,79.93
,,,,,,,,,,,
,O059,"Hare, chops",1,,89,,,1028,613,690,77.70
,,,,,,,,,,,
,O060,"Hare, leg",1,,90,,,910,514,555,78.81
,,,,,,,,,,,
,O061,"Rabbit, shoulder",1,,205,,,3142,2332,1813,82.56
,,,,,,,,,,,
,O062,"Rabbit, chops",1,,94,,,1907,1480,1083,79.17
Ta,,,,,,,,,,,
ble,O063,"Rabbit, leg",1,,85,,,1575,1203,877,76.70
7.,,,,,,,,,,,
Fatty,,,,,,,,,,,
Acid,,,,,,,,,,,
Profile,,,,,,,,,,,
