Table,,,,,,,,,,,,,
7.,,,,sn,Oleic,Eicosaenoic,Erucic,Nervonic,Linoleic,Eicosadienoic,Docosadienoic,α-Linolenic,Eicosatrienoic
Fatty,edoC,,Fish Name,oigeR,(C18:1n9),(C20:1n9),(C22:1n9),(C24:1n9),(C18:2n6),(C20:2),(C22:2),(C18:3n3),(C20:3n6)
Acid,doo,,,fo,,,,,mg,,,,
Pro,F,,,.oN,,,,,,,,,
fil,,,,,,,,,,,,,
e,,,,,F18D1CN9,F20D1N9,F22D1N9,F24D1C,F18D2CN6,F20D2,F22D2,F18D3N3,F20D3N6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,P021,Kadali (Nemip,terus mesoprion),1,602,34.85,,27.45,71.26,12.12,,,13.25
,,,,,,,,,,,,,
,P022,Kalamaara (Le,ptomelanosoma indicum),2,604,39.48,6.17,12.74,62.64,9.20,,,10.24
,,,,,,,,,,,,,
,P023,Kalava (Epine,phelus coioides),1,182,7.24,,2.76,11.88,3.52,2.06,3.50,2.05
,,,,,,,,,,,,,
,P024,Kanamayya (L,utjanus rivulatus),2,75.04,8.85,2.45,3.65,6.06,1.53,,,0.88
,,,,,,,,,,,,,
,P025,Kannadi paara,i (Alectis indicus),3,175±75.0,9.30±6.60,1.52±2.64,1.62±2.81,7.57±1.22,2.11±1.83,,,1.12±1.95
,,,,,,,,,,,,,
,P026,Karimeen (Etr,oplus suratensis),1,207,13.41,,,52.96,6.76,,,
,,,,,,,,,,,,,
,P027,Karnagawala,(Anchoa hepsetus),1,61.06,,,4.08,8.70,,,,
,,,,,,,,,,,,,
,P028,Kayrai (Thunn,us albacores),2,401,16.02,,26.88,41.99,10.68,,,6.40
,,,,,,,,,,,,,
24,,,,,,,,,,,,,
2,P029,Kiriyan (Atule,mate),1,747,21.80,6.86,16.35,52.33,9.83,,,6.83
,,,,,,,,,,,,,
,P030,Kite fish (Mob,ula kuhlii),1,55.16,5.53,,,10.33,4.08,,,
,,,,,,,,,,,,,
,P031,Korka (Terapo,n jarbua),1,428,27.37,12.07,15.74,41.31,12.03,,,5.41
,,,,,,,,,,,,,
,P032,Kulam paarai,(Carangoides fulvoguttatus),1,458,15.51,6.16,15.29,49.85,8.72,,,7.43
,,,,,,,,,,,,,
,P033,Maagaa (Polyn,emus plebeius),1,61.92,4.00,1.12,2.24,9.83,1.73,,,
,,,,,,,,,,,,,
,P034,Mackerel (Ras,trelliger kanagurta),3,123±87.2,6.76±5.61,2.64±3.57,4.78±5.73,28.10±7.72,1.25±1.27,,,7.56±8.01
,,,,,,,,,,,,,
,P035,Manda clathi (,Naso reticulatus),1,107,6.56,,2.55,9.67,3.40,,,2.13
,,,,,,,,,,,,,
,P036,Matha (Acanth,urus mata),2,67.56,9.82,3.37,3.19,8.97,1.25,,,0.74
,,,,,,,,,,,,,
,P037,Milk fish (Cha,nos chanos),1,152,12.81,,4.59,7.77,,,,
,,,,,,,,,,,,,
,P038,Moon fish (Me,ne maculata),1,527,26.86,8.13,34.34,56.87,,,,
,,,,,,,,,,,,,
,P039,Mullet (Mugil c,ephalus),3,125±45.0,7.60±2.26,,1.63±2.82,16.03±8.89,1.85±3.20,,,
,,,,,,,,,,,,,
,P040,Mural (Tylosur,us crocodilus crocodilus),1,42.48,,,2.82,5.88,,,,
,,,,,,,,,,,,,
,P041,Myil meen (Ist,iophorus platypterus),2,44.24,1.81,,,7.49,0.30,,,0.31
