Table,,,,,,,,,,,,
7.,,,,Lauric sn,Myristic,Pentadecanoic,Palmitic,Stearic,Arachidic,Behenic,Lignoceric,Palmitoleic
Fatty,edoC,,Fish Name,(C12:0) oigeR,(C14:0),(C15:0),(C16:0),(C18:0),(C20:0),(C22:0),(C24:0),(C16:1)
Acid,doo,,,fo,,,,,,,,
P,F,,,.o,,,,mg,,,,
ro,,,,N,,,,,,,,
fi,,,,,,,,,,,,
le,,,,F12D0,F14D0,F15D0,F16D0,F18D0,F20D0,F22D0,F24D0,F16D1C
,,,,,,,,,,,,
,P042,Nalla bontha (,Epinephelus sp.),1,18.45,3.48,151,62.80,2.51,,,31.42
,,,,,,,,,,,,
,P043,Narba (Caranx,sexfasciatus),2,29.59,9.57,338,213,7.45,2.44,2.58,41.23
,,,,,,,,,,,,
,P044,Paarai (Caranx,heberi),1,63.05,13.28,413,216,8.38,6.03,,70.25
,,,,,,,,,,,,
,P045,Padayappa (Ca,nthidermis maculata),1,3.51,2.88,95.50,67.48,,,,6.50
,,,,,,,,,,,,
,P046,Pali kora (Pann,a microdon),1,59.38,10.90,547,129,9.02,6.55,,172
,,,,,,,,,,,,
,P047,Pambada (Lept,uracanthus savala),2,214,35.05,1226,451,17.67,9.97,6.56,248
,,,,,,,,,,,,
,P048,Pandukopa (Ps,eudosciaena manchurica),1,10.89,2.92,117,64.25,,,,17.03
,,,,,,,,,,,,
,P049,Parava (Lactari,us lactarius),1,82.46,12.71,798,265,16.27,9.99,,138
,,,,,,,,,,,,
2,,,,,,,,,,,,
44,P050,Parcus (Psetto,des erumei),1,4.84,2.36,101,57.55,,,,9.45
,,,,,,,,,,,,
,P051,Parrot fish (Sc,arus ghobban),1,10.07,1.81,122,37.08,1.17,2.34,,18.24
,,,,,,,,,,,,
,P052,Perinkilichai (P,injalo pinjalo),1,13.14,,185,91.47,,,,16.89
,,,,,,,,,,,,
,P053,Phopat (Coryp,haena hippurus),4,34.95±25.54,9.00±7.54,259±120,136±43.4,2.86±3.31,,,50.32±32.06
,,,,,,,,,,,,
,P054,Piranha (Pygop,ritis sp.),1,79.47,8.32,1460,419,6.93,,,392
,,,,,,,,,,,,
,P055,"Pomfret, black",(Parastromateus niger),2,115,,1428,622,45.61,18.49,,157
,,,,,,,,,,,,
,P056,"Pomfret, snub",nose (Trachinotus blochii),2,5.86,1.67,92.19,44.27,1.50,,,6.31
,,,,,,,,,,,,
,P057,"Pomfret, white",(Pampus argenteus),2,258,41.43,1598,532,45.58,19.93,174,851
,,,,,,,,,,,,
,P058,Pranel (Gerres,sp.),1,61.61,17.66,525,212,7.48,3.59,,95.01
,,,,,,,,,,,,
,P059,Pulli paarai (G,nathanodon speciosus),1,35.67,7.52,372,173,4.46,,,53.92
,,,,,,,,,,,,
,P060,Queen fish (Sc,omberoides commersonianus),3,69.84±81.60,11.18±11.97,413±438,190±180,2.14±2.05,4.26±5.70,3.01±5.22,93.60±104
,,,,,,,,,,,,
,P061,Raai fish (Lobo,tes surinamensis),2,51.00,8.47,414,174,6.01,,,79.09
,,,,,,,,,,,,
,P062,Raai vanthu (E,pinephelus chlorostigma),1,80.47,17.01,536,209,10.03,5.89,5.33,113
