Ta,,,,,,,,,,,,
ble 7,,,,s,Arachidonic,Eicosa,Docosa,Docosa Tot,al Saturated,Total Mono Unsaturated,Total Poly Unsaturated,
. Fatty,edoC,,,noige,(C20:4n6),pentaenoic (C20:5n3),pentaenoic (C22:5n3),hexaenoic F (C22:6n3),atty Acids (TSFA),Fatty Acids (TMUFA),Fatty Acids (TPUFA),Cholestero
Acid,doo,,Fish Name,R fo,,,,,,,,
P,F,,,.o,,,,mg,,,,
ro,,,,N,,,,,,,,
fi,,,,,,,,,,,,
le,,,,,F20D4N6,F20D5N3,F22D5N3,F22D6N3,FASAT,FAMS,FAPU,CHOLC
,,,,,,,,,,,,
,P042,Nalla bontha (,Epinephelus sp.),1,28.64,17.49,15.84,97.29,238,127,166,15.00
,,,,,,,,,,,,
,P043,Narba (Caranx,sexfasciatus),2,61.54,39.57,55.82,310,603,259,487,16.06
,,,,,,,,,,,,
,P044,Paarai (Caranx,heberi),1,77.56,80.85,38.83,350,720,276,578,23.29
,,,,,,,,,,,,
,P045,Padayappa (Ca,nthidermis maculata),1,68.29,26.69,12.24,132,169,83.65,248,9.65
,,,,,,,,,,,,
,P046,Pali kora (Pann,a microdon),1,50.32,105,30.86,219,761,352,431,33.18
,,,,,,,,,,,,
,P047,Pambada (Lept,uracanthus savala),2,116,220,161,620,1959,857,1185,54.63
,,,,,,,,,,,,
,P048,Pandukopa (Ps,eudosciaena manchurica),1,42.95,20.37,19.69,92.80,195,89.63,182,26.43
,,,,,,,,,,,,
,P049,Parava (Lactari,us lactarius),1,54.33,117,44.29,372,1184,621,610,26.20
,,,,,,,,,,,,
2,,,,,,,,,,,,
46,P050,Parcus (Psetto,des erumei),1,34.99,15.04,9.42,128,166,70.55,197,10.03
,,,,,,,,,,,,
,P051,Parrot fish (Sc,arus ghobban),1,11.50,9.48,7.06,45.69,174,135,78.00,9.95
,,,,,,,,,,,,
,P052,Perinkilichai (P,injalo pinjalo),1,51.34,31.69,18.23,167,290,101,278,17.24
,,,,,,,,,,,,
,P053,Phopat (Coryp,haena hippurus),4,65.13±17.15,63.93±31.67,35.03±21.16,275±78,441±197,198±102,456±153,13.53±6.40
,,,,,,,,,,,,
,P054,Piranha (Pygop,ritis sp.),1,53.43,7.91,6.95,33.75,1973,2357,589,97.50
,,,,,,,,,,,,
,P055,"Pomfret, black",(Parastromateus niger),2,252,244,,565,2229,972,1161,48.16
,,,,,,,,,,,,
,P056,"Pomfret, snub",nose (Trachinotus blochii),2,26.07,6.29,13.32,77.16,145,72.77,128,7.48
,,,,,,,,,,,,
,P057,"Pomfret, white",(Pampus argenteus),2,130,167,174,423,2669,1049,919,41.56
,,,,,,,,,,,,
,P058,Pranel (Gerres,sp.),1,85.41,55.68,58.34,180,827,374,419,29.01
,,,,,,,,,,,,
,P059,Pulli paarai (G,nathanodon speciosus),1,70.56,154,24.08,234,593,208,505,47.79
,,,,,,,,,,,,
,P060,Queen fish (Sc,omberoides commersonianus),3,62.12±64.23,100±120,44.63±43.26,299±286,693±720,332±361,536±550,21.93±19.96
,,,,,,,,,,,,
,P061,Raai fish (Lobo,tes surinamensis),2,75.89,59.25,53.96,257,654,311,465,24.95
,,,,,,,,,,,,
,P062,Raai vanthu (E,pinephelus chlorostigma),1,65.02,59.33,69.42,368,864,423,596,21.98
