,,,,,,,mg,,,,
,,,,,,,,,,,
,,,,F20D4N6,F20D5N3,F22D5N3,F22D6N3,FASAT,FAMS,FAPU,CHOLC
P063,Ran i (Pi,nk perch),1,163,317,,494,2926,1878,1112,69.04
P064,Ray fish,", bow head, spotted (Rhina ancylostoma)",1,64.36,15.87,27.42,93.05,187,98.70,222,13.91
P065,Red sna,pp e r (Lutjanus argentimaculatus),1,57.90,40.85,31.73,172,485,299,325,132
P066,Red sna,"pper, sma l l (Priacanthus hamrur)",1,89.21,162,33.67,406,861,407,734,38.42
P067,Saday a,(Platax orbicularis),1,316,86.49,94.23,582,1059,444,1128,61.97
P068,Salmo n,(Salmo salar),1,209,406,329,1192,4305,2453,2297,61.27
P069,Sangad,a (Nemipterus japanicus),1,99.19,127,88.66,338,1128,513,706,75.77
P070,Sankata,paar a i (Caranx ignobilis),1,204,398,197,834,3317,1876,1746,64.34
P071,Sardine,(Sardinella longiceps),1,88.19,297,,317,1250,630,770,49.12
P072,Shark (,Carcharhinus sorrah),2,34.77,35.47,28.68,121,275,126,230,24.40
P073,"Shark, h",ammer hea d (Sphyrna mokarran),1,48.70,23.08,,148,264,103,232,55.81
P074,"Shark, s",potte d (Stegostoma fasciatum),1,39.42,23.66,19.30,77.52,253,137,169,13.75
P075,Shelav u,(Sphyraena jello),4,47.67±7.39,116±68.3,43.52±15.52,207±70.2,677±197,369±135,431±137,30.50±22.45
P076,Sila n (Si,lonia silondia),1,60.16,22.45,,47.48,3615,3199,1140,58.93
P077,Silk fis h,(Beryx sp.),1,58.25,82.20,38.02,286,497,281,506,10.71
P078,Silver ca,r p (Hypophthalmichthys molitrix),1,86.03,171,,125,1826,1964,894,68.54
P079,Sole fis h,(Cynoglossus arel),1,53.78,78.35,44.56,176,416,167,370,16.00
P080,Stingra y,(Dasyatis pastinaca),1,39.38,20.07,,75.62,289,173,174,62.47
P081,Tarla v a,(Drepane punctata),2,66.49,55.77,60.03,67.22,504,207,265,18.94
P082,Thola m,(Plectorhinchus schotaf),2,51.15,72.74,65.02,257,856,510,481,59.73
