Table,,,,,,,,,,,,,
7.,,,,sn,Lauric,Myristic,Pentadecanoic,Palmitic,Stearic,Arachidic,Behenic,Lignoceric,Palmitoleic
Fatty,edoC,,Fish Name,oigeR,(C12:0),(C14:0),(C15:0),(C16:0),(C18:0),(C20:0),(C22:0),(C24:0),(C16:1)
Acid,doo,,,fo,,,,,,,,,
P,F,,,.o,,,,,mg,,,,
ro,,,,N,,,,,,,,,
fil,,,,,,,,,,,,,
e,,,,,F12D0,F14D0,F15D0,F16D0,F18D0,F20D0,F22D0,F24D0,F16D1C
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,P083,Tilap i a (Oreoc,hromis niloticus),1,,61.56,,270,76.21,4.72,,,113
,,,,,,,,,,,,,
,P084,Tun a (Euthynn,us affinis),5,,53.12±59.44,11.08±11.43,399±317,184±108,8.50±10.28,3.75±4.37,,76.97±85.13
,,,,,,,,,,,,,
,P085,"Tuna, stripe d",(Katsuwonus pelamis),1,,30.58,8.29,243,137,5.87,,,35.30
,,,,,,,,,,,,,
,P086,Valav a (Chiroc,entrus nudus),1,,33.97,7.72,262,96.64,3.31,,,29.78
,,,,,,,,,,,,,
,P087,Vanjara m (Sc,omberomorus commerson),2,,325,33.96,1352,464,28.87,17.73,7.74,431
,,,,,,,,,,,,,
,P088,Vela mee n (A,prion virescens),1,,50.60,,1255,528,11.77,11.42,,103
,,,,,,,,,,,,,
,P089,Vo r a (Siganus,javus),2,44.09,144,29.09,767,197,15.68,8.16,1.14,143
,,,,,,,,,,,,,
,P090,Whale sha r k (,Galeocerdo cuvier),1,,22.76,5.18,164,69.44,3.06,2.07,,43.98
250,,,,,,,,,,,,,
,P091,Xiphin i s (Xiph,ias gladius),1,,39.39,5.47,235,73.36,6.43,3.36,,27.21
,,,,,,,,,,,,,
,P092,"Z.Eggs, Cat fis",h (Ompok bimaculatus),1,,67.15,,1206,526,5.72,12.81,,197
,,,,,,,,,,,,,
,Q,MARINE S,HELLFISH,,,,,,,,,,
,,,,,,,,,,,,,
,Q001,Cra b (Menipp,e mercenaria),1,,10.85,,131,71.80,,,,29.24
,,,,,,,,,,,,,
,Q002,"Crab, sea (Po",rtunus sanguinolentus),1,,5.70,1.01,63.49,57.40,0.99,,,20.35
,,,,,,,,,,,,,
,Q003,"Lobster, brow",n (Thenus orientalis),1,,6.83,2.32,56.45,37.70,2.26,,,19.88
,,,,,,,,,,,,,
,Q004,"Lobster, king",siz e (Thenus orientalis),1,,7.51,,95.24,71.66,,,,28.21
,,,,,,,,,,,,,
,Q005,Mud cra b (Sc,ylla tranquebarica),1,,4.36,,52.71,38.05,,,,17.87
,,,,,,,,,,,,,
,Q006,Oyste r (Crass,ostrea sp.),1,,126,27.48,736,190,8.39,,,137
,,,,,,,,,,,,,
,Q007,"Tiger prawns,",brown(Solenocera crassicornis),1,,7.19,3.11,65.63,43.57,1.20,,,25.87
,,,,,,,,,,,,,
,Q008,"Tiger Prawns,",orang e (Penaeus monodon),1,,5.20,5.31,94.05,72.64,,,,24.59
