Ta,,,,,,,,,,,,
ble,,,,s,,Eicosa,Docosa,Docosa Tot,al Saturated,Total Mono,Total Poly,
7. F,ed,,,no,Arachidonic,pentaenoic,pentaenoic,hexaenoic F,atty Acids,Unsaturated,Unsaturated,Cholestero
atty,oC,,,ige,(C20:4n6),(C20:5n3),(C22:5n3),(C22:6n3),(TSFA),Fatty Acids (TMUFA),Fatty Acids (TPUFA),
Acid,doo,Fish,Name,R fo,,,,,,,,
P,F,,,.o,,,,mg,,,,
ro,,,,N,,,,,,,,
fil,,,,,,,,,,,,
e,,,,,F20D4N6,F20D5N3,F22D5N3,F22D6N3,FASAT,FAMS,FAPU,CHOLC
,,,,,,,,,,,,
,,,,,,,,,,,,
,P083,Tilap i a (Oreochromis,niloticus),1,35.03,14.76,,59.16,413,254,199,26.36
,,,,,,,,,,,,
,P084,Tun a (Euthynnus affi,nis),5,69.44±36.77,90.61±91.77,40.23±33.78,345±262,660±508,300±268,575±441,46.10±42.20
,,,,,,,,,,,,
,P085,"Tuna, stripe d (Katsu",wonus pelamis),1,37.61,40.39,11.68,191,424,168,306,64.06
,,,,,,,,,,,,
,P086,Valav a (Chirocentrus,nudus),1,33.28,38.19,14.57,233,403,107,336,15.60
,,,,,,,,,,,,
,P087,Vanjara m (Scombero,morus commerson),2,140,422,115,626,2229,1078,1384,67.71
,,,,,,,,,,,,
,P088,Vela mee n (Aprion vi,rescens),1,190,136,94.40,761,1857,851,1199,35.85
,,,,,,,,,,,,
,P089,Vo r a (Siganus javus),,2,102,54.20,123,333,1207,467,647,19.34
,,,,,,,,,,,,
,P090,Whale sha r k (Galeoc,erdo cuvier),1,37.20,33.44,28.12,109,266,135,220,25.33
252,,,,,,,,,,,,
,P091,Xiphin i s (Xiphias gla,dius),1,16.88,24.11,25.23,61.55,363,184,134,27.59
,,,,,,,,,,,,
,P092,"Z.Eggs, Cat fish (Om",pok bimaculatus),1,223,156,,577,1818,1125,1436,269
,,,,,,,,,,,,
,Q,MARINE SHEL,LFISH,,,,,,,,,
,,,,,,,,,,,,
,Q001,Cra b (Menippe merc,enaria),1,49.09,82.64,,108,214,140,256,53.87
,,,,,,,,,,,,
,Q002,"Crab, sea (Portunus",sanguinolentus),1,31.72,30.35,6.97,67.91,129,64.32,146,23.18
,,,,,,,,,,,,
,Q003,"Lobster, brown (The",nus orientalis),1,26.66,23.17,4.72,40.06,106,72.73,118,32.64
,,,,,,,,,,,,
,Q004,"Lobster, king siz e (T",henus orientalis),1,54.59,67.46,,68.32,174,129,206,41.13
,,,,,,,,,,,,
,Q005,Mud cra b (Scylla tra,nquebarica),1,35.64,41.52,5.53,31.76,95.11,66.63,129,7.10
,,,,,,,,,,,,
,Q006,Oyste r (Crassostrea,sp.),1,95.01,256,26.65,210,1087,298,651,32.45
,,,,,,,,,,,,
,Q007,"Tiger prawns, brown",(Solenocera crassicornis),1,22.95,19.83,6.63,35.72,121,76.53,101,70.80
,,,,,,,,,,,,
,Q008,"Tiger Prawns, orang",e (Penaeus monodon),1,54.81,69.78,8.28,50.40,177,88.30,204,19.47
