edoc dooF,Food Name,,snoigeR fo .oN,Histidine,Isoleucine,Luecine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
A,CEREALS AND M,ILLETS,,,,,,,,,,,
A001,"Amaranth seed, black (A cruentus)",maranthus,1,1.86,2.82,4.83,5.45,1.86,1.60,3.98,3.02,1.50,4.34
A002,"Amaranth seed, pale bro (Amaranthus cruentus)",wn,6,1.98±0.50,2.85±0.04,4.94±0.17,5.50±0.35,1.95±0.12,1.51±0.15,4.75±0.41,2.99±0.21,1.69±0.10,4.30±0.27
A003,Bajra (Pennisetum typhoi,deum),6,2.15±0.37,3.45±0.74,8.52±0.86,3.19±0.49,2.11±0.50,1.23±0.33,4.82±1.18,3.55±0.40,1.33±0.30,4.79±1.04
A004,Barley (Hordeum vulgare,),6,2.13±0.23,3.63±0.40,6.49±0.41,3.42±0.19,1.86±0.04,2.20±0.27,4.88±0.44,3.30±0.14,1.28±0.07,4.78±0.49
A005,Jowar (Sorghum vulgare),,6,2.07±0.20,3.45±0.63,12.03±1.51,2.31±0.40,1.52±0.50,1.06±0.30,5.10±0.50,2.96±0.17,1.03±0.21,4.51±0.71
A006,"Maize, dry (Zea mays)",,6,2.70±0.21,3.67±0.22,12.24±0.57,2.64±0.18,2.10±0.17,1.55±0.14,5.14±0.29,3.23±0.29,0.57±0.12,5.41±0.71
A007,"Maize, tender, local (Zea",mays),6,2.15±0.47,3.55±0.21,10.09±1.65,2.02±0.39,1.67±0.06,1.18±0.32,3.95±1.15,2.97±0.42,0.58±0.07,3.54±0.37
A008,"Maize, tender, sweet (Ze",a mays),4,2.16±0.18,3.45±0.08,10.61±0.71,2.06±0.17,1.76±0.09,1.36±0.15,3.05±0.21,2.88±0.53,0.70±0.05,3.88±0.29
A009,Quinoa(Chenopodium qu,inoa),1,2.98,3.75,6.08,5.55,2.24,1.85,4.35,3.01,1.25,4.55
A010,Ragi (Eleusine coracana),,5,2.37±0.46,3.70±0.44,8.86±0.54,2.83±0.34,2.74±0.27,1.48±0.23,5.70±1.27,3.84±0.45,0.91±0.30,5.65±0.44
A011,Rice flakes (Oryza sativa,),6,2.28±0.10,3.62±0.79,8.05±0.64,3.62±0.27,2.11±0.51,1.65±0.47,5.22±0.24,3.17±0.40,1.11±0.13,5.40±1.23
A012,Rice puffed (Oryza sativa,),6,2.11±0.13,3.68±0.88,7.75±0.47,3.14±0.21,2.00±0.32,1.34±0.13,5.33±0.27,3.03±0.44,1.07±0.29,5.37±1.33
A013,"Rice, raw, brown (Oryza",sativa ),6,2.36±0.18,4.08±0.51,8.40±0.55,3.63±0.29,2.39±0.26,2.02±0.12,5.50±0.49,3.38±0.25,1.00±0.17,6.72±0.36
A014,"Rice, parboiled, milled (",Oryza sativa ),6,2.35±0.18,4.14±0.08,8.08±0.06,3.42±0.10,2.48±0.24,2.15±0.08,5.14±0.10,3.24±0.12,1.15±0.06,6.26±0.13
A015,"Rice, raw, milled (Oryza",sativa ),6,2.45±0.30,4.29±0.23,8.09±0.40,3.70±0.39,2.60±0.34,1.84±0.18,5.36±0.43,3.28±0.27,1.27±0.14,6.06±0.02
A016,Samai (Panicum miliare),,6,2.35±0.18,4.14±0.08,8.08±0.06,2.42±0.10,2.21±0.10,1.85±0.14,6.14±0.10,4.24±0.12,1.35±0.10,5.31±0.16
A017,Varagu (Setaria italica),,5,2.14±0.07,4.55±0.22,11.96±1.65,1.42±0.17,2.69±0.16,1.92±0.05,6.27±0.34,3.89±0.16,1.32±0.19,5.49±0.23
A018,"Wheat flour, refined (Trit aestivum)",icum,6,1.95±0.23,3.19±0.27,6.22±0.46,2.05±0.18,1.64±0.20,2.03±0.27,4.29±0.28,2.34±0.08,1.04±0.16,4.01±0.44
