Table,Tabl,e 8. AMINO,ACID P,ROFI,LE,,,,,,,
8.,,,,,,,,,,,,
Am,(All val,ues are expressed in,g per 100g pr,otein),,,,,,,,
ino,,,,,,,,,,,,
A,,,,s,,,,,,,,
cid,e,,,no,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
,d,,,i,,,,,,,,
Prof,oc,Food Name,,geR,,,,g,,,,
ile,do,,,f,,,,,,,,
,o,,,o,,,,,,,,
,F,,,.o,,,,,,,,
,,,,,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
,,,,N,,,,,,,,
,,,,,,,,,,,,
,A,CEREALS AND M,ILLETS,,,,,,,,,
,,,,,,,,,,,,
,A001,"Amaranth seed, black (A",maranthus,1,4.26,7.77,12.57,16.12,8.50,3.76,7.79,2.85
,,cruentus),,,,,,,,,,
,,,,,,,,,,,,
,A002,"Amaranth seed, pale bro",wn,6,3.83±0.64,7.21±0.91,12.70±2.25,17.39±1.68,8.28±0.35,3.83±0.45,7.27±0.46,3.10±0.34
,,(Amaranthus cruentus),,,,,,,,,,
,,,,,,,,,,,,
,A003,Bajra (Pennisetum typhoi,deum),6,7.68±1.01,4.54±0.62,7.77±1.29,17.42±1.69,3.52±0.17,5.30±0.26,4.44±0.41,2.67±0.51
,,,,,,,,,,,,
,A004,Barley (Hordeum vulgare,),6,4.20±0.79,5.22±0.20,6.51±0.61,26.75±1.15,4.03±0.61,9.79±0.87,4.80±0.55,2.68±0.41
,,,,,,,,,,,,
,A005,Jowar (Sorghum vulgare),,6,9.19±1.12,3.96±0.43,7.09±0.86,21.54±2.81,3.08±0.25,6.99±0.92,4.02±0.43,3.61±0.25
,,,,,,,,,,,,
,A006,"Maize, dry (Zea mays)",,6,7.73±0.46,4.20±0.24,6.55±0.59,19.39±0.70,3.27±0.15,7.88±0.71,4.58±0.44,3.71±0.18
26,,,,,,,,,,,,
0,A007,"Maize, tender, local (Zea",mays),6,9.90±5.07,3.05±0.42,9.24±1.45,20.05±2.14,4.50±2.09,7.91±0.97,6.07±0.91,3.15±0.37
,,,,,,,,,,,,
,,,,,,,,,,,,
,A008,"Maize, tender, sweet (Ze",a mays),4,7.61±0.20,3.63±0.21,8.55±1.21,18.72±1.81,4.65±0.37,8.60±0.11,5.62±0.12,3.26±0.22
,,,,,,,,,,,,
,A009,Quinoa(Chenopodium qu,inoa),1,4.35,7.85,8.40,13.75,4.80,5.67,4.56,1.98
,,,,,,,,,,,,
,A010,Ragi (Eleusine coracana),,5,6.71±0.80,4.33±0.48,6.40±0.53,20.22±0.73,3.59±0.35,5.42±0.42,4.81±0.57,3.37±0.80
,,,,,,,,,,,,
,A011,Rice flakes (Oryza sativa,),6,6.34±0.96,7.62±0.40,9.20±0.82,18.60±1.02,4.35±0.30,4.27±0.36,4.78±0.93,3.75±0.51
,,,,,,,,,,,,
,A012,Rice puffed (Oryza sativa,),6,6.19±1.01,7.04±0.50,8.79±1.05,17.96±0.97,4.03±0.39,4.04±0.55,4.62±0.55,4.13±0.54
,,,,,,,,,,,,
,A013,"Rice, raw, brown (Oryza",sativa ),6,6.60±0.75,7.69±0.37,8.68±0.46,18.75±1.03,4.28±0.19,4.33±0.39,4.64±0.62,4.36±0.36
,,,,,,,,,,,,
,A014,"Rice, parboiled, milled (",Oryza sativa ),6,5.60±0.10,7.95±0.10,8.51±0.29,19.22±0.24,4.19±0.14,4.04±0.10,4.60±0.09,4.43±0.09
,,,,,,,,,,,,
,A015,"Rice, raw, milled (Oryza",sativa ),6,5.51±0.40,7.72±0.55,8.73±0.80,18.92±1.76,4.18±0.16,4.31±0.78,4.95±0.21,4.36±0.41
,,,,,,,,,,,,
,A016,Samai (Panicum miliare),,6,8.60±0.10,5.96±0.11,5.51±0.29,20.22±0.24,3.43±0.33,6.04±0.10,5.60±0.09,3.43±0.09
,,,,,,,,,,,,
,A017,Varagu (Setaria italica),,5,11.00±0.36,3.18±0.19,5.61±0.88,18.25±1.87,3.12±0.29,7.33±0.53,5.50±0.31,3.87±0.38
,,,,,,,,,,,,
,A018,"Wheat flour, refined (Trit",icum,6,2.98±0.37,3.49±0.28,4.63±0.39,31.57±1.80,3.21±0.20,9.23±0.64,4.77±0.39,2.62±0.15
,,aestivum),,,,,,,,,,
,,,,,,,,,,,,
,A019,"Wheat flour, atta (Triticu",m aestivum),6,3.88±1.11,4.70±0.21,5.06±0.16,29.61±2.08,3.76±0.56,10.27±0.84,4.73±0.49,2.10±0.06
