Tabl,e,,,,sn,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
e 8. A,doc,,,,oige,,,,,,,,
mino A,dooF,,Food Name,,R fo .o,ALA,ARG,ASP,g GLU,GLY,PRO,SER,TYR
cid Pro,A020,"Wheat, who",le (Triticum aes,tivum),N 6,3.64±0.21,5.13±0.33,5.44±0.33,27.06±1.76,4.19±0.23,10.25±1.49,4.80±0.14,3.12±0.31
file,,,,,,,,,,,,,
,A021,"Wheat, bulg",ur (Triticum ae,stivum),6,3.48±0.42,5.36±0.54,5.15±0.19,30.48±5.06,4.27±0.19,10.49±0.52,4.87±0.17,2.46±1.23
,,,,,,,,,,,,,
,A022,"Wheat, sem",olina (Triticum,aestivum),6,3.46±0.35,4.34±0.20,4.94±0.21,31.05±1.75,3.50±0.11,9.49±0.84,4.44±0.67,3.00±0.24
,,,,,,,,,,,,,
,A023,"Wheat, ver",micelli (Triticum,aestivum),6,3.59±0.13,2.98±0.43,5.39±0.97,31.96±1.20,4.54±1.77,9.89±1.65,5.33±0.62,2.18±0.76
,,"Wheat, ver","micelli, roasted",(Triticum,,,,,,,,,
,A024,aestivum),,,6,3.74±0.55,2.84±0.49,4.78±0.75,34.08±0.60,4.35±0.47,9.43±0.72,5.35±0.41,1.92±0.82
,,,,,,,,,,,,,
,B,GRAIN L,EGUMES,,,,,,,,,,
,,,,,,,,,,,,,
,B001,Bengal gra,"m, dal (Cicer ar",ietinum),6,4.11±0.36,8.83±0.53,11.73±0.80,16.52±0.10,3.46±0.24,3.53±0.25,4.56±0.45,2.72±0.29
,,,,,,,,,,,,,
,B002,Bengal gra,"m, whole (Cicer",arietinum),6,4.67±0.56,8.59±0.58,11.78±1.60,17.27±1.08,3.95±0.16,3.74±0.19,5.10±0.65,2.88±0.15
,,,,,,,,,,,,,
2,B003,"Black gram,",dal (Phaseolu,s mungo),6,4.73±0.57,6.25±0.47,11.96±0.71,18.38±1.37,3.38±0.26,3.73±0.28,5.54±0.61,3.04±0.23
62,,"Black gram,",whole (Phase,olus,,,,,,,,,
,B004,mungo),,,6,4.64±0.82,6.06±0.49,13.12±1.60,19.00±1.10,3.80±0.41,4.03±0.13,5.29±0.69,3.06±0.17
,,,,,,,,,,,,,
,B005,"Cowpea, br",own (Vigna cat,jang),6,4.24±0.57,7.10±1.36,10.11±1.15,19.02±2.19,4.69±0.51,4.60±0.28,4.44±0.18,2.83±0.26
,,,,,,,,,,,,,
,B006,"Cowpea, wh",ite (Vigna catja,ng),1,5.06,7.44,11.01,18.20,4.09,4.05,4.80,3.25
,,,,,,,,,,,,,
,B007,"Field bean,",black (Phaseol,us vulgaris),1,5.47,7.49,10.47,17.14,4.74,4.43,5.76,4.00
,,"Field bean,",brown (Phaseo,lus,,,,,,,,,
,B008,"vulgaris) Field bean,",white (Phaseo,lus,1,5.37,7.71,10.07,17.28,4.25,4.43,5.61,3.85
,B009,vulgaris),,,5,5.19±0.37,7.01±0.73,10.61±0.60,16.59±2.32,4.04±0.28,4.24±0.31,5.51±0.40,3.84±0.21
,,,,,,,,,,,,,
,B010,Green gram,", dal (Phaseolu",s aureus),6,4.59±0.33,6.51±0.58,12.10±2.16,17.43±2.22,3.70±0.53,3.67±0.67,5.01±0.53,2.95±0.44
,,Green gram,", whole (Phase",olus,,,,,,,,,
,B011,aureus),,,6,4.94±0.77,6.62±0.30,10.99±0.94,18.59±1.15,3.78±0.39,4.07±0.49,5.50±0.82,2.83±0.27
,,,,,,,,,,,,,
,B012,Horse gram,", whole (Dolicu",s biflorus),6,4.60±0.75,5.87±0.27,11.24±1.19,18.54±1.69,4.03±0.34,3.72±0.34,5.19±0.75,3.18±0.26
,,,,,,,,,,,,,
,B013,Lentil dal (L,ens culinaris),,6,4.45±0.70,7.92±0.44,12.69±1.67,18.31±0.61,3.67±0.26,3.63±0.31,4.90±0.64,2.95±0.21
,,,,,,,,,,,,,
,B014,Lentil whol,"e, brown (Lens",culinaris),6,5.75±0.61,7.44±2.06,12.48±1.70,17.25±1.68,4.78±0.08,5.01±1.49,5.51±0.21,2.40±0.77
,,Lentil whol,"e, yellowish (L",ens,,,,,,,,,
,B015,culinaris),,,2,5.59,7.74,12.93,16.48,4.89,4.50,5.68,2.81
