edoc dooF,,Food Name,,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,,g,,,,,
,,,,,,,,,,,,,,
,,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
B016,Moth bean (,Vigna aconiti,folia),6,2.80±0.29,4.17±0.57,7.85±0.73,6.63±0.60,0.97±0.20,0.43±0.06,5.85±0.70,3.63±0.11,0.92±0.04,4.90±0.47
B017,"Peas, dry (Pi",sum sativum,),6,2.34±0.09,3.87±0.46,7.02±0.38,7.12±0.51,0.68±0.19,0.82±0.15,4.76±0.23,3.65±0.15,0.86±0.19,4.67±0.66
B018,"Rajmah, blac",k (Phaseolu,s vulgaris),2,2.44,3.91,6.84,6.01,0.79,0.72,5.32,3.91,1.22,4.83
B019,"Rajmah, bro",wn (Phaseol,us vulgaris),6,2.71±0.22,4.27±0.50,7.93±0.43,6.67±0.18,0.97±0.26,0.62±0.21,5.91±0.56,4.35±0.21,1.04±0.13,5.21±0.69
B020,"Rajmah, red",(Phaseolus,vulgaris),3,2.70±0.30,4.23±0.38,7.78±0.71,6.71±0.81,0.88±0.40,0.70±0.18,5.90±0.56,4.18±0.65,1.05±0.27,5.07±0.71
B021,"Red gram, d",al (Cajanus,cajan),6,3.16±0.27,3.42±0.43,6.73±0.56,6.16±0.28,0.87±0.22,0.67±0.12,8.76±1.02,3.26±0.17,0.71±0.11,4.38±0.30
B022,"Red gram, w",hole (Cajan,us cajan),6,3.28±0.13,3.38±0.49,6.88±0.48,7.07±0.37,0.92±0.32,0.91±0.07,8.71±0.82,3.38±0.21,0.75±0.17,4.17±0.65
B023,Ricebean (Vi,gna umbella,ta),1,3.23,3.80,7.86,6.75,1.12,1.02,7.56,3.52,0.82,5.23
B024,"Soya bean, b",rown (Glyc,ine max),6,2.40±0.28,4.57±0.33,8.27±0.17,7.67±0.11,1.46±0.11,1.56±0.08,4.73±0.77,3.47±0.17,1.59±0.26,5.04±0.59
B025,"Soya bean,",white (Glycin,e max),1,2.55,4.59,8.14,7.18,1.55,1.44,5.01,3.88,1.68,5.53
C,GREEN L,EAFY V,EGETABLES,,,,,,,,,,,
C001,Agathi leave,s (Sesbania,grandiflora),1,2.39,2.80,7.58,7.62,1.28,0.85,6.03,5.39,1.77,5.99
C002,Amaranth le (Amaranthus,"aves, green gangeticus)",,6,2.12±0.35,4.39±0.65,8.04±0.79,5.48±0.35,1.38±0.06,0.82±0.14,5.68±0.65,4.16±0.36,1.01±0.08,5.03±0.82
C003,Amaranth le gangeticus),"aves, red (A",maranthus,1,2.01,4.31,8.20,5.58,1.63,0.96,4.77,4.04,1.20,5.24
C004,Amaranth le (Amaranthus,"aves, red an gangeticus)",d green,4,2.15±0.15,4.33±1.25,8.40±0.89,5.26±1.33,1.44±0.39,1.06±0.22,5.88±0.10,4.39±0.60,1.08±0.11,4.98±1.37
C005,Amaranth sp (Amaranthus,"inosus, lea spinosus)","ves, green",4,1.95±0.24,4.05±0.18,7.66±0.48,4.99±0.15,1.25±0.03,0.71±0.09,5.00±0.82,4.40±0.30,0.89±0.21,4.18±1.06
C006,Amaranth sp green (Amar,"inosus, lea anthus spino","ves, red and sus)",2,1.90,3.03,7.57,4.74,1.10,0.75,4.34,4.44,1.17,4.12
C007,Basella leav,es (Basella,alba),2,2.20,3.30,7.68,5.16,0.90,0.79,4.17,4.01,1.88,3.88
C008,Bathua leave,s (Chenopo,dium album),2,1.76,4.83,8.99,3.77,1.77,0.89,5.73,4.95,1.08,6.07
