edoc dooF,Food,Name,snoigeR fo .oN,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
,,,,,,,g,,,,
,,,,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
C010,"Betel leaves, big ( betle)",kolkata) (Piper,6,8.68±0.82,4.94±0.51,12.59±0.61,13.33±1.59,7.50±1.22,5.43±0.79,6.16±0.69,3.48±0.27
C011,"Betel leaves, sma",ll (Piper betle),4,7.61±1.58,4.59±0.57,11.69±0.47,12.99±1.39,7.88±1.42,5.13±0.87,6.21±0.96,3.37±0.28
C012,Brussels sprouts var. gemmifera),(Brassica oleracea,1,4.63,7.63,12.36,20.82,4.54,8.89,5.45,2.37
C013,"Cabbage, Chines",e (Brassica rupa),1,6.37,5.84,10.84,21.42,3.82,3.76,5.82,2.05
C014,"Cabbage, collard oleracea var. viridi",greens (Brassica s),1,7.68,4.32,11.13,21.91,5.61,5.35,4.20,2.78
C015,"Cabbage, green ( var. capitata f. alba",Brassica oleracea ),6,6.26±0.95,4.57±1.62,10.55±1.92,26.30±5.17,3.24±0.74,3.98±0.85,4.02±0.76,2.11±0.29
C016,"Cabbage, violet (B var. capitata f. rubr",rassica oleracea a),2,6.17,4.67,11.53,28.60,3.04,4.34,4.22,2.29
C017,Cauliflower leave oleracea var. botry,s (Brassica tis),6,6.82±0.41,5.89±0.88,11.76±1.28,22.09±2.64,3.96±0.14,4.63±0.51,5.14±0.16,0.77±0.99
C018,"Colocasia leaves, anti-quorum)",green (Colocasia,6,9.40±2.53,5.84±0.43,8.55±3.08,15.25±1.91,4.66±0.50,5.01±0.18,4.52±0.32,3.78±0.21
C019,Drumstick leaves,(Moringa oleifera),3,7.18±0.84,5.56±0.61,11.94±1.80,16.87±2.55,4.60±0.17,4.00±0.37,4.79±0.55,2.87±0.23
C020,Fenugreek leaves graecum),(Trigonella foenum,5,6.06±1.35,5.45±0.97,13.48±2.09,11.12±2.92,5.21±0.45,4.92±0.89,3.94±0.88,3.55±0.26
C021,Garden cress (Le,pidium sativum),2,7.15,4.41,12.48,15.70,5.79,5.06,4.00,3.50
C022,"Gogu leaves, gre cannabinus)",en (Hibiscus,4,7.30±1.61,6.04±0.39,11.78±1.43,12.63±0.43,5.17±0.45,4.31±0.14,4.88±0.63,3.40±0.19
C023,"Gogu leaves, red",(Hibiscus cannabinus),1,6.79,6.92,12.21,12.82,5.57,4.69,4.79,3.80
C024,"Knol-Khol, leaves var. gongylodes)",(Brassica oleracea,2,6.76,5.30,10.33,18.00,5.31,5.39,4.48,2.90
C025,Lettuce (Lactuca s,ativa),3,6.51±1.32,4.77±0.70,11.32±1.55,16.10±3.52,5.68±0.33,4.51±0.41,3.80±1.00,3.00±0.57
C026,Mustard leaves (B,rassica juncea),3,6.60±0.38,5.74±1.04,10.86±1.05,18.67±1.11,5.31±0.37,4.65±0.63,5.11±0.53,3.21±0.17
C027,Pak Choi leaves(B Chinensis),rassica rapa var.,1,5.86,6.58,9.58,12.86,4.87,4.76,4.61,3.48
C028,Parsley (Petroseli,num crispum),3,7.18±0.42,4.53±0.18,11.18±0.12,12.86±0.09,5.06±0.02,4.63±0.55,4.56±0.21,3.00±0.44
C029,Ponnaganni (Alter,nanthera sessilis),2,6.83,4.67,9.32,14.56,6.02,5.40,4.46,3.25
C030,"Pumpkin leaves, t maxima)",ender (Cucurbita,6,5.62±1.10,6.02±1.00,11.79±1.10,14.36±0.04,5.50±0.35,5.25±0.54,4.65±0.19,3.46±0.22
