edoc dooF,Food N,ame,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
D037,Celery stalk (Apium,graveolens),3,1.43±0.13,2.93±0.14,4.44±0.45,3.32±0.21,0.90±0.05,0.45±0.07,2.92±0.53,3.71±0.56,1.15±0.03,4.64±0.15
D038,Cho-cho-marrow (S,echium edule),4,1.82±0.54,4.72±0.68,8.64±0.94,3.56±0.56,1.29±0.17,0.70±0.17,4.65±0.54,4.57±0.67,0.86±0.09,6.71±0.69
D039,Cluster beans (Cya tetragonobola),mopsis,6,1.75±0.33,2.68±1.05,4.68±0.73,3.09±0.56,0.82±0.03,1.02±0.20,2.99±0.99,3.27±0.86,0.91±0.16,3.96±1.01
D040,"Colocasia, stem, bl antiquorum)",ack (Colocasia,1,2.28,4.10,7.53,4.09,1.22,1.51,4.06,4.28,0.75,5.96
D041,"Colocasia, stem, gr antiquorum)",een (Colocasia,5,2.37±0.51,4.26±0.53,7.20±0.53,3.33±0.97,1.20±0.19,0.80±0.20,4.14±0.48,4.22±0.34,0.73±0.10,5.96±0.35
D042,"Corn, Baby(Zea may",s),6,2.13±0.16,4.35±0.28,8.03±0.30,3.36±0.39,1.59±0.29,1.27±0.13,4.85±0.17,4.83±0.34,0.96±0.18,4.87±0.33
D043,"Cucumber, green, e (Cucumis sativus)",longate,6,1.92±0.27,4.14±0.47,6.94±0.63,3.15±0.30,1.06±0.22,0.64±0.14,3.17±0.45,3.13±0.72,0.27±0.12,6.09±0.88
D044,"Cucumber, green, s sativus)",hort (Cucumis,6,1.84±0.28,3.77±0.47,6.11±0.37,3.38±0.29,0.87±0.15,0.79±0.22,4.14±0.05,3.14±0.16,0.66±0.14,5.22±0.38
D045,"Cucumber, orange, sativus)",round (Cucumis,2,1.80,4.74,6.43,3.28,0.75,0.76,4.43,3.70,0.52,6.13
D046,Drumstick (Moringa,oleifera),6,1.95±0.15,3.08±0.29,5.98±0.37,3.09±0.45,1.10±0.30,0.89±0.22,3.43±0.36,3.83±0.08,0.53±0.15,5.02±0.35
D047,"Field beans, tender, faba)",broad (Vicia,2,2.63,4.05,8.19,4.61,0.83,0.59,4.57,3.68,0.75,5.10
D048,"Field beans, tender,",lean (Vicia faba),6,2.75±0.06,4.30±0.19,8.20±0.37,5.35±0.49,0.94±0.06,0.62±0.11,4.73±0.41,3.76±0.04,0.80±0.08,5.21±0.16
D049,"French beans, coun vulgaris)",try (Phaseolus,5,3.01±0.67,3.79±0.67,7.29±0.81,4.77±0.54,0.83±0.12,0.60±0.15,4.04±0.57,4.39±0.25,0.96±0.13,5.38±0.84
D050,"French beans, hybri vulgaris)",d (Phaseolus,2,2.57,4.35,6.71,4.83,1.07,0.53,4.22,4.32,0.80,5.98
D051,"Jack fruit, raw (Arto heterophyllus)",carpus,5,1.86±0.21,4.90±0.48,6.60±0.53,2.99±0.14,0.79±0.11,0.65±0.09,3.96±0.76,4.16±0.56,0.53±0.08,5.65±0.18
D052,"Jack fruit, seed, ma heterophyllus)",ture (Artocarpus,5,1.69±0.17,5.50±0.52,7.19±0.34,3.73±0.29,0.94±0.17,0.55±0.03,6.22±0.34,5.46±0.51,0.94±0.14,6.86±0.10
D053,Knol - Khol (Brassic,a oleracea),6,0.91±0.65,3.40±0.11,4.04±0.09,2.50±1.09,0.96±0.06,0.71±0.02,1.90±0.18,3.30±0.26,0.78±0.05,5.31±0.19
D054,"Kovai, big (Coccinia",cordifolia),6,1.91±0.16,4.10±0.36,7.32±0.34,7.05±0.27,0.94±0.09,0.66±0.11,3.87±0.81,4.17±0.38,0.93±0.08,4.97±0.78
D055,"Kovai, small (Coccin",ia cordifolia),1,1.83,3.88,7.14,6.38,0.90,0.69,4.16,4.20,0.85,5.05
D056,Ladies finger (Abelm esculentus),oschus,6,2.42±0.37,3.26±0.48,5.04±0.42,3.79±0.51,0.81±0.21,0.57±0.10,3.44±0.27,3.75±0.38,0.49±0.09,4.46±0.36
