Ta,,,,s,,,,,,,,
ble,e,,,no,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doc,,,ige,,,,,,,,
mino,doo,Food N,ame,R fo .,,,,g,,,,
A,F,,,o,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
ci,,,,N,,,,,,,,
d,,,,,,,,,,,,
Pro,D037,Celery stalk (Apium,graveolens),3,3.07±0.10,3.53±0.51,20.42±1.44,25.87±1.94,3.61±0.13,2.85±0.40,4.29±0.28,2.21±0.04
file,,,,,,,,,,,,
,D038,Cho-cho-marrow (S,echium edule),4,7.29±0.79,4.01±1.93,13.25±2.43,16.75±1.63,4.85±0.54,4.18±0.85,5.90±0.81,3.35±0.92
,,,,,,,,,,,,
,D039,Cluster beans (Cya,mopsis,6,7.08±1.05,6.48±0.49,18.73±3.01,11.00±1.56,4.44±0.51,3.90±0.42,4.15±0.77,4.17±0.84
,,tetragonobola),,,,,,,,,,
,D040,"Colocasia, stem, bl",ack (Colocasia,1,7.77,4.52,13.23,16.36,5.87,4.63,5.53,3.56
,,antiquorum),,,,,,,,,,
,D041,"Colocasia, stem, gr",een (Colocasia,5,7.37±1.23,4.70±0.63,11.84±1.78,18.86±2.51,6.69±1.43,4.14±0.75,4.94±0.80,3.08±0.47
,,antiquorum),,,,,,,,,,
,,,,,,,,,,,,
,D042,"Corn, Baby(Zea may",s),6,6.85±0.26,5.90±0.18,12.40±1.31,17.20±0.55,5.84±0.21,4.66±0.31,4.23±0.34,3.15±0.27
,,,,,,,,,,,,
,D043,"Cucumber, green, e",longate,6,7.18±1.41,4.47±0.44,6.96±0.92,22.84±2.45,4.47±0.52,3.30±0.49,3.79±0.68,2.98±0.46
,,(Cucumis sativus),,,,,,,,,,
,D044,"Cucumber, green, s",hort (Cucumis,6,7.12±0.81,4.96±1.46,7.03±0.10,24.25±3.15,4.94±0.87,3.68±0.35,3.94±0.72,2.58±0.32
,,sativus),,,,,,,,,,
,D045,"Cucumber, orange,",round (Cucumis,2,7.19,3.42,7.48,25.58,5.51,3.94,3.53,3.11
,,sativus),,,,,,,,,,
27,,,,,,,,,,,,
2,D046,Drumstick (Moringa,oleifera),6,5.68±0.61,10.93±0.29,9.42±1.33,23.30±2.18,3.91±0.41,3.36±0.54,4.60±0.34,2.16±0.20
,,,,,,,,,,,,
,,,,,,,,,,,,
,D047,"Field beans, tender,",broad (Vicia,2,5.88,6.02,13.35,14.95,4.53,4.24,5.43,3.36
,,faba),,,,,,,,,,
,,,,,,,,,,,,
,D048,"Field beans, tender,",lean (Vicia faba),6,5.58±0.10,6.01±0.23,13.41±1.66,16.19±1.64,4.64±0.17,4.13±0.06,5.64±0.22,3.62±0.13
,,,,,,,,,,,,
,D049,"French beans, coun",try (Phaseolus,5,5.78±0.63,5.95±0.71,11.66±0.48,15.73±1.66,4.32±0.26,4.01±0.31,5.09±0.82,3.15±0.50
,,vulgaris),,,,,,,,,,
,D050,"French beans, hybri",d (Phaseolus,2,4.08,6.41,11.43,13.06,3.90,5.81,5.20,2.95
,,vulgaris),,,,,,,,,,
,D051,"Jack fruit, raw (Arto",carpus,5,6.13±0.30,3.68±0.50,21.99±1.65,10.62±1.45,5.59±0.44,4.06±0.46,4.40±0.57,2.95±0.41
,,heterophyllus),,,,,,,,,,
,D052,"Jack fruit, seed, ma",ture (Artocarpus,5,4.89±0.37,3.02±0.30,15.33±1.83,11.45±0.46,5.99±0.33,4.81±0.53,5.31±0.62,5.61±0.12
,,heterophyllus),,,,,,,,,,
,,,,,,,,,,,,
,D053,Knol - Khol (Brassic,a oleracea),6,5.51±0.97,5.74±1.70,9.88±0.18,36.40±1.63,3.43±0.14,3.27±0.24,4.02±0.29,2.01±0.09
,,,,,,,,,,,,
,D054,"Kovai, big (Coccinia",cordifolia),6,7.18±0.68,6.04±1.10,10.69±1.01,20.82±1.66,5.18±0.19,4.17±0.48,5.71±0.37,3.04±0.64
,,,,,,,,,,,,
,D055,"Kovai, small (Coccin",ia cordifolia),1,6.57,6.45,11.71,21.11,4.67,3.61,5.19,3.31
,,,,,,,,,,,,
,D056,Ladies finger (Abelm,oschus,6,5.37±0.57,5.95±0.70,15.47±1.48,16.70±1.03,3.95±0.47,3.39±0.47,3.59±0.32,2.51±0.43
,,esculentus),,,,,,,,,,
,,,,,,,,,,,,
,D057,"Mango, green, raw (",Mangifera indica),6,9.22±1.34,5.34±1.22,10.23±0.75,14.23±0.85,5.43±0.81,5.34±1.02,4.99±1.08,3.39±0.55
