edoc dooF,Food,Name,,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,,g,,,,,
,,,,,,,,,,,,,,
,,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
D058,"Onion, stalk (Alliu",m cepa,),6,2.16±0.18,4.88±0.20,8.05±0.20,6.50±0.38,1.21±0.22,0.46±0.12,4.09±0.19,4.74±0.33,1.07±0.03,5.90±0.32
D059,"Papaya, raw (Caric",a pap,aya),6,0.97±0.09,1.57±0.19,3.22±0.28,3.82±0.98,0.63±0.21,3.77±0.37,3.91±1.94,2.85±0.80,1.00±0.10,3.16±0.23
D060,Parwar (Trichosant,hes di,oica),6,1.75±0.27,4.41±0.59,7.22±0.30,5.89±0.91,1.33±0.33,0.86±0.10,3.86±0.99,3.82±0.45,0.59±0.15,5.95±0.32
D061,"Peas, fresh (Pisum",sativu,m),6,2.15±0.38,3.33±1.04,7.63±0.64,5.72±0.54,0.63±0.12,0.64±0.13,5.02±0.24,4.08±0.37,0.84±0.08,4.23±0.98
D062,"Plantain, flower (M",usa x,paradisiaca),6,2.31±0.14,3.63±0.50,7.06±0.47,2.81±0.20,0.81±0.19,0.65±0.15,3.68±0.31,4.43±0.20,0.81±0.10,4.75±0.55
D063,"Plantain, green (M",usa x,paradisiaca),6,2.45±0.19,2.59±0.54,4.98±0.51,3.70±0.25,0.80±0.08,0.67±0.10,5.32±1.40,2.93±0.25,0.68±0.13,5.51±0.46
D064,"Plantain, stem (Mu",sa x p,aradisiaca),6,1.91±0.58,4.92±0.41,4.59±0.32,2.99±0.64,1.57±0.34,0.99±0.21,4.50±0.78,4.86±0.50,0.67±0.11,5.84±0.62
D065,"Pumpkin, green, c (Cucurbita maxima)",ylindr,ical,1,2.18,4.54,5.41,3.40,0.96,0.60,2.84,3.47,0.73,5.97
D066,"Pumpkin, orange, maxima)",roun,d (Cucurbita,6,1.68±0.10,5.00±0.36,5.32±0.34,3.20±0.48,1.03±0.13,0.68±0.06,4.91±1.13,3.85±0.43,0.77±0.19,6.05±0.50
D067,"Red gram, tender, cajan)",fresh,(Cajanus,1,3.14,3.31,4.89,6.21,0.41,0.75,8.56,3.87,0.99,4.30
D068,Ridge gourd (Luffa,acuta,ngula),6,1.87±0.14,4.60±0.14,5.34±0.09,4.78±0.37,0.98±0.08,0.40±0.10,4.21±0.38,3.68±0.11,0.72±0.09,5.95±0.30
D069,"Ridge gourd, smo acutangula)",oth sk,in (Luffa,3,2.25±0.59,4.92±0.40,5.79±0.10,4.64±0.72,1.06±0.25,0.42±0.07,4.45±0.28,4.03±0.27,0.69±0.05,5.99±0.30
D070,"Snake gourd, long (Trichosanthes ang",", pale uina)",green,6,1.64±0.12,4.11±0.62,5.22±0.07,4.13±0.28,0.90±0.13,0.65±0.05,4.11±0.36,3.40±0.37,0.60±0.09,5.66±0.48
D071,"Snake gourd, long (Trichosanthes ang",", dark uina)",green,2,1.85,4.85,5.71,5.64,0.93,0.64,3.95,3.86,0.63,5.27
D072,"Snake gourd, shor anguina)",t (Tric,hosanthes,1,1.35,4.06,5.66,4.91,1.13,0.61,4.25,3.12,0.63,5.40
D073,"Tinda, tender (Pra",ecitrull,us fistulosus),6,1.78±0.13,4.11±0.09,6.70±0.22,4.88±0.86,0.91±0.04,0.70±0.05,3.64±0.10,3.70±0.08,0.62±0.13,5.79±0.12
D074,"Tomato, green (Ly esculentum)",copers,icon,6,2.26±1.19,2.69±0.26,3.62±0.37,4.35±0.52,1.01±0.16,0.80±0.07,3.47±0.59,2.62±0.37,0.73±0.07,3.09±0.15
D075,"Tomato, ripe, hybr esculentum)",id (Ly,copersicon,6,1.58±0.18,2.29±0.71,4.18±0.93,2.55±0.58,0.67±0.16,0.95±0.19,4.54±0.91,2.52±0.63,0.52±0.11,2.74±0.97
D076,"Tomato, ripe, loca esculentum)",l (Lyco,persicon,6,1.36±0.27,2.69±0.38,4.71±0.57,2.33±0.38,0.68±0.34,0.94±0.14,4.30±0.77,2.71±0.40,0.64±0.07,3.26±0.63
D077,"Zucchini, green (C",ucurbi,ta pepo),2,1.98,4.24,5.68,4.67,0.78,0.57,4.73,3.82,0.85,5.87
D078,"Zucchini, yellow(C",ucurbi,ta pepo),2,1.74,4.25,5.50,5.03,0.75,0.68,5.54,3.81,0.86,5.71
