Ta,,,,,s,,,,,,,,
ble,e,,,,no,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doc,,,,ige,,,,,,,,
mino,doo,Food,Name,,R fo .,,,,g,,,,
A,F,,,,o,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
ci,,,,,N,,,,,,,,
d,,,,,,,,,,,,,
Pro,D058,"Onion, stalk (Alliu",m cepa,),6,5.91±0.21,4.50±0.29,9.66±0.42,14.62±0.27,7.82±0.31,5.03±0.25,4.53±0.25,3.75±0.24
file,,,,,,,,,,,,,
,D059,"Papaya, raw (Caric",a pap,aya),6,5.07±0.88,3.08±0.25,11.90±0.26,14.27±1.52,4.93±0.48,2.99±0.45,3.56±0.93,4.38±1.31
,,,,,,,,,,,,,
,D060,Parwar (Trichosant,hes di,oica),6,6.61±1.55,5.97±1.03,9.60±0.60,19.43±2.33,6.21±1.28,5.28±0.31,4.79±0.45,2.96±0.20
,,,,,,,,,,,,,
,D061,"Peas, fresh (Pisum",sativu,m),6,4.23±0.32,10.05±1.51,11.61±0.94,17.38±1.96,4.28±0.27,3.78±0.85,4.53±0.38,3.06±0.48
,,,,,,,,,,,,,
,D062,"Plantain, flower (M",usa x,paradisiaca),6,6.96±1.02,5.06±0.31,10.40±0.97,21.78±2.69,5.19±0.40,4.39±0.75,5.62±0.66,2.86±0.29
,,,,,,,,,,,,,
,D063,"Plantain, green (M",usa x,paradisiaca),6,5.94±0.89,4.46±1.11,14.43±1.76,20.43±1.81,3.83±0.38,3.14±0.52,4.45±0.49,2.09±0.47
,,,,,,,,,,,,,
,D064,"Plantain, stem (Mu",sa x p,aradisiaca),6,7.68±1.02,3.84±0.91,10.82±0.87,20.16±3.54,4.06±0.29,4.89±0.95,5.06±0.21,2.83±0.49
,,,,,,,,,,,,,
,D065,"Pumpkin, green, c",ylindr,ical,1,4.72,5.23,12.58,20.37,3.15,3.57,4.30,4.48
,,(Cucurbita maxima),,,,,,,,,,,
,D066,"Pumpkin, orange,",roun,d (Cucurbita,6,4.96±0.31,3.65±0.45,12.99±1.28,19.58±1.75,5.05±0.36,3.87±0.24,4.42±0.24,2.85±0.40
2,,"maxima) Red gram, tender,",fresh,(Cajanus,,,,,,,,,
74,D067,cajan),,,1,6.60,5.84,10.61,20.95,3.96,4.63,5.09,2.63
,D068,Ridge gourd (Luffa,acuta,ngula),6,6.47±0.39,5.15±0.88,9.98±0.63,21.06±1.69,5.04±0.30,3.39±0.52,4.33±0.07,3.27±0.28
,,,,,,,,,,,,,
,D069,"Ridge gourd, smo",oth sk,in (Luffa,3,6.15±0.61,4.85±0.80,9.91±0.42,21.40±3.50,5.04±0.42,3.74±0.71,4.55±0.36,3.24±0.53
,,acutangula),,,,,,,,,,,
,,,,,,,,,,,,,
,D070,"Snake gourd, long",", pale",green,6,6.07±0.42,4.83±0.75,10.04±1.07,20.81±1.49,4.46±0.43,3.85±0.78,4.79±0.43,2.62±0.28
,,(Trichosanthes ang,uina),,,,,,,,,,
,,,,,,,,,,,,,
,D071,"Snake gourd, long",", dark",green,2,6.59,5.67,10.16,20.07,4.98,4.18,4.72,2.99
,,(Trichosanthes ang,uina),,,,,,,,,,
,D072,"Snake gourd, shor",t (Tric,hosanthes,1,6.62,5.43,9.70,20.21,4.26,3.69,4.41,2.79
,,anguina),,,,,,,,,,,
,,,,,,,,,,,,,
,D073,"Tinda, tender (Pra",ecitrull,us fistulosus),6,4.37±0.33,7.03±1.14,10.29±0.95,19.87±3.60,3.52±0.10,3.92±0.20,5.06±0.14,2.94±0.24
,,,,,,,,,,,,,
,D074,"Tomato, green (Ly",copers,icon,6,2.46±0.17,3.93±0.46,10.94±0.69,30.29±4.05,3.35±0.17,2.37±0.38,3.76±0.45,2.27±0.08
,,esculentum),,,,,,,,,,,
,,,,,,,,,,,,,
,D075,"Tomato, ripe, hybr",id (Ly,copersicon,6,4.21±0.72,3.23±0.91,14.26±1.75,37.44±5.55,3.64±0.34,2.43±0.56,3.40±0.64,2.66±0.39
,,esculentum),,,,,,,,,,,
,D076,"Tomato, ripe, loca",l (Lyco,persicon,6,4.72±0.84,4.13±0.51,12.71±2.23,39.25±1.68,3.86±0.51,2.87±0.63,3.67±0.45,2.68±0.29
,,esculentum),,,,,,,,,,,
,,,,,,,,,,,,,
,D077,"Zucchini, green (C",ucurbi,ta pepo),2,6.86,3.80,10.04,22.68,3.48,4.26,4.42,2.87
,,,,,,,,,,,,,
,D078,"Zucchini, yellow(C",ucurbi,ta pepo),2,6.66,4.25,10.68,22.29,3.56,4.71,4.44,2.89
