Ta,,,,s,,,,,,,,
ble,ed,,,no,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,oc,,,ige,,,,,,,,
mino,doo,Food N,ame,R fo .,,,,g,,,,
A,F,,,o,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
c,,,,N,,,,,,,,
id,,,,,,,,,,,,
Profile,E,FRUITS,,,,,,,,,,
,E001,"Apple, big (Malus d",omestica),6,8.22±0.20,3.19±0.21,25.16±2.09,8.92±1.09,3.58±0.43,3.28±0.16,5.64±0.20,2.67±0.25
,,,,,,,,,,,,
,E002,"Apple, green (Malus",domestica),6,7.12±0.29,3.96±0.49,20.64±0.61,9.60±0.32,4.79±0.17,4.15±0.17,5.31±0.23,2.10±0.20
,,,,,,,,,,,,
,E003,"Apple, small (Malus",domestica),6,6.86±0.70,2.47±0.26,22.08±2.22,9.64±0.27,4.93±0.54,3.78±0.33,5.67±0.66,2.39±0.23
,,,,,,,,,,,,
,E004,"Apple, small, Kash",mir (Malus,1,6.12,2.52,18.40,9.78,4.11,5.45,5.53,1.58
,,domestica),,,,,,,,,,
,,,,,,,,,,,,
,E005,"Apricot, dried (Prun",us armeniaca),6,4.36±0.71,3.89±0.81,18.26±4.95,9.54±1.24,3.29±0.87,8.69±0.30,3.77±1.02,3.43±0.22
,,,,,,,,,,,,
,E006,"Apricot, processed",(Prunus,3,5.29±0.13,2.54±0.34,17.38±0.70,13.44±1.15,3.32±0.43,8.60±0.78,3.81±0.02,1.96±0.54
,,armeniaca),,,,,,,,,,
,,,,,,,,,,,,
,E007,Avocado fruit (Pers,ea americana),1,5.38,4.45,15.56,13.37,4.25,4.48,4.46,2.64
,,,,,,,,,,,,
,E008,Bael fruit (Aegle ma,rmelos),1,4.82,3.86,18.20,14.26,3.86,5.26,5.40,2.43
,,,,,,,,,,,,
,,"Banana, ripe, mont",ham (Musa x,,,,,,,,,
276,E009,paradisiaca),,1,5.25,2.52,12.92,13.91,3.35,5.11,5.99,2.30
,E010,"Banana, ripe, poov",am (Musa x,2,5.46,3.18,13.03,16.88,6.70,4.59,5.67,2.22
,,paradisiaca),,,,,,,,,,
,,,,,,,,,,,,
,E011,"Banana, ripe, red (M",usa x paradisiaca),1,4.89,2.75,13.32,17.90,5.37,4.16,5.39,1.97
,,,,,,,,,,,,
,E012,"Banana, ripe, robus",ta (Musa x,6,7.08±0.90,3.70±0.32,13.07±1.30,15.17±0.14,4.79±0.43,3.65±0.93,4.70±0.36,2.14±0.34
,,paradisiaca),,,,,,,,,,
,,,,,,,,,,,,
,E013,Black berry (Rubus,fruticosus),5,6.40±0.24,4.31±2.14,12.08±0.69,15.66±0.50,6.02±0.65,5.55±0.42,5.36±0.50,3.03±0.26
,,,,,,,,,,,,
,E014,"Cherries, red (Prunu",s cerasus),4,4.99±1.97,1.77±0.53,28.46±12.91,15.62±3.07,6.51±2.15,4.22±0.96,4.61±0.88,2.20±0.41
,,,,,,,,,,,,
,E015,"Currants, black (Rib",es nigrum),1,3.69,6.97,10.42,20.94,5.36,5.03,5.23,2.89
,,,,,,,,,,,,
,E016,Custard apple (Ann,ona squamosa),1,7.08,3.87,18.32,17.32,4.86,4.82,5.12,1.97
,,,,,,,,,,,,
,E017,"Dates, dry, pale bro",wn (Phoenix,6,6.94±0.51,4.08±0.44,12.80±0.35,15.76±1.09,6.18±0.41,5.78±0.90,5.08±0.24,2.15±0.40
,,dactylifera),,,,,,,,,,
,E018,"Dates, dry, dark bro",wn (Phoenix,2,7.02,3.90,9.68,14.85,5.96,5.62,4.86,2.00
,,dactylifera),,,,,,,,,,
,E019,"Dates, processed (",Phoenix,2,8.53,3.66,13.63,16.39,6.70,6.43,5.94,2.09
,,dactylifera),,,,,,,,,,
,,,,,,,,,,,,
,E020,Fig (Ficus carica),,6,5.74±0.47,2.02±0.15,20.90±0.89,19.36±1.12,4.71±0.32,4.89±0.36,4.63±0.20,2.80±0.18
,,,,,,,,,,,,
,E021,Goosberry (Emblica,officinalis),5,6.47±1.67,3.87±0.45,14.90±2.63,23.90±2.39,5.01±0.47,4.48±0.48,4.95±0.23,2.60±0.39
