edoc dooF,Food Na,me,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
E022,"Grapes, seeded, rou vinifera)","nd, black (Vitis",4,2.59±0.25,1.98±0.37,5.92±0.81,2.15±0.18,1.13±0.31,1.17±0.02,3.59±0.35,4.90±0.39,0.49±0.03,2.60±0.18
E023,"Grapes, seeded, rou vinifera)","nd, green (Vitis",5,2.61±0.31,2.20±0.09,6.31±0.72,2.34±0.16,1.04±0.16,1.25±0.11,3.12±0.33,5.33±0.31,0.66±0.06,2.46±0.24
E024,"Grapes, seeded, rou vinifera)","nd, red (Vitis",5,2.34±0.19,3.49±0.30,5.86±0.40,1.92±0.13,0.94±0.16,1.14±0.12,4.14±0.53,4.87±0.72,0.69±0.13,2.83±0.25
E025,"Grapes, seedless, ov vinifera)","al, black (Vitis",5,2.78±0.10,2.58±0.31,7.21±0.21,1.92±0.16,1.02±0.12,1.24±0.37,3.85±0.19,5.28±0.13,0.69±0.10,2.73±0.21
E026,"Grapes, seedless, ro (Vitis vinifera)","und, green",5,2.87±0.32,1.98±0.12,7.15±0.15,2.38±0.12,0.91±0.01,1.33±0.17,4.17±0.16,5.25±0.21,0.69±0.18,2.70±0.03
E027,"Grapes, seedless, ro (Vitis vinifera)","und, black",5,2.32±0.18,2.74±0.07,6.44±0.19,2.55±0.16,0.85±0.11,1.15±0.12,4.79±0.13,5.05±0.23,0.76±0.14,2.70±0.07
E028,"Guava, white flesh (P",sidium guajava),5,2.04±0.07,4.08±0.82,6.77±0.86,2.55±0.19,0.96±0.05,0.97±0.12,1.34±0.13,3.15±0.46,0.83±0.12,3.27±0.21
E029,"Guava, pink flesh (Ps",idium guajava),5,1.84±0.21,3.94±0.27,6.01±0.60,2.76±0.17,0.89±0.23,1.02±0.30,1.55±0.28,3.77±0.22,0.77±0.04,3.36±0.20
E030,"Jack fruit, ripe (Artoc heterophyllus)",arpus,5,1.63±0.23,3.49±0.55,6.76±0.90,3.32±0.40,0.54±0.13,0.50±0.09,4.49±1.06,4.35±0.71,0.62±0.51,5.18±1.28
E031,"Jambu fruit, ripe (Syz",ygium cumini),2,2.38,5.21,8.52,1.99,1.85,0.93,5.63,5.32,0.83,6.99
E032,Karonda fruit (Cariss,a carandas),1,3.08,2.86,4.85,1.98,1.25,1.18,3.86,3.66,0.85,4.62
E033,"Lemon, juice (Citrus l",imon),6,1.99±0.16,2.72±0.15,2.51±0.49,5.07±0.09,1.10±0.07,1.28±0.30,3.54±0.20,1.69±0.17,0.45±0.21,2.90±0.42
E034,"Lime, sweet,pulp (Cit",rus limetta),6,3.40±0.31,2.12±0.09,2.66±0.27,2.31±0.17,0.97±0.59,1.33±0.04,1.32±0.23,1.29±0.17,0.48±0.09,1.73±0.22
E035,Litchi (Nephelium litch,i),4,1.84±0.27,4.73±0.36,8.08±0.63,4.95±0.22,1.46±0.23,1.22±0.15,5.39±0.39,4.74±0.52,0.74±0.04,6.05±0.58
E036,"Mango, ripe, bangan (Mangifera indica)",apalli,6,2.69±0.29,3.73±0.48,8.18±1.05,5.69±0.24,1.57±0.13,0.78±0.19,3.20±0.17,5.10±0.44,0.94±0.32,5.92±0.91
E037,"Mango, ripe, gulabkh indica)",as (Mangifera,2,2.33,3.79,9.21,3.34,1.66,0.71,3.75,5.38,1.33,6.32
E038,"Mango, ripe, himsag indica)",ar (Mangifera,3,2.18±0.33,3.80±0.44,7.55±0.42,4.74±0.56,1.69±0.17,1.04±0.03,3.70±0.33,5.23±0.36,1.16±0.49,4.87±0.76
E039,"Mango, ripe, kesar (M",angifera indica),4,2.07±0.19,4.05±0.65,8.26±0.97,3.05±0.53,1.59±0.27,0.85±0.28,3.47±0.49,5.29±0.59,1.28±0.26,5.23±0.93
E040,"Mango, ripe, neelam indica)",(Mangifera,2,2.46,4.30,9.19,3.10,1.84,1.22,3.38,5.61,1.33,6.29
E041,"Mango, ripe, paheri ( indica)",Mangifera,2,1.94,4.36,8.25,3.44,1.20,0.94,3.94,5.45,1.49,6.13
E042,"Mango, ripe, totapari indica)",(Mangifera,1,2.07,4.20,8.85,3.51,1.65,0.90,4.15,5.25,1.21,5.92
