edoc dooF,Food Na,me,snoigeR fo .oN,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
,,,,,,,g,,,,
,,,,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
E022,"Grapes, seeded, rou vinifera)","nd, black (Vitis",4,6.56±0.46,5.97±0.35,9.65±0.78,22.50±3.32,3.35±0.42,4.72±0.68,4.59±0.51,2.24±0.68
E023,"Grapes, seeded, rou vinifera)","nd, green (Vitis",5,7.11±0.65,6.58±0.22,10.41±0.69,21.65±1.32,3.44±0.28,4.29±1.41,4.61±0.48,2.34±0.61
E024,"Grapes, seeded, rou vinifera)","nd, red (Vitis",5,6.32±1.55,6.50±0.24,10.87±0.98,19.45±0.92,3.18±0.14,4.72±0.27,4.79±0.19,2.49±0.30
E025,"Grapes, seedless, ov vinifera)","al, black (Vitis",5,7.26±0.33,6.86±0.19,10.39±0.48,22.33±0.97,4.27±0.61,5.39±0.26,5.26±0.49,2.01±0.16
E026,"Grapes, seedless, ro (Vitis vinifera)","und, green",5,7.35±0.85,7.01±0.57,10.39±0.78,21.53±0.31,3.46±0.42,4.84±2.08,4.69±0.46,2.40±0.02
E027,"Grapes, seedless, ro (Vitis vinifera)","und, black",5,6.05±0.18,6.46±0.35,10.60±0.36,18.37±0.78,3.76±0.27,6.93±0.17,4.83±0.37,2.06±0.19
E028,"Guava, white flesh (P",sidium guajava),5,6.26±0.88,3.18±0.23,19.73±3.56,15.70±1.14,6.12±0.61,5.56±0.51,3.80±0.59,2.66±0.07
E029,"Guava, pink flesh (Ps",idium guajava),5,6.52±0.86,3.31±0.27,19.16±1.61,15.59±0.74,6.98±0.98,5.67±0.35,4.19±0.33,2.63±0.33
E030,"Jack fruit, ripe (Artoc heterophyllus)",arpus,5,6.16±0.67,3.22±0.88,26.27±5.38,9.24±1.33,5.40±1.49,4.42±0.76,5.39±1.72,3.22±1.06
E031,"Jambu fruit, ripe (Syz",ygium cumini),2,7.04,1.54,11.99,15.22,6.59,6.09,5.54,3.23
E032,Karonda fruit (Cariss,a carandas),1,5.62,4.21,15.38,15.62,3.85,3.82,4.85,3.12
E033,"Lemon, juice (Citrus l",imon),6,5.22±0.55,4.28±0.47,20.55±1.50,15.10±0.71,2.03±0.27,7.60±0.83,3.86±0.33,1.35±0.19
E034,"Lime, sweet,pulp (Cit",rus limetta),6,3.39±0.72,1.30±0.81,19.78±1.90,5.41±1.07,2.16±0.39,6.81±1.29,3.40±0.46,0.80±0.19
E035,Litchi (Nephelium litch,i),4,10.56±1.75,2.24±0.75,11.65±0.62,16.07±1.40,5.56±0.45,5.72±1.59,5.16±0.51,2.92±0.73
E036,"Mango, ripe, bangan (Mangifera indica)",apalli,6,8.21±0.31,4.26±1.36,11.58±0.78,15.60±1.03,5.88±0.57,4.07±1.13,4.14±0.35,2.21±0.49
E037,"Mango, ripe, gulabkh indica)",as (Mangifera,2,9.02,4.64,11.82,14.59,5.25,3.97,4.53,2.41
E038,"Mango, ripe, himsag indica)",ar (Mangifera,3,10.14±0.58,4.41±0.94,12.41±1.44,14.99±0.30,5.99±0.47,4.11±0.74,4.44±0.37,2.82±0.77
E039,"Mango, ripe, kesar (M",angifera indica),4,8.62±0.43,4.48±0.83,12.75±1.15,14.51±1.20,6.13±0.73,4.24±0.40,4.52±0.25,2.70±0.35
E040,"Mango, ripe, neelam indica)",(Mangifera,2,9.93,4.29,12.33,15.06,6.03,3.48,6.55,2.54
E041,"Mango, ripe, paheri ( indica)",Mangifera,2,9.03,3.90,12.19,14.82,5.49,3.95,4.06,2.45
E042,"Mango, ripe, totapari indica)",(Mangifera,1,8.84,4.53,13.49,13.95,5.86,3.47,4.26,2.27
