edoc dooF,Fo,od Na,me,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,,g,,,,,
,,,,,,,,,,,,,,
,,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
E043,Mangosteen (G,arcini,a mangostana),1,2.51,4.54,9.10,2.83,1.29,0.81,6.21,6.87,1.21,5.36
E044,Manila tamarin dulce),d (Pit,hecellobium,1,2.78,3.64,5.60,2.21,1.26,0.59,4.35,4.81,1.14,4.92
E045,"Musk melon, or melon)",ange,flesh (Cucumis,5,0.93±0.14,1.75±0.37,4.09±1.02,1.84±0.25,0.89±0.10,0.79±0.07,1.82±0.48,3.60±0.83,0.56±0.17,3.33±0.42
E046,"Musk melon, ye melon)",llow,flesh (Cucumis,6,0.88±0.02,2.72±0.21,3.67±0.95,2.27±0.10,0.89±0.04,0.80±0.31,1.62±0.38,2.81±0.14,0.52±0.16,3.06±0.43
E047,"Orange, pulp (C",itrus,aurantium),6,0.70±0.16,1.39±0.34,2.11±0.12,2.98±0.38,0.53±0.10,0.48±0.06,1.77±0.20,1.52±0.13,0.54±0.05,2.12±0.39
E048,"Palm fruit, tend flabellifer)",er (B,orassus,1,3.14,4.16,3.74,2.35,0.85,1.10,2.76,4.32,0.44,4.31
E049,"Papaya, ripe (C",arcia,papaya),6,0.87±0.36,2.27±0.24,4.43±0.26,4.91±0.40,0.68±0.06,0.73±0.07,1.93±0.11,3.27±0.64,1.66±0.09,3.93±0.79
E050,Peach (Prunus c,omm,unis),1,1.53,2.54,5.49,2.75,0.98,1.21,2.95,4.92,0.43,5.43
E051,Pear (Pyrus sp.),,,6,1.39±0.30,3.65±0.28,4.95±0.89,2.27±0.35,1.05±0.22,0.87±0.33,3.04±1.21,3.64±0.51,0.58±0.13,5.10±0.31
E052,Phalsa (Grewia,asiati,ca),2,1.91,4.44,7.19,2.82,2.05,1.10,4.84,4.18,0.66,5.76
E053,Pineapple (Ana,nas c,omosus),6,1.37±0.58,2.61±0.69,3.97±0.44,4.03±0.10,1.06±0.28,2.23±0.06,2.59±0.70,3.01±0.87,1.09±0.14,4.07±0.92
E054,Plum (Prunus d,omes,tica),3,1.33±0.18,2.20±0.22,3.82±0.10,2.97±0.13,1.08±0.12,1.89±0.15,2.75±0.14,2.33±0.18,1.21±0.10,3.63±0.18
E055,"Pomegranate, (Punica granatu",maroo m),n seeds,6,1.94±0.16,1.67±0.57,4.87±0.64,1.15±0.44,0.61±0.25,0.89±0.29,3.18±0.55,2.59±0.42,0.46±0.08,2.40±0.42
E056,Pummelo (Citru,s max,ima),3,1.76±0.15,2.81±0.19,4.69±0.20,3.78±0.21,0.87±0.05,0.81±0.14,2.45±0.35,3.19±0.22,0.48±0.03,4.23±0.14
E057,"Raisins, dried,",black,(Vitis vinifera),6,2.17±0.32,1.97±0.25,4.80±0.71,2.90±0.60,0.97±0.13,0.61±0.12,2.44±0.24,2.91±0.32,0.97±0.07,2.87±0.06
E058,"Raisins, dried,",golde,n (Vitis vinifera),6,2.92±0.43,1.88±0.19,4.26±0.32,3.04±0.40,0.74±0.11,0.78±0.16,2.51±0.50,3.39±0.77,0.70±0.33,2.84±0.55
E059,Rambutan (Nep,heliu,m lappaceum),1,3.38,1.90,4.66,3.54,1.12,0.76,2.41,4.01,1.25,4.77
E060,Sapota (Achras,sapot,a),6,3.61±0.37,3.52±0.25,6.10±0.43,4.93±0.59,0.82±0.24,0.51±0.15,3.95±0.54,4.68±0.48,0.75±0.09,5.03±0.64
E061,Soursop (Annon,a mu,ricata),1,2.93,4.45,6.62,4.67,1.02,0.57,4.99,4.56,0.84,5.91
E062,Star fruit (Averr,hoa c,arambola),1,2.60,2.80,5.67,5.30,0.91,0.74,4.07,3.89,0.87,4.21
E063,Strawberry (Fra,garia,ananassa),6,2.56±0.31,3.61±0.53,5.61±0.44,3.14±0.29,0.86±0.09,0.67±0.11,2.50±0.28,4.32±0.24,0.93±0.17,4.51±0.38
E064,"Tamarind, pulp",(Tam,arindus indicus),6,2.58±0.50,3.28±0.75,5.58±0.54,5.18±0.61,0.84±0.15,0.71±0.15,5.46±0.73,3.26±0.51,0.85±0.15,4.02±0.72
