edoc dooF,Food Name,,,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,,g,,,,,
,,,,,,,,,,,,,,
,,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
F016,Water Chestnut (Eleocha,ris,dulcis),1,1.86,3.27,5.85,3.76,0.98,1.23,4.64,3.75,1.06,3.80
F017,"Yam, elephant (Amorpho campanulatus)",pha,llus,6,2.89±0.11,3.36±0.24,6.00±0.56,2.99±0.38,1.55±0.16,1.66±0.10,6.46±0.71,3.81±0.33,1.13±0.04,5.84±0.49
F018,"Yam, ordinary (Amorpho campanulatus)",phal,lus,4,2.86±0.65,3.82±0.72,6.71±0.18,4.27±0.28,1.42±0.21,1.65±0.16,4.54±1.15,3.54±0.28,0.96±0.14,4.62±0.90
F019,"Yam, wild (Dioscorea ver",sico,lor),2,2.37,3.27,6.09,3.13,1.18,1.76,6.23,4.00,1.25,5.98
G,CONDIMENTS AN,D,SPICES-F,RESH,,,,,,,,,,
G001,"Chillies, green-1 (Capsic",um,annum),5,1.77±0.38,3.64±0.46,5.13±1.07,3.43±0.59,1.17±0.12,1.52±0.31,4.33±0.68,3.87±0.72,0.82±0.14,4.43±1.19
G002,"Chillies, green-2 (Capsic",um,annum),3,1.62±0.18,3.16±0.32,5.02±0.32,3.58±0.52,1.25±0.09,1.41±0.22,4.25±0.31,3.84±0.29,0.75±0.06,4.22±0.48
G003,"Chillies, green-3 (Capsic",um,annum),5,1.76±0.25,2.99±0.34,4.94±0.23,3.95±0.24,1.04±0.14,1.61±0.23,4.54±1.01,3.67±0.52,0.80±0.14,4.07±0.44
G004,"Chillies, green-4 (Capsic",um,annum),3,1.82±0.12,3.08±0.68,4.99±0.37,3.41±0.82,1.05±0.10,1.22±0.12,4.59±0.32,3.67±0.32,0.72±0.11,3.88±0.47
G005,"Chillies, green-5 (Capsic",um,annum),2,1.54±0.15,2.86±0.50,5.01±0.28,3.79±0.29,0.86±0.15,1.01±0.05,5.47±0.43,3.52±0.17,0.68±0.09,3.82±0.76
G006,"Chillies, green-6 (Capsic",um,annum),1,1.49,2.97,4.97,3.65,0.66,0.98,4.76,2.95,0.92,3.08
G007,"Chillies, green-7 (Capsic",um,annum),1,2.00,2.89,5.40,4.09,1.18,1.68,6.25,3.14,0.80,3.24
G008,"Chillies, green - all varie (Capsicum annum)",ties,,6,1.72±0.28,3.14±0.47,5.05±0.54,3.66±0.51,1.09±0.18,1.40±0.29,4.69±0.82,3.66±0.47,0.77±0.11,4.02±0.72
G009,Coriander leaves (Corian sativum),dru,m,6,2.48±0.39,4.37±0.24,6.08±0.63,5.19±0.28,1.30±0.14,0.63±0.05,5.35±0.50,4.00±0.45,1.08±0.07,6.44±0.30
G010,Curry leaves (Murraya k,oeni,gii),6,1.73±0.13,3.75±0.17,6.51±0.30,3.66±0.30,0.50±0.09,0.60±0.06,3.50±0.33,3.88±0.26,1.64±0.25,3.92±0.15
G011,"Garlic, big clove (Allium",sati,vum),6,1.33±0.17,2.25±0.33,3.79±0.24,4.11±0.29,0.75±0.19,1.71±0.38,3.53±0.52,3.18±0.47,0.83±0.09,3.17±0.63
G012,"Garlic, small clove (Alliu",m s,ativum),3,1.26±0.06,2.24±0.41,4.07±0.47,3.94±0.26,0.76±0.06,1.93±0.21,3.27±0.37,3.08±0.42,0.73±0.23,3.79±0.99
G013,"Garlic, single clove, Kas (Allium sativum)",hm,ir,1,1.30,3.44,5.68,4.15,0.69,1.66,3.46,3.65,0.97,3.58
G014,"Ginger, fresh (Zinziber of",ficin,ale),6,1.58±0.17,3.98±0.47,6.49±0.51,2.31±0.48,0.89±0.29,0.82±0.18,4.36±0.40,4.35±0.47,0.99±0.17,4.35±0.65
G015,Mango ginger (Curcuma,am,ada),3,2.05±0.17,4.30±0.65,9.80±0.11,1.88±0.56,1.11±0.05,0.80±0.19,4.52±0.28,5.70±0.67,1.29±0.23,4.79±0.31
G016,Mint leaves (Mentha spic,ata,),4,1.62±0.29,4.34±0.30,8.22±0.38,2.93±0.19,1.41±0.09,0.72±0.08,5.34±0.47,4.57±0.30,1.23±0.17,5.73±0.38
