edoc dooF,Foo,d Nam,e,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,,,g,,,,,
,,,,,,,,,,,,,,
,,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
H003,"Arecanut, dried, catechu)",red co,lor (Areca,3,2.75±0.96,1.56±0.27,4.26±0.07,4.84±0.36,0.97±0.18,0.55±0.03,3.83±0.72,2.86±0.89,0.76±0.13,3.33±0.18
H004,"Arecanut, fresh",(Areca,catechu),2,1.81,1.62,4.51,4.59,1.27,0.64,3.65,2.89,0.70,4.89
H005,Cashew nut (An,acardiu,m occidentale),6,2.27±0.36,3.86±0.30,7.02±0.23,4.80±0.26,1.38±0.11,1.33±0.09,4.87±0.70,3.12±0.17,1.05±0.11,3.23±0.19
H006,"Coconut, kernal",", dry (C",ocos nucifera),6,2.15±0.17,3.02±0.69,6.74±0.45,4.31±0.38,1.55±0.20,1.75±0.10,5.19±0.49,3.07±0.18,0.62±0.12,4.81±1.10
H007,"Coconut, kernel nucifera)",", fresh",(Cocos,6,2.40±0.23,4.37±0.41,6.93±0.38,4.08±0.19,2.19±0.14,1.47±0.13,4.51±0.20,3.25±0.26,1.20±0.15,5.83±0.36
H008,"Garden cress, s sativum)",eeds (L,epidium,5,2.62±0.10,3.75±0.15,6.58±0.10,3.85±0.19,1.85±0.16,1.23±0.10,3.89±0.18,3.15±0.16,1.24±0.18,4.69±0.18
H009,"Gingelly seeds, indicum)",black (,Sesamum,6,2.39±0.25,5.69±0.17,5.91±0.78,2.63±0.31,3.36±0.13,1.22±0.16,4.74±0.38,3.19±0.22,1.10±0.11,4.78±0.37
H010,"Gingelly seeds, indicum)",brown,(Sesamum,4,2.30±0.24,5.01±0.29,6.18±0.37,2.57±0.22,2.69±0.16,1.13±0.13,3.83±0.85,3.05±0.37,1.17±0.10,4.79±0.14
H011,"Gingelly seeds, indicum)",white (,Sesamum,5,2.41±0.11,6.02±0.02,5.40±0.41,2.59±0.08,2.25±0.04,1.31±0.08,4.38±0.60,3.00±0.28,1.16±0.09,4.64±0.23
H012,Ground nut (Ara,chis hy,pogea),6,2.24±0.20,4.67±0.38,6.40±0.57,3.39±0.28,1.21±0.14,1.33±0.11,5.40±1.08,2.54±0.17,0.90±0.14,3.92±0.93
H013,Mustard seeds (,Brassic,a juncea),6,2.76±0.16,3.80±0.46,6.96±0.32,5.31±0.34,1.66±0.43,1.63±0.10,4.47±0.71,4.02±0.31,1.23±0.09,5.00±0.72
H014,Linseeds (Linum,usitatis,simum),6,2.62±0.10,4.47±0.22,6.81±0.26,4.63±0.22,1.75±0.05,1.61±0.10,5.58±0.26,3.88±0.10,1.57±0.12,5.31±0.13
H015,"Niger seeds, bla abyssinica)",ck (Gui,zotia,4,1.88±0.47,4.57±0.23,4.71±0.27,3.61±0.28,1.31±0.21,1.76±0.53,3.14±0.91,2.70±0.88,1.25±0.14,3.69±0.67
H016,"Niger seeds, gra abyssinica)",y (Guiz,otia,5,1.87±0.20,4.69±0.27,5.22±0.77,3.72±0.19,1.32±0.07,1.71±0.14,3.72±0.67,3.12±0.35,1.11±0.10,4.50±0.31
H017,Pine seed (Pinus,gerard,iana),5,2.38±0.19,4.00±0.22,6.23±0.19,3.79±0.18,1.43±0.13,1.56±0.27,3.68±0.26,3.63±0.32,0.83±0.09,4.73±0.17
H018,Pistachio nuts (,Pistacla,vera),6,2.28±0.13,5.22±0.15,7.55±0.30,3.32±0.18,1.45±0.12,1.46±0.13,5.52±0.51,4.60±0.17,1.42±0.19,5.27±0.22
H019,Safflower seeds tinctorius),(Carth,amus,5,2.44±0.21,3.69±0.33,6.32±0.14,3.55±0.09,0.74±0.06,1.60±0.12,4.27±0.19,3.30±0.13,1.43±0.14,4.35±0.24
H020,Sunflower seed,s (Helia,nthus annuus),5,2.30±0.10,4.21±0.08,6.38±0.34,3.26±0.26,0.84±0.19,1.43±0.15,4.97±0.31,3.31±0.16,1.14±0.06,4.99±0.19
H021,Walnut (Juglans,regia),,6,2.34±0.24,4.74±0.12,6.87±0.50,2.18±0.54,0.73±0.13,1.36±0.13,4.41±0.68,3.08±0.28,1.04±0.13,5.78±0.36
I,SUGARS,,,,,,,,,,,,,
