Ta,,,,,s,,,,,,,,
ble,ed,,,,no,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,oc,,,,ige,,,,,,,,
mino,doo,Foo,d Nam,e,R fo .,,,,g,,,,
A,F,,,,o,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
c,,,,,N,,,,,,,,
id,,"Arecanut, dried,",red co,lor (Areca,,,,,,,,,
Profi,H003,catechu),,,3,6.70±0.44,12.68±1.19,8.22±1.00,19.61±1.29,5.21±0.30,4.62±0.69,5.89±1.02,2.84±0.28
le,,,,,,,,,,,,,
,H004,"Arecanut, fresh",(Areca,catechu),2,3.80,10.99,8.20,22.03,4.54,4.25,5.01,2.84
,,,,,,,,,,,,,
,H005,Cashew nut (An,acardiu,m occidentale),6,5.35±0.37,9.75±0.07,9.85±0.19,22.76±0.64,5.25±0.39,3.97±0.20,6.39±0.35,2.81±0.11
,,,,,,,,,,,,,
,H006,"Coconut, kernal",", dry (C",ocos nucifera),6,5.51±0.58,13.08±1.96,9.59±1.16,22.14±1.17,4.54±0.33,3.50±0.27,5.11±0.62,2.69±0.07
,,,,,,,,,,,,,
,H007,"Coconut, kernel",", fresh",(Cocos,6,5.27±0.18,13.87±0.44,9.62±0.23,19.12±0.56,4.63±0.19,4.61±0.21,5.33±0.20,3.20±0.31
,,nucifera),,,,,,,,,,,
,H008,"Garden cress, s",eeds (L,epidium,5,5.33±0.35,10.67±0.38,10.29±0.83,21.34±0.82,5.22±0.19,4.37±0.17,4.99±0.18,3.47±0.12
,,sativum),,,,,,,,,,,
,H009,"Gingelly seeds,",black (,Sesamum,6,5.92±0.70,11.02±0.73,8.63±1.39,20.14±1.72,5.66±0.76,3.76±0.41,5.48±0.54,3.22±0.72
,,indicum),,,,,,,,,,,
,H010,"Gingelly seeds,",brown,(Sesamum,4,5.67±0.82,11.30±0.77,8.65±0.48,20.73±0.99,5.58±0.55,3.48±0.14,5.43±0.38,3.36±0.26
,,indicum),,,,,,,,,,,
,H011,"Gingelly seeds,",white (,Sesamum,5,5.62±1.14,11.18±0.75,9.06±1.38,20.03±1.33,6.32±1.48,3.76±0.41,5.63±0.51,3.30±0.33
,,indicum),,,,,,,,,,,
2,,,,,,,,,,,,,
88,H012,Ground nut (Ara,chis hy,pogea),6,4.23±0.30,10.85±0.78,11.68±1.66,19.41±1.16,5.56±0.38,3.74±0.97,5.05±0.37,3.86±0.37
,,,,,,,,,,,,,
,H013,Mustard seeds (,Brassic,a juncea),6,4.62±0.53,6.71±0.74,7.14±0.68,19.70±2.13,5.08±0.77,6.11±0.80,4.20±0.72,3.03±0.30
,,,,,,,,,,,,,
,H014,Linseeds (Linum,usitatis,simum),6,4.89±0.25,11.15±0.62,10.87±0.25,17.70±1.07,5.71±0.20,4.39±0.17,5.25±0.12,3.48±0.12
,,,,,,,,,,,,,
,H015,"Niger seeds, bla",ck (Gui,zotia,4,6.92±0.68,7.54±0.65,9.85±0.55,22.85±2.79,6.13±0.79,4.46±0.61,4.16±0.84,3.02±0.19
,,abyssinica),,,,,,,,,,,
,H016,"Niger seeds, gra",y (Guiz,otia,5,4.90±0.74,8.33±0.52,10.53±1.76,21.33±1.60,6.24±0.13,4.20±0.56,6.18±0.91,2.87±0.95
,,abyssinica),,,,,,,,,,,
,,,,,,,,,,,,,
,H017,Pine seed (Pinus,gerard,iana),5,4.33±0.27,16.73±0.51,8.97±0.61,18.23±0.79,4.34±0.20,4.59±0.23,4.18±0.22,2.74±0.11
,,,,,,,,,,,,,
,H018,Pistachio nuts (,Pistacla,vera),6,5.17±0.15,8.52±0.36,9.94±0.38,16.37±0.62,5.99±0.17,3.69±0.12,4.19±0.30,3.18±0.29
,,,,,,,,,,,,,
,H019,Safflower seeds,(Carth,amus,5,5.71±0.19,9.34±0.23,10.22±0.38,20.14±0.86,5.96±0.16,4.05±0.21,5.56±0.12,3.24±0.21
,,tinctorius),,,,,,,,,,,
,,,,,,,,,,,,,
,H020,Sunflower seed,s (Helia,nthus annuus),5,5.69±0.33,8.55±0.37,9.80±0.29,22.29±0.81,6.29±0.18,4.76±0.28,5.51±0.08,2.47±0.11
,,,,,,,,,,,,,
,H021,Walnut (Juglans,regia),,6,5.44±0.60,13.47±0.49,10.18±0.90,20.50±0.77,5.55±0.32,3.42±0.35,6.54±0.50,2.73±0.34
,,,,,,,,,,,,,
,I,SUGARS,,,,,,,,,,,
,,,,,,,,,,,,,
,I001,"Jaggery, cane (S",acchar,um,6,4.53±0.25,3.01±0.42,31.24±0.90,12.89±2.93,2.72±0.71,1.71±0.74,3.34±0.28,1.00±0.18
,,officinarum),,,,,,,,,,,
