edoc dooF,Food Name,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,g,,,,,
,,,,,,,,,,,,
,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
I002,"Sugarcane, juice (Saccharum officinarum)",6,1.79±0.17,3.81±0.15,3.55±0.08,2.53±0.29,0.40±0.06,0.52±0.14,5.11±0.29,3.02±0.10,0.75±0.16,4.19±0.27
,,,,,,,,,,,,
J,MUSHROOMS,,,,,,,,,,,
J001,"Button mushroom, fresh (Agaricus sp.)",1,2.68,4.36,6.88,6.82,1.66,0.98,4.63,4.40,1.26,5.48
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,2.16,4.42,7.03,7.20,1.70,1.02,4.50,4.38,1.30,5.36
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,2.20,4.50,7.14,7.36,1.56,1.06,4.20,4.92,1.32,6.08
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,2.81,4.30,7.08,7.54,1.82,1.20,4.52,4.86,1.41,6.16
,,,,,,,,,,,,
K,MISCELLANEOUS FOODS,,,,,,,,,,,
K001,Toddy,10,,,,,,,,,,
K002,Coconut Water,6,1.75±0.46,1.58±0.28,2.35±0.56,3.84±2.33,0.59±0.12,0.99±0.13,1.95±0.89,2.69±0.66,0.78±0.18,3.02±0.59
,,,,,,,,,,,,
L,MILK AND MILK PRODUCTS,,,,,,,,,,,
L001,"Milk, whole, Buffalo",6,2.08±0.11,5.30±0.38,9.83±0.05,7.87±0.30,2.46±0.08,1.25±0.08,4.26±0.14,4.42±0.21,1.30±0.18,5.86±0.29
L002,"Milk, whole, Cow",6,2.14±0.13,6.20±0.55,10.66±0.41,8.59±0.20,2.51±0.12,1.22±0.04,5.09±0.42,4.81±0.07,1.46±0.11,6.40±0.24
L003,Panner,6,2.04±0.45,4.79±0.19,9.76±0.14,5.79±0.93,2.28±0.21,0.72±0.16,5.08±0.16,4.37±0.16,1.42±0.87,5.68±0.20
L004,Khoa,6,1.47±0.16,4.93±0.21,10.34±0.28,2.41±0.21,1.95±0.17,0.75±0.17,5.08±0.32,4.63±0.18,1.59±0.80,6.10±0.18
