Ta,,,s,,,,,,,,
ble,ed,,no,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,oc,,ige,,,,,,,,
mino,doo,Food Name,R fo .,,,,g,,,,
A,F,,o,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
c,,,N,,,,,,,,
id,,"Sugarcane, juice (Saccharum",,,,,,,,,
Profi,I002,officinarum),6,5.22±0.36,3.43±0.16,30.49±1.15,11.60±0.54,2.70±0.22,2.46±0.25,3.55±0.31,2.35±0.19
le,,,,,,,,,,,
,,,,,,,,,,,
,J,MUSHROOMS,,,,,,,,,
,,,,,,,,,,,
,J001,"Button mushroom, fresh (Agaricus",1,5.60,6.60,10.24,14.35,5.38,3.80,4.32,3.20
,,sp.),,,,,,,,,
,J002,"Chicken mushroom, fresh",1,6.20,7.23,10.30,15.80,5.26,4.21,4.50,3.18
,,(Lactiporus sp.),,,,,,,,,
,J003,"Shiitake mushroom, fresh (Lentinula",1,6.38,6.80,10.51,14.67,5.80,3.66,4.45,3.10
,,sp.),,,,,,,,,
,J004,"Oyster mushroom, dried (Pleurotus",1,6.46,6.94,10.72,15.60,5.69,4.40,4.80,3.08
,,sp.),,,,,,,,,
,,,,,,,,,,,
,K,MISCELLANEOUS FOODS,,,,,,,,,
,,,,,,,,,,,
29,K001,Toddy,10,,,,,,,,
0,,,,,,,,,,,
,,,,,,,,,,,
,K002,Coconut Water,6,20.28±2.26,5.13±1.26,10.81±0.71,31.01±1.65,1.97±0.64,4.25±1.56,5.05±1.71,1.57±0.31
,,,,,,,,,,,
,L,MILK AND MILK PRODUCTS,,,,,,,,,
,,,,,,,,,,,
,L001,"Milk, whole, Buffalo",6,3.38±0.14,3.09±0.42,8.21±0.16,16.21±0.76,2.43±0.08,7.60±0.40,5.78±0.39,4.86±0.41
,,,,,,,,,,,
,L002,"Milk, whole, Cow",6,3.87±0.27,3.25±0.34,8.84±0.36,17.88±0.43,2.35±0.07,6.82±0.13,6.36±0.51,5.48±0.35
,,,,,,,,,,,
,L003,Panner,6,3.39±1.05,3.56±0.46,7.69±0.14,20.24±1.09,2.18±0.19,10.45±0.59,5.27±0.13,5.36±0.31
,,,,,,,,,,,
,L004,Khoa,6,3.99±0.35,1.06±0.67,7.95±0.23,21.82±0.43,2.02±0.11,11.32±0.89,5.37±0.33,4.95±0.31
