edoC dooF,Foo,d Name,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
M,EGG AND EG,G PRODUCTS,,,,,,,,,,,
M001,"Egg, poultry, whol","e, raw",6,4.65±0.07,2.15±0.07,7.95±0.18,8.37±0.19,6.72±0.27,9.53±0.18,6.29±0.32,6.34±0.23,1.59±0.15,5.82±0.20
M002,"Egg, poultry, whit","e, raw",6,4.54±0.17,2.25±0.14,7.94±0.25,8.35±0.20,6.24±0.33,10.55±0.49,5.28±0.56,6.90±0.21,1.50±0.11,6.89±0.19
M003,"Egg, poultry, yolk,",raw,6,5.69±0.09,2.19±0.08,7.24±0.23,8.58±0.29,6.17±0.22,9.35±0.23,7.08±0.38,6.14±0.10,1.47±0.12,5.66±0.33
M004,"Egg, poultry, whol","e, boiled",6,4.56±0.30,2.29±0.16,7.30±0.07,8.17±0.12,6.66±0.09,10.13±0.56,6.25±0.40,6.42±0.25,1.38±0.14,6.04±0.09
M005,"Egg, poultry, whit","e, boiled",6,4.48±0.15,2.21±0.21,7.57±0.16,8.31±0.27,6.16±0.39,10.20±0.40,5.37±0.16,6.70±0.40,1.45±0.08,6.81±0.30
M006,"Egg, poultry, yolk,",boiled,6,5.44±0.50,2.16±0.18,7.99±0.33,8.46±0.38,6.43±0.82,9.36±0.24,6.94±0.49,5.86±0.46,1.35±0.08,5.70±0.23
M007,"Egg, poultry, omle",t,3,4.65±0.03,2.12±0.14,7.48±0.05,8.34±0.06,6.81±1.01,9.76±0.28,6.09±0.27,6.43±0.08,1.36±0.14,5.85±0.24
M008,"Egg, country hen,","whole, raw",1,5.15,2.25,7.53,7.74,6.21,9.79,6.42,6.24,1.42,5.72
M009,"Egg, country hen,","whole, boiled",1,4.52,2.28,7.95,7.81,6.87,9.58,6.39,6.42,1.35,5.97
M010,"Egg, country hen,",omlet,1,4.61,2.04,7.18,7.52,5.82,10.03,5.91,6.53,1.34,5.76
M011,"Egg, duck, whole,",boiled,1,4.36,1.80,7.39,8.90,6.36,10.12,5.08,6.52,1.36,6.58
M012,"Egg, duck, whole,",raw,1,4.79,1.83,7.55,8.85,6.45,10.29,5.22,6.84,1.38,6.60
M013,"Egg, duck, whole,",omlet,1,4.24,1.80,7.76,8.40,6.74,9.74,5.08,6.34,1.36,6.38
M014,"Egg, quial, whole,",raw,1,4.86,2.40,7.11,7.96,6.18,10.79,6.03,6.50,,5.73
M015,"Egg, quial, whole,",boiled,1,4.31,2.39,7.37,8.02,5.34,9.93,5.48,6.33,1.47,5.57
N,POULTRY,,,,,,,,,,,,
N001,"Chicken, poultry, l","eg, skinless",4,4.47±0.17,2.76±0.18,7.84±0.17,7.26±0.28,6.04±0.32,9.35±0.51,7.07±0.21,5.66±0.29,1.16±0.22,4.92±0.22
N002,"Chicken, poultry, t","high, skinless",6,4.57±0.21,2.54±0.25,7.87±0.13,8.06±0.22,6.04±0.32,9.05±0.56,7.01±0.15,5.94±0.44,1.20±0.21,4.63±0.29
N003,"Chicken, poultry,","breast, skinless",5,4.87±0.22,3.57±0.11,7.89±0.34,6.34±0.42,6.31±0.37,9.16±0.45,7.23±0.23,5.66±0.23,1.20±0.21,4.97±0.23
N004,"Chicken, poultry,","wing, skinless",5,4.46±0.20,2.62±0.18,8.51±0.17,7.74±0.20,6.26±0.33,9.42±0.37,6.84±0.20,5.02±0.33,1.21±0.21,4.55±0.16
