edoC dooF,,Food Name,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Threonine,Tryptophan,Valine
,,,,,,,,g,,,,,
,,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
N005,"Poultry, chi","cken, liver",1,4.82,3.20,8.20,9.93,6.12,9.33,6.59,6.30,1.52,5.82
N006,"Poultry, chi","cken, gizzard",1,4.30,2.61,8.82,7.67,6.22,8.56,7.97,4.59,1.83,4.48
N007,Country hen,", leg, with skin",1,4.93,2.20,7.52,9.22,6.03,9.92,7.42,5.99,1.15,4.32
N008,Country hen,", thigh, with skin",1,5.21,2.87,7.65,9.29,6.19,8.86,7.32,5.01,1.26,5.01
N009,Country hen,", breast, with skin",1,4.38,4.04,7.96,7.92,6.05,8.77,7.67,5.08,1.80,5.77
N010,Country hen,", wing, with skin",1,4.33,3.50,7.90,9.12,6.58,9.03,6.50,5.12,1.24,5.70
N011,"Duck, meat,",with skin,1,5.31,3.26,7.31,8.36,6.44,9.31,7.45,5.09,1.54,5.34
N012,"Emu, meat,",skinless,1,5.13,3.12,7.23,8.58,6.62,8.73,7.14,5.04,1.74,5.12
N013,Guinea fowl,", meat, with skin",1,4.64,2.66,7.35,8.49,6.58,9.08,6.79,4.98,1.65,4.70
N014,"Pigeon, mea","t, with skin",1,4.88,2.47,7.22,8.32,6.31,8.95,6.59,5.28,1.62,4.51
N015,"Quail, meat,",skinless,1,5.11,2.98,7.20,8.65,6.79,8.90,7.01,5.14,1.74,5.03
N016,"Turkey, leg,",with skin,1,5.06,2.40,6.58,8.62,6.60,8.77,6.80,5.06,1.66,4.64
N017,"Turkey, thig","h, with skin",1,5.32,2.62,6.78,8.94,6.15,8.65,6.93,5.36,1.62,4.62
N018,"Turkey, brea","st, with skin",1,4.80,2.97,7.07,8.17,6.44,8.86,7.52,5.03,1.54,5.91
N019,"Turkey, win","g, with skin",1,4.85,3.32,7.22,9.14,6.09,9.44,6.26,5.51,1.71,5.07
O,ANIMAL,MEAT,,,,,,,,,,,
O001,"Goat, shoul",der,6,4.71±0.15,3.33±0.48,7.66±0.33,9.00±0.38,5.66±0.62,9.26±0.68,7.29±1.42,5.12±0.28,1.34±0.10,4.71±0.24
O002,"Goat, chops",,6,5.09±0.66,3.53±0.69,6.24±0.19,7.26±0.09,5.41±0.61,9.29±0.34,7.06±1.26,4.92±0.29,1.63±0.23,4.45±0.23
O003,"Goat, legs",,6,5.38±0.82,3.63±0.76,6.81±0.04,8.09±0.15,5.15±0.74,9.89±0.20,7.76±1.20,4.65±0.35,1.43±0.21,4.51±0.09
O004,"Goat, brain",,5,5.29±0.44,2.98±1.01,5.21±0.20,8.24±0.25,6.01±0.30,8.47±0.30,6.61±0.72,5.29±0.18,1.36±0.11,4.70±0.03
