Ta,,,,s,,,,,,,,
ble,ed,,,no,Alanine,Arginine As,partic Acid Gl,utamic Acid,Glycine,Proline,Serine,Tyrosine
8.,o,,,ig,,,,,,,,
A,C,,Food Name,eR,,,,g,,,,
mino,doo,,,fo,,,,,,,,
A,F,,,.o,,,,,,,,
ci,,,,N,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
d,,,,,,,,,,,,
Pro,N005,"Poultry, chi","cken, liver",1,2.53,12.74,4.65,1.44,4.51,5.11,4.44,3.81
file,,,,,,,,,,,,
,N006,"Poultry, chi","cken, gizzard",1,2.55,14.29,5.63,1.67,5.90,4.53,4.01,3.78
,,,,,,,,,,,,
,N007,Country hen,", leg, with skin",1,2.49,15.12,3.03,1.19,3.69,5.16,5.57,3.97
,,,,,,,,,,,,
,N008,Country hen,", thigh, with skin",1,2.63,15.54,4.76,1.08,4.87,5.04,4.96,3.99
,,,,,,,,,,,,
,N009,Country hen,", breast, with skin",1,2.47,15.91,4.34,1.08,5.06,4.98,4.78,4.09
,,,,,,,,,,,,
,N010,Country hen,", wing, with skin",1,2.84,15.93,5.37,1.16,4.60,4.64,3.77,3.86
,,,,,,,,,,,,
,N011,"Duck, meat,",with skin,1,2.65,14.99,4.80,1.14,4.47,5.46,4.43,4.59
,,,,,,,,,,,,
,N012,"Emu, meat,",skinless,1,2.89,14.36,4.83,1.24,4.53,5.77,4.26,4.39
,,,,,,,,,,,,
,N013,Guinea fowl,", meat, with skin",1,2.58,14.57,4.98,0.99,4.20,4.88,4.04,3.45
,,,,,,,,,,,,
29,N014,"Pigeon, mea","t, with skin",1,3.02,14.38,4.77,1.16,4.14,5.33,4.19,3.62
4,,,,,,,,,,,,
,,,,,,,,,,,,
,N015,"Quail, meat,",skinless,1,2.89,14.35,5.03,1.27,3.50,5.74,4.46,4.13
,,,,,,,,,,,,
,N016,"Turkey, leg,",with skin,1,3.08,15.71,4.55,1.43,4.13,5.80,4.46,4.04
,,,,,,,,,,,,
,N017,"Turkey, thig","h, with skin",1,2.69,16.08,4.66,1.44,4.27,5.82,4.65,3.89
,,,,,,,,,,,,
,N018,"Turkey, brea","st, with skin",1,2.57,15.39,4.62,1.12,4.26,5.46,4.09,4.36
,,,,,,,,,,,,
,N019,"Turkey, win","g, with skin",1,2.35,16.62,5.20,1.43,4.28,5.10,4.22,4.07
,,,,,,,,,,,,
,O,ANIMAL,MEAT,,,,,,,,,
,,,,,,,,,,,,
,O001,"Goat, shoul",der,6,2.17±0.17,14.68±0.73,5.63±0.34,1.35±0.18,4.72±0.13,4.19±0.39,4.34±0.30,3.95±0.43
,,,,,,,,,,,,
,O002,"Goat, chops",,6,2.56±0.57,14.31±1.25,6.05±0.70,1.35±0.16,4.20±0.47,4.59±0.17,4.24±0.63,3.71±0.23
,,,,,,,,,,,,
,O003,"Goat, legs",,6,2.79±0.30,14.02±1.12,5.64±0.58,1.67±0.57,4.08±0.45,4.63±0.31,4.43±0.42,4.66±0.79
,,,,,,,,,,,,
,O004,"Goat, brain",,5,3.05±0.29,13.68±0.35,5.72±0.23,1.29±0.08,4.20±0.14,4.82±0.09,5.29±0.35,4.68±0.55
,,,,,,,,,,,,
,O005,"Goat, tongu",e,4,2.38±0.52,13.47±0.63,6.34±0.36,1.45±0.11,4.78±0.53,4.15±0.28,4.64±0.75,3.97±0.62
