edoC dooF,Food Name,snoigeR fo .oN,Histidine,Isoleucine,Leucine,Lysine,Methionine,Cystine Ph,enylalanine,Threonine,Tryptophan,Valine
,,,,,,,g,,,,,
,,,HIS,ILE,LEU,LYS,MET,CYS,PHE,THR,TRP,VAL
O028,"Beef, brain",4,5.35±0.53,2.74±0.02,5.48±0.21,8.42±0.46,5.64±0.50,8.08±0.25,6.29±0.53,5.43±0.62,1.39±0.02,4.70±0.07
O029,"Beef, tongue",4,4.99±0.45,3.22±0.21,5.55±0.11,7.98±0.47,5.49±0.14,8.23±0.50,6.77±0.88,5.20±0.59,1.20±0.18,4.59±0.55
O030,"Beef, lungs",3,4.51±0.47,3.46±0.28,5.37±0.14,8.13±0.26,6.12±0.47,7.08±0.19,6.21±1.62,5.92±0.18,1.47±0.14,5.20±0.59
O031,"Beef, heart",5,5.84±0.46,2.54±0.50,6.41±0.05,7.77±0.48,5.53±0.54,8.00±0.55,7.29±0.08,4.99±0.57,1.44±0.13,6.01±0.20
O032,"Beef, liver",6,4.83±0.23,2.92±0.13,6.53±0.18,8.53±0.57,5.54±0.29,8.48±0.25,5.94±0.31,5.90±0.55,1.17±0.12,5.02±0.59
O033,"Beef, tripe",5,4.38±0.07,3.30±0.14,5.28±0.06,7.11±0.18,6.07±0.38,8.39±0.68,7.06±0.20,4.75±0.20,1.48±0.16,5.58±0.07
O034,"Beef, spleen",6,4.82±0.34,3.19±0.35,5.50±0.19,8.38±0.39,5.71±0.58,7.73±0.41,6.12±0.55,5.83±0.51,1.49±0.14,5.05±0.56
O035,"Beef, kidneys",3,5.27±0.38,3.33±0.27,6.85±0.18,8.08±0.21,5.40±0.44,7.95±0.18,6.21±0.18,5.14±0.63,1.32±0.04,5.22±0.60
O036,"Calf, shoulder",2,4.82,3.60,5.58,7.73,5.40,9.49,5.35,4.71,1.14,3.87
O037,"Calf, chops",2,5.22,3.76,5.61,8.23,5.69,10.47,5.78,5.28,1.30,4.47
O038,"Calf, round (leg)",2,5.12,5.10,6.49,8.32,5.99,9.45,6.66,5.45,1.25,4.36
O039,"Calf, brain",2,5.98,2.33,5.56,9.19,5.67,8.18,5.22,5.17,1.40,4.25
O040,"Calf, tongue",2,4.89,2.70,5.54,7.77,6.86,8.45,6.39,4.76,1.54,4.37
O041,"Calf, heart",1,5.25,2.69,6.43,8.11,4.98,7.97,6.83,5.00,1.41,5.38
O042,"Calf, liver",1,4.33,2.36,6.13,8.76,5.51,8.61,5.55,6.13,1.43,4.98
O043,"Calf, spleen",1,4.76,3.15,5.66,9.51,6.96,8.25,5.32,6.84,1.47,5.19
O044,"Calf, kidneys",2,5.49,3.77,6.39,8.27,5.92,8.20,6.15,5.53,1.21,5.38
O045,"Mithun, shoulder",1,4.72,4.08,7.78,7.48,6.01,9.54,7.44,5.01,1.28,4.47
O046,"Mithun, chops",1,5.21,3.35,6.92,7.87,5.37,9.71,7.73,4.65,1.28,4.76
O047,"Mithun, round (leg)",1,5.08,3.77,6.49,7.87,5.50,9.57,7.34,4.93,1.33,3.94
O048,"Pork, shoulder",6,4.83±0.29,3.86±0.46,5.50±0.13,8.39±0.12,5.32±0.44,9.17±0.24,6.51±0.58,4.39±0.43,1.32±0.11,4.41±0.29
