Ta,,,s,,,,,,,,
ble,ed,,no,Alanine,Arginine As,partic Acid Gl,utamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,oC,Food Name,ige,,,,,,,,
mino,doo,,R fo,,,,g,,,,
A,F,,.o,,,,,,,,
ci,,,N,ALA,ARG,ASP,GLU,GLY,PRO,SER,TYR
d,,,,,,,,,,,
Pro,O028,"Beef, brain",4,2.75±0.17,12.75±0.54,5.65±0.47,1.35±0.08,4.05±0.23,4.17±0.55,5.43±0.53,4.87±0.58
file,,,,,,,,,,,
,O029,"Beef, tongue",4,3.02±0.21,13.80±0.47,5.72±0.48,1.25±0.31,4.77±0.21,4.35±0.32,4.67±0.18,3.71±0.43
,,,,,,,,,,,
,O030,"Beef, lungs",3,2.61±0.30,11.46±0.08,8.15±0.52,1.64±0.20,5.74±0.34,3.56±0.13,4.78±0.56,3.87±0.55
,,,,,,,,,,,
,O031,"Beef, heart",5,2.84±0.16,13.39±0.53,4.60±0.47,1.61±0.23,4.30±0.63,4.53±0.44,4.92±0.54,4.92±0.61
,,,,,,,,,,,
,O032,"Beef, liver",6,2.82±0.21,11.84±0.42,5.60±0.37,1.30±0.26,4.59±0.09,4.24±0.18,4.66±0.14,3.77±0.59
,,,,,,,,,,,
,O033,"Beef, tripe",5,2.82±0.23,11.70±0.13,7.40±0.23,1.75±0.37,5.40±0.64,4.07±0.14,4.54±0.27,4.16±0.26
,,,,,,,,,,,
,O034,"Beef, spleen",6,2.54±0.44,11.81±0.51,7.41±0.60,1.65±0.40,4.75±0.52,3.78±0.49,4.86±0.26,3.17±0.08
,,,,,,,,,,,
,O035,"Beef, kidneys",3,2.56±0.26,12.93±0.66,5.26±0.09,1.56±0.21,5.05±0.30,3.78±0.34,4.96±0.23,4.26±0.34
,,,,,,,,,,,
,O036,"Calf, shoulder",2,2.36,13.73,5.07,1.04,4.59,3.95,4.64,3.11
,,,,,,,,,,,
29,O037,"Calf, chops",2,2.82,14.47,5.09,1.08,4.33,4.90,4.43,3.68
8,,,,,,,,,,,
,,,,,,,,,,,
,O038,"Calf, round (leg)",2,3.01,14.32,5.38,1.66,4.37,4.62,4.52,4.09
,,,,,,,,,,,
,O039,"Calf, brain",2,2.30,13.19,5.12,1.32,4.08,4.37,5.59,4.40
,,,,,,,,,,,
,O040,"Calf, tongue",2,2.21,12.73,6.61,1.20,4.43,3.92,4.70,3.50
,,,,,,,,,,,
,O041,"Calf, heart",1,2.29,13.82,5.50,1.49,3.78,4.13,4.20,4.28
,,,,,,,,,,,
,O042,"Calf, liver",1,2.65,12.77,5.66,1.52,4.55,4.28,4.62,3.62
,,,,,,,,,,,
,O043,"Calf, spleen",1,2.26,13.25,7.83,1.47,4.54,3.45,4.51,3.25
,,,,,,,,,,,
,O044,"Calf, kidneys",2,2.81,12.50,6.08,1.55,5.23,3.88,5.10,4.19
,,,,,,,,,,,
,O045,"Mithun, shoulder",1,2.52,16.40,5.63,1.28,4.83,4.45,4.20,3.87
,,,,,,,,,,,
,O046,"Mithun, chops",1,3.10,15.61,5.60,1.14,4.29,4.71,4.50,3.87
,,,,,,,,,,,
,O047,"Mithun, round (leg)",1,2.58,14.79,5.38,1.21,4.16,4.40,4.37,4.58
,,,,,,,,,,,
,O048,"Pork, shoulder",6,2.89±0.40,13.31±0.59,5.37±0.10,1.35±0.43,5.74±0.50,4.40±0.07,4.33±0.12,3.23±0.52
,,,,,,,,,,,
,O049,"Pork, chops",6,2.88±0.13,14.27±0.94,5.50±0.13,1.41±0.14,5.27±0.04,4.55±0.08,4.69±0.64,3.46±0.07
