Ta,,,,,,,,,,,,
ble,e,,,sn,Alanine,Arginine A,spartic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doC,,,oige,,,,g,,,,
mino,doo,,Fish Name,R fo,,,,,,,,
A,F,,,.o,,,,,,,,
ci,,,,N,ALA,ARG,ASN,GLU,GLY,PRO,SER,TYR
d,,,,,,,,,,,,
Pr,,,,,,,,,,,,
ofile,P,MARINE,FISH,,,,,,,,,
,,,,,,,,,,,,
,P001,Allathi (Elop,s machnata),1,5.41,5.95,10.70,14.01,4.68,3.39,3.88,5.15
,,,,,,,,,,,,
,P002,Aluva (Para,stromateus niger),3,5.55±0.36,6.97±1.17,9.56±1.05,13.13±0.62,5.47±0.29,3.53±0.40,4.34±0.63,5.13±0.33
,,,,,,,,,,,,
,P003,Anchovy (St,olephorus indicus),2,5.28,5.83,7.89,14.66,5.57,3.35,4.39,4.15
,,,,,,,,,,,,
,P004,Ari fish (Apr,ion virescens),1,5.39,7.56,10.65,12.16,5.83,3.28,4.38,4.26
,,,,,,,,,,,,
,P005,Betki (Lates,calcarifer),1,2.15,5.93,10.35,13.28,6.51,5.55,4.46,5.28
,,,,,,,,,,,,
,P006,Black snapp,er (Macolor niger),1,5.67,5.74,11.43,15.70,5.36,3.58,4.07,3.85
,,,,,,,,,,,,
,P007,Bombay du,ck (Harpadon nehereus),2,5.95,5.25,9.93,11.16,6.17,6.14,4.50,4.23
,,,,,,,,,,,,
,P008,Bommuralu,(Muraenesox cinerius),3,4.52±0.53,6.73±0.33,10.19±0.81,13.89±0.53,4.76±0.34,3.29±0.42,4.54±0.07,5.46±0.47
,,,,,,,,,,,,
30,,,,,,,,,,,,
2,P009,Cat fish (Ta,chysurus thalassinus),1,5.84,5.77,12.00,15.36,5.19,3.62,4.18,3.91
,,,,,,,,,,,,
,P010,Chakla (Rac,hycentron canadum),5,5.57±0.20,6.88±1.24,10.25±0.50,13.92±0.58,4.96±0.22,3.44±0.16,4.30±0.25,4.41±0.59
,,,,,,,,,,,,
,P011,Chappal (Al,uterus monoceros ),1,5.73,8.17,9.16,14.10,6.10,3.75,4.97,3.35
,,,,,,,,,,,,
,P012,Chelu (Elaga,tis bipinnulata),2,5.15,6.98,9.86,14.88,5.07,3.34,5.11,4.47
,,,,,,,,,,,,
,P013,Chembali (L,utjanus quinquelineatus),1,5.72,5.98,11.41,12.69,5.60,3.21,4.28,5.44
,,,,,,,,,,,,
,P014,Eri meen (P,ristipomoides filamentosus),1,5.72,5.97,10.33,15.02,5.89,3.56,4.40,3.48
,,,,,,,,,,,,
,P015,Gobro (Epin,ephelus diacanthus),2,5.43,6.38,9.19,14.35,5.02,3.37,4.49,4.26
,,,,,,,,,,,,
,P016,Guitar fish (,Rhinobatus prahli),1,6.14,6.69,9.13,14.68,5.78,5.29,4.29,4.85
,,,,,,,,,,,,
,P017,Hilsa (Tenua,losa ilisha),2,4.43,4.15,1.72,13.13,6.66,6.85,4.43,3.83
,,,,,,,,,,,,
,P018,Jallal (Arius,sp.),1,5.11,6.87,9.54,13.98,5.33,3.14,5.41,4.28
,,,,,,,,,,,,
,P019,Jathi vela m,een (Lethrinus lentjan),2,5.61,6.42,9.92,14.07,5.38,3.73,4.23,4.18
,,,,,,,,,,,,
,P020,Kadal bral (,Synodus indicus),1,5.00,6.44,10.46,13.80,5.37,3.20,4.34,3.51
,,,,,,,,,,,,
,P021,Kadali (Nem,ipterus mesoprion),1,6.23,5.35,8.51,16.44,5.13,3.74,3.87,5.27
