Ta,,,,,,,,,,,,
ble,e,,,sn,Alanine,Arginine As,partic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doC,,,oige,,,,g,,,,
mino,doo,,Fish Name,R fo,,,,,,,,
A,F,,,.o,,,,,,,,
ci,,,,N,ALA,ARG,ASN,GLU,GLY,PRO,SER,TYR
d,,,,,,,,,,,,
Pr,,,,,,,,,,,,
ofile,P022,Kalamaara (L,eptomelanosoma indicum),2,5.48,7.75,8.39,13.66,5.38,3.55,4.44,5.55
,,,,,,,,,,,,
,P023,Kalava (Epine,phelus coioides),1,5.41,6.54,9.33,14.20,5.83,3.82,4.44,4.50
,,,,,,,,,,,,
,P024,Kanamayya (,Lutjanus rivulatus),2,5.66,6.09,10.96,14.60,5.42,3.73,4.63,5.24
,,,,,,,,,,,,
,P025,Kannadi paar,ai (Alectis indicus),3,5.34±0.20,6.01±0.22,9.73±1.86,13.56±0.62,5.09±0.25,3.37±0.08,4.43±0.21,4.28±0.13
,,,,,,,,,,,,
,P026,Karimeen (Et,roplus suratensis),1,6.36,6.48,11.62,15.32,6.34,3.69,4.50,3.20
,,,,,,,,,,,,
,P027,Karnagawala,(Anchoa hepsetus),1,5.69,6.63,9.28,13.80,5.18,3.33,5.36,3.39
,,,,,,,,,,,,
,P028,Kayrai (Thunn,us albacores),2,5.56,6.33,9.56,13.19,4.56,3.69,4.04,4.71
,,,,,,,,,,,,
,P029,Kiriyan (Atule,mate),1,5.54,6.56,10.05,14.49,6.06,3.37,4.22,3.93
,,,,,,,,,,,,
,P030,Kite fish (Mob,ula kuhlii),1,5.25,6.70,10.35,14.85,6.30,3.57,4.47,4.96
,,,,,,,,,,,,
30,,,,,,,,,,,,
4,P031,Korka (Terap,on jarbua),1,5.36,8.53,8.38,13.01,5.75,3.14,4.22,3.03
,,,,,,,,,,,,
,P032,Kulam paarai,(Carangoides fulvoguttatus),1,5.64,7.64,10.08,12.26,6.13,3.68,5.02,4.09
,,,,,,,,,,,,
,P033,Maagaa (Poly,nemus plebeius),1,5.67,6.34,8.91,15.62,4.96,3.54,4.45,5.61
,,,,,,,,,,,,
,P034,Mackerel (Ra,strelliger kanagurta),3,5.41±0.54,5.81±0.54,9.96±0.72,13.38±0.59,5.28±0.26,3.27±0.24,4.46±0.11,4.59±0.15
,,,,,,,,,,,,
,P035,Manda clathi,(Naso reticulatus),1,5.29,6.64,10.88,13.48,5.35,3.22,4.13,4.61
,,,,,,,,,,,,
,P036,Matha (Acant,hurus mata),2,5.52,8.02,8.66,13.56,5.22,3.63,4.39,4.80
,,,,,,,,,,,,
,P037,Milk fish (Cha,nos chanos),1,6.23,6.15,8.60,14.07,5.06,3.96,3.93,4.84
,,,,,,,,,,,,
,P038,Moon fish (M,ene maculata),1,5.67,5.74,11.43,14.70,5.36,3.58,4.07,4.26
,,,,,,,,,,,,
,P039,Mullet (Mugil,cephalus),3,5.57±0.29,7.18±0.38,8.33±0.67,14.52±0.52,5.76±0.37,3.54±0.37,4.60±0.36,5.27±0.31
,,,,,,,,,,,,
,P040,Mural (Tylosu,rus crocodilus crocodilus),1,5.56,6.08,8.24,14.67,5.80,3.83,4.29,4.98
,,,,,,,,,,,,
,P041,Myil meen (Is,tiophorus platypterus),2,5.44,7.37,8.56,13.97,5.65,3.53,4.50,4.08
,,,,,,,,,,,,
,P042,Nalla bontha,(Epinephelus sp.),1,6.61,7.43,9.59,13.21,4.71,2.73,5.41,4.90
,,,,,,,,,,,,
,P043,Narba (Caran,x sexfasciatus),2,5.42,6.11,9.75,13.59,5.44,3.36,4.12,4.74
