Ta,,,,,,,,,,,,,
ble,e,,,,sn,Alanine,Arginine As,partic Acid G,lutamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doC,,,,oige,,,,g,,,,
mino,doo,,,Fish Name,R fo,,,,,,,,
A,F,,,,.o,,,,,,,,
ci,,,,,N,ALA,ARG,ASN,GLU,GLY,PRO,SER,TYR
d,,,,,,,,,,,,,
Pr,,,,,,,,,,,,,
ofile,P066,Red snap,"per, s",mall (Priacanthus hamrur),1,5.21,6.75,9.36,13.86,5.88,3.11,4.65,5.26
,,,,,,,,,,,,,
,P067,Sadaya (P,latax,orbicularis),1,5.28,7.92,9.15,14.00,5.28,3.54,4.52,3.95
,,,,,,,,,,,,,
,P068,Salmon (S,almo,salar),1,5.31,7.25,9.77,14.05,5.50,3.53,4.82,4.97
,,,,,,,,,,,,,
,P069,Sangada (,Nemi,pterus japanicus),1,4.90,7.36,8.21,13.48,5.29,3.12,4.81,5.92
,,,,,,,,,,,,,
,P070,Sankata p,aarai,(Caranx ignobilis),1,5.56,4.90,10.62,14.54,4.94,3.59,4.87,4.55
,,,,,,,,,,,,,
,P071,Sardine (,Sardin,ella longiceps),1,5.36,6.45,10.65,13.86,5.66,4.41,4.62,4.11
,,,,,,,,,,,,,
,P072,Shark (Ca,rchar,hinus sorrah),2,5.54,6.71,8.89,14.20,6.72,3.65,4.57,3.65
,,,,,,,,,,,,,
,P073,"Shark, ha",mmer,head (Sphyrna mokarran),1,5.75,4.23,9.04,13.68,6.24,6.30,4.13,3.54
,,,,,,,,,,,,,
,P074,"Shark, sp",otted,(Stegostoma fasciatum),1,6.02,6.69,8.71,16.23,6.87,4.56,4.88,3.25
,,,,,,,,,,,,,
30,,,,,,,,,,,,,
8,P075,Shelavu (,Sphyr,aena jello),4,5.58±0.23,7.31±1.40,9.05±2.88,14.24±0.50,5.41±0.55,3.39±0.14,4.24±0.18,3.87±0.89
,,,,,,,,,,,,,
,P076,Silan (Silo,nia sil,ondia),1,5.18,7.44,7.79,15.05,5.76,4.02,6.41,4.26
,,,,,,,,,,,,,
,P077,Silk fish (,Beryx,sp.),1,5.43,7.53,10.21,14.57,5.25,3.45,4.39,3.53
,,,,,,,,,,,,,
,P078,Silver car,p (Hy,pophthalmichthys molitrix),1,3.31,3.97,9.43,13.75,9.82,7.72,4.54,3.40
,,,,,,,,,,,,,
,P079,Sole fish (,Cyno,glossus arel),1,5.71,6.24,8.01,14.66,4.98,3.36,4.65,5.79
,,,,,,,,,,,,,
,P080,Stingray (,Dasy,atis pastinaca),1,5.21,5.94,8.21,13.94,5.65,4.18,5.65,4.33
,,,,,,,,,,,,,
,P081,Tarlava (D,repan,e punctata),2,5.94,5.94,9.79,14.51,4.96,4.11,4.21,4.64
,,,,,,,,,,,,,
,P082,Tholam (P,lector,hinchus schotaf),2,5.86,5.68,9.51,15.03,5.80,3.70,4.36,3.67
,,,,,,,,,,,,,
,P083,Tilapia (Or,eoch,romis niloticus),1,3.05,6.47,9.02,13.03,4.89,5.62,5.17,5.67
,,,,,,,,,,,,,
,P084,Tuna (Euth,ynnu,s affinis),5,5.28±0.64,6.46±1.00,8.60±0.30,13.49±0.51,5.60±0.36,3.49±0.36,4.53±0.31,5.19±1.01
,,,,,,,,,,,,,
,P085,"Tuna, stri",ped (,Katsuwonus pelamis),1,5.97,7.02,8.04,14.20,5.24,3.46,4.50,5.72
,,,,,,,,,,,,,
,P086,Valava (C,hiroce,ntrus nudus),1,5.60,5.02,10.14,16.04,4.41,3.30,4.90,4.21
,,,,,,,,,,,,,
,P087,Vanjaram,(Sco,mberomorus commerson),2,5.71,6.81,10.31,14.51,5.90,3.74,4.35,3.74
