,,,,,,,,g,,,,,
,,,,,,,,,,,,,
,,,,HIS,ILE,LE,LYS,MET,CYS,PHE,THR,TRP,VAL
P088,Vela meen (A,prion virescens),1,3.61,4.82,8.12,5.45,2.34,2.21,6.17,5.51,0.93,5.65
P089,Vora (Siganu,s javus),2,3.76,4.99,8.49,6.58,2.95,1.47,5.13,5.27,0.77,5.79
P090,Whale shark,(Galeocerdo cuvier),1,4.02,4.90,8.19,5.46,3.40,1.72,7.00,5.26,1.15,5.30
P091,Xiphinis (Xip,hias gladius),1,5.94,4.68,7.90,5.92,3.51,2.05,4.82,5.07,0.77,5.27
P092,"Z.Eggs, Cat fi",sh (Ompok bimaculatus),1,4.55,5.21,8.04,7.36,2.80,1.63,6.30,5.21,1.06,5.15
,,,,,,,,,,,,,
Q,MARINE,SHELLFISH,,,,,,,,,,,
Q001,Crab (Menipp,e mercenaria),1,2.33,4.54,6.35,7.11,3.43,1.69,4.72,2.43,1.41,4.79
Q002,"Crab, sea (P",ortunus sanguinolentus),1,2.20,4.48,7.30,7.82,3.62,1.60,4.11,4.81,0.64,4.91
Q003,"Lobster, bro",wn (Thenus orientalis),1,2.74,4.98,8.62,7.73,3.99,1.52,3.70,5.09,0.75,5.87
Q004,"Lobster, king",size (Thenus orientalis),1,3.22,4.37,6.45,7.53,4.24,1.91,4.83,4.33,0.88,5.38
Q005,Mud crab (S,cylla tranquebarica),1,1.73,4.12,6.90,6.78,2.39,1.42,4.07,4.28,1.15,4.67
Q006,Oyster (Cras,sostrea sp.),1,2.34,4.56,7.08,6.06,2.21,1.16,3.87,4.76,0.92,5.31
Q007,Tiger prawns,", brown(Solenocera crassicornis)",1,2.03,4.55,7.72,7.49,3.43,1.77,4.60,4.90,0.87,5.06
Q008,Tiger Prawn,"s, orange (Penaeus monodon)",1,2.11,4.67,7.39,7.93,3.81,2.04,3.68,4.90,0.71,5.13
,,,,,,,,,,,,,
R,MARINE,MOLLUSKS,,,,,,,,,,,
R001,"Clam, green",shell(Perna viridis ),1,2.42,4.44,6.43,4.12,3.62,1.30,3.71,5.61,0.92,4.92
R002,"Clam, white","shell, ribbed (Meretrix meretrix)",1,2.23,4.06,6.31,4.62,3.08,0.79,3.18,5.09,0.79,4.69
R003,Octopus (Oc,topus vulgaris),1,4.48,5.82,8.48,7.55,2.46,1.87,6.37,5.82,0.88,5.30
R004,"Squid, black",(Loligo sp.),1,4.14,4.05,8.49,6.58,2.25,1.69,5.21,5.53,0.93,4.62
