Ta,,,,,,,,,,,,
ble,e,,,sn,Alanine,Arginine Asp,artic Acid Glut,amic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doC,,,oige,,,,g,,,,
mino,doo,,Fish Name,R fo,,,,,,,,
A,F,,,.o,,,,,,,,
ci,,,,N,ALA,ARG,ASN,GLU,GLY,PRO,SER,TYR
d,,,,,,,,,,,,
Pr,,,,,,,,,,,,
ofile,P088,Vela meen (Apri,on virescens),1,5.42,6.57,8.71,14.28,6.04,3.53,4.46,4.69
,,,,,,,,,,,,
,P089,Vora (Siganus ja,vus),2,5.85,4.46,9.41,15.08,5.14,3.70,4.16,4.56
,,,,,,,,,,,,
,P090,Whale shark (G,aleocerdo cuvier),1,5.49,5.88,9.02,13.93,6.13,3.85,4.37,5.16
,,,,,,,,,,,,
,P091,Xiphinis (Xiphias,gladius),1,5.12,5.67,8.73,13.64,5.41,3.51,4.36,4.38
,,,,,,,,,,,,
,P092,"Z.Eggs, Cat fish",(Ompok bimaculatus),1,3.38,6.53,9.31,12.24,5.28,5.38,4.72,5.57
,,,,,,,,,,,,
,Q,MARINE SH,ELLFISH,,,,,,,,,
,,,,,,,,,,,,
,Q001,Crab (Menippe m,ercenaria),1,2.80,3.37,8.31,13.53,7.58,3.34,4.17,3.56
,,,,,,,,,,,,
,Q002,"Crab, sea (Portu",nus sanguinolentus),1,6.19,6.91,8.11,15.34,7.97,3.97,3.62,3.81
,,,,,,,,,,,,
31,,,,,,,,,,,,
0,Q003,"Lobster, brown",(Thenus orientalis),1,6.08,6.81,10.35,15.93,6.69,3.86,4.68,3.43
,,,,,,,,,,,,
,Q004,"Lobster, king si",ze (Thenus orientalis),1,3.43,5.13,8.32,13.76,6.38,7.55,4.77,4.53
,,,,,,,,,,,,
,Q005,Mud crab (Scylla,tranquebarica),1,5.47,7.47,8.68,14.34,7.48,4.85,3.70,3.88
,,,,,,,,,,,,
,Q006,Oyster (Crassos,trea sp.),1,5.57,6.07,10.93,14.64,7.88,5.24,4.61,3.61
,,,,,,,,,,,,
,Q007,"Tiger prawns, b",rown(Solenocera crassicornis),1,5.25,7.69,8.84,14.31,5.94,3.52,4.16,3.79
,,,,,,,,,,,,
,Q008,"Tiger Prawns, o",range (Penaeus monodon),1,5.37,5.65,8.60,14.50,5.95,3.41,4.07,3.40
,,,,,,,,,,,,
,R,MARINE MO,LLUSKS,,,,,,,,,
,,,,,,,,,,,,
,R001,"Clam, green she",ll (Perna viridis ),1,4.44,6.21,10.19,13.15,8.87,3.64,5.20,3.67
,,,,,,,,,,,,
,R002,"Clam, white she","ll, ribbed (Meretrix meretrix)",1,6.80,7.54,10.20,13.55,8.43,3.35,4.71,3.17
,,,,,,,,,,,,
,R003,Octopus (Octop,us vulgaris),1,5.34,6.59,8.90,10.43,5.84,4.43,4.75,6.32
,,,,,,,,,,,,
,R004,"Squid, black (Lo",ligo sp.),1,5.27,6.99,10.65,13.08,5.95,4.56,4.16,4.30
,,,,,,,,,,,,
,R005,"Squid, hard she",ll (Sepia pharaonis),1,4.43,7.03,9.96,13.99,4.64,4.44,4.50,2.91
