Ta,,,,,,,,,,,,
ble,e,,,sn,Alanine,Arginine As,partic Acid Gl,utamic Acid,Glycine,Proline,Serine,Tyrosine
8. A,doC,,,oige,,,,g,,,,
mino,doo,,Fish Name,R fo,,,,,,,,
A,F,,,.o,,,,,,,,
ci,,,,N,ALA,ARG,ASN,GLU,GLY,PRO,SER,TYR
d,,,,,,,,,,,,
Pr,,,,,,,,,,,,
ofile,R006,"Squid, red (L",oligo duvaucelii),2,5.71,6.75,8.86,12.38,5.48,3.27,5.79,5.63
,,,,,,,,,,,,
,R007,"Squid, white",", small (Uroteuthis duvauceli)",1,4.74,4.67,9.75,8.18,5.33,4.34,4.60,4.46
,,,,,,,,,,,,
,R,FRESH W,ATER FISH AND SHELLF,ISH,,,,,,,,
,,,,,,,,,,,,
,R001,Cat fish (Tan,danus tandanus),2,2.38±0.43,4.03±0.54,1.56±0.17,6.74±0.65,8.78±0.99,7.13±1.37,4.72±0.54,3.82±0.32
,,,,,,,,,,,,
,R002,Catla (Catla c,atla),6,2.64±0.33,3.53±0.05,1.08±0.55,6.64±1.21,9.32±2.68,6.75±1.68,4.43±0.03,2.88±0.75
,,,,,,,,,,,,
,R003,Freshwater E,el (Anguilla anguilla),1,2.06,4.06,1.12,7.74,6.53,5.97,3.52,3.78
,,,,,,,,,,,,
,R004,Gold fish (C,arassius auratus),1,3.12,3.19,1.61,7.39,8.61,7.77,4.38,3.14
,,,,,,,,,,,,
,R005,Pangas (Pan,gasianodon hypophthalmus),2,13.64,95.04,3.34,6.08,2.84,8.44,6.51,5.31
,,,,,,,,,,,,
31,,,,,,,,,,,,
2,R006,Rohu (Labeo,rohita),6,2.45±0.64,3.68±1.15,1.45±0.12,7.19±0.24,9.60±0.89,6.41±0.57,4.63±0.50,3.40±0.92
,,,,,,,,,,,,
,R007,Crab (Pachy,grapsus sp.),1,2.92,5.27,2.03,9.15,8.42,7.73,3.80,5.17
,,,,,,,,,,,,
,R008,"Prawns, big",(Macrobrachium rosenbergii),3,2.79,3.28,1.82,9.11,9.10,5.49,4.13,2.66
,,,,,,,,,,,,
,R009,"Prawns, sma",ll(Macrobrachium sp.),6,2.56±0.43,4.42±0.77,1.51±0.43,6.52±1.01,8.32±2.18,6.30±1.04,4.36±0.57,3.86±0.53
,,,,,,,,,,,,
,R010,Tiger prawn,s (Macrobrachium sp.),2,2.35,4.06,1.41,10.29,8.84,4.24,4.30,3.59
