edoc dooF,Foo,d Name,,snoigeR fo .oN,,Oxalate,,Cis-Aconitic Acid,Citric Acid Fu,maric Acid,Mallic Acid,Quinic Acid Su,ccinic Acid T,artaric Ac
,,,,,Total,Soluble,Insoluble,,,,,,,
,,,,,,,,,mg,,,,,
,,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
A CER,EALS A,ND M,ILLETS,,,,,,,,,,,
Amara A001 cruentu,"nth seed, s)",black (A,maranthus,1,226,37.43,188,,8.64,0.15,45.78,75.53,1.47,
Amara A002 (Amara,"nth seed, nthus crue",pale bro ntus),wn,6,209±49.7,32.30±1.46,177±49.8,0.14±0.02,7.93±0.45,0.14±0.02,47.16±1.64,75.06±0.57,1.89±0.13,
A003 Bajra (,Pennisetum,typhoid,eum),6,53.13±5.34,43.49±3.90,9.88±8.36,0.08±0.03,,1.99±0.59,0.86±0.21,,0.02±0.01,
A004 Barley,(Hordeum,vulgare),,6,10.98±1.31,8.73±0.54,2.04±0.61,1.43±0.27,,,0.90±0.48,0.52±0.09,0.17±0.06,3.24±1.27
A005 Jowar,(Sorghum,vulgare),,6,28.38±2.65,24.62±4.49,1.72±0.46,,,1.84±0.79,0.51±0.24,,3.88±1.22,
"A006 Maize,",dry (Zea m,ays),,6,15.26±1.78,14.19±1.30,2.73±1.34,,,0.66±0.20,0.93±0.50,0.84±0.07,1.50±0.23,0.94±0.05
"A007 Maize,","tender, lo",cal (Zea,mays),6,5.20±1.09,3.98±0.66,0.92±0.15,0.29±0.07,,0.46±0.19,0.73±0.48,1.83±0.58,1.22±0.10,4.35±0.72
"A008 Maize,","tender, sw",eet (Zea,mays),4,1.67±0.15,1.45±0.08,0.34±0.12,0.26±0.01,,0.78±0.07,0.64±0.15,4.56±0.78,1.90±0.53,2.24±0.43
A009 Quinoa,(Chenopo,dium qui,noa),1,82.94,42.22,40.72,,,25.07,0.23,,2.07,
A010 Ragi (E,leusine co,racana),,5,39.58±6.47,31.16±3.05,8.58±1.55,,,0.20±0.06,0.75±0.35,,1.89±0.56,1.60±0.26
A011 Rice fl,akes (Oryz,a sativa,),6,10.97±0.60,8.52±0.48,2.45±0.40,,,1.28±0.10,0.48±0.23,,1.35±0.28,
A012 Rice p,uffed (Oryz,a sativa,),6,6.27±0.24,5.59±0.21,0.68±0.25,,,0.49±0.21,0.45±0.12,,1.30±0.28,
"A013 Rice, r","aw, brown",(Oryza s,ativa ),6,12.06±1.05,9.30±0.83,1.96±0.44,,,1.72±0.60,0.50±0.29,,1.85±0.60,
"A014 Rice, p","arboiled,",milled (,Oryza sativa ),6,5.02±0.81,3.70±0.97,1.10±0.68,,,0.05±0.02,0.49±0.26,,1.61±0.36,
"A015 Rice, r","aw, milled",(Oryza,sativa ),6,1.92±0.37,1.58±0.37,0.35±0.08,,,0.07±0.06,0.48±0.34,,1.54±0.41,
A016 Samai,(Panicum,miliare),,6,6.74±0.98,5.40±0.49,1.61±0.11,,,0.37±0.04,0.51±0.23,,2.35±0.69,6.07±2.18
A017 Varagu,(Setaria it,alica),,5,3.48±0.17,2.57±0.40,0.65±0.06,0.21±0.03,,0.26±0.09,0.45±0.24,,1.87±0.82,
Wheat A018 aestivu,"flour, refin m)",ed (Triti,cum,6,20.22±0.77,11.02±0.64,9.20±0.57,,,1.07±0.07,0.02±0.01,5.57±1.78,1.05±0.06,1.07±0.04
