T,,,,,,,,,,,,,,
able,,,,,sn,,Oxalate,,Cis-Aconitic Citric Acid F,umaric Acid M,allic Acid,Quinic Acid Su,ccinic Acid T,artaric Aci
9. Org,edoc,,Food Name,,oigeR,Total,Soluble,Insoluble,Acid,,,,,
anic,doo,,,,fo,,,,mg,,,,,
A,F,,,,.o,,,,,,,,,
ci,,,,,N,,,,,,,,,
ds,,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
,,,,,,,,,,,,,,
,A019,"Wheat flour,",atta (Triticum,aestivum),6,52.38±10.71,26.20±1.99,24.18±1.35,,1.50±0.13,0.02±0.01,6.49±1.98,1.15±0.12,1.41±0.18
,,,,,,,,,,,,,,
,A020,"Wheat, whol",e (Triticum aes,tivum),6,52.46±3.32,25.55±7.62,26.96±7.58,,1.61±0.39,0.03±0.03,6.16±2.71,1.48±0.58,1.72±0.59
,,,,,,,,,,,,,,
,A021,"Wheat, bulg",ur (Triticum ae,stivum),6,40.23±1.94,25.27±2.11,14.96±0.69,,1.57±0.27,0.02±0.01,6.42±2.91,1.54±0.42,1.43±0.13
,,,,,,,,,,,,,,
,A022,"Wheat, sem",olina (Triticum,aestivum),6,28.43±3.76,22.74±2.63,5.90±0.59,,1.04±0.02,0.02±0.01,5.81±1.71,1.09±0.09,1.21±0.26
,,,,,,,,,,,,,,
,A023,"Wheat, verm",icelli (Triticum,aestivum),6,23.84±2.34,18.86±1.94,5.57±0.78,4.20±0.70,1.20±0.20,0.02±0.01,4.86±2.13,0.97±0.77,0.62±0.11
,,,,,,,,,,,,,,
,A024,"Wheat, verm","icelli, roasted",(Triticum,6,21.91±1.31,17.55±1.95,5.66±0.77,2.89±0.58,1.05±0.03,0.02±0.01,4.13±1.90,0.83±0.38,0.64±0.27
,,aestivum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,B,GRAIN L,EGUMES,,,,,,,,,,,
,,,,,,,,,,,,,,
3,B001,Bengal gram,", dal (Cicer ar",ietinum),6,6.49±1.18,5.29±0.51,1.20±0.66,,55.58±1.22,0.52±0.14,,0.74±0.09,
16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,B002,Bengal gram,", whole (Cice",r arietinum),6,7.14±1.36,5.57±0.58,1.70±0.08,,81.17±6.44,0.71±0.19,,1.56±0.35,
,,,,,,,,,,,,,,
,B003,"Black gram,",dal (Phaseolu,s mungo),6,43.78±1.49,24.50±1.68,19.68±1.55,,1.65±0.48,0.54±0.24,,0.79±0.22,
,,,,,,,,,,,,,,
,B004,"Black gram,",whole (Phase,olus,6,56.25±2.42,34.17±1.70,22.09±2.32,,18.01±1.27,0.60±0.16,,2.16±0.30,
,,mungo),,,,,,,,,,,,
,,,,,,,,,,,,,,
,B005,"Cowpea, bro",wn (Vigna cat,jang),6,14.34±1.86,10.83±1.05,2.55±0.78,0.02±0.01,1.54±0.37,0.68±0.23,,5.38±3.28,
,,,,,,,,,,,,,,
,B006,"Cowpea, wh",ite (Vigna catj,ang),1,17.23,1.29,15.94,0.02,1.21,0.82,,1.35,
,,,,,,,,,,,,,,
,B007,"Field bean,",black (Phaseol,us,1,1.28,1.10,0.18,,3.83,0.44,,6.84,
,,vulgaris),,,,,,,,,,,,
,,,,,,,,,,,,,,
,B008,"Field bean,",brown (Phase,olus,1,1.26,1.10,0.16,,2.24,0.52,,4.52,
,,vulgaris),,,,,,,,,,,,
,,,,,,,,,,,,,,
,B009,"Field bean,",white (Phaseo,lus,5,1.23±0.05,0.97±0.07,0.31±0.08,,3.12±0.73,0.89±0.44,,1.67±0.88,
,,vulgaris),,,,,,,,,,,,
,,,,,,,,,,,,,,
,B010,"Green gram,",dal (Phaseolu,s aureus),6,2.46±0.74,1.94±0.66,0.52±0.39,,2.16±0.71,1.50±0.30,,1.33±0.26,
,,,,,,,,,,,,,,
,B011,"Green gram,",whole (Phase,olus,6,12.29±0.30,10.57±0.27,1.72±0.12,,5.98±0.84,1.84±0.13,,1.34±0.29,
,,aureus),,,,,,,,,,,,
,,,,,,,,,,,,,,
,B012,"Horse gram,",whole (Dolicu,s biflorus),6,181±9.1,144±7.7,38.36±3.08,,37.04±2.71,0.37±0.12,,0.68±0.44,
,,,,,,,,,,,,,,
,B013,Lentil dal (L,ens culinaris),,6,10.46±1.00,8.42±1.07,2.04±0.42,,2.77±0.94,0.18±0.07,21.37±4.24,0.70±0.20,0.12±0.11
