T,,,,,,,,,,,,,,
able,,,,sn,,Oxalate,,Cis-Aconitic,Citric Acid F,umaric Acid,Mallic Acid,Quinic Acid S,uccinic Acid T,artaric Aci
9. Org,edoc,Food,Name,oigeR,Total,Soluble,Insoluble,Acid,,,,,,
anic,doo,,,fo,,,,,mg,,,,,
A,F,,,.o,,,,,,,,,,
ci,,,,N,,,,,,,,,,
ds,,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
,,,,,,,,,,,,,,
,C007,Basella leaves (B,asella alba),2,170,35.47,133,,8.18,0.33,1.40,,4.72,
,,,,,,,,,,,,,,
,C008,Bathua leaves (Ch,enopodium album),2,1077,228,850,3.08,8.64,0.46,5.53,,1.32,
,,,,,,,,,,,,,,
,C009,Beet greens (Beta,vulgaris),6,127±21.6,34.98±5.06,92.38±19.84,,2.27±1.28,0.32±0.16,3.17±1.54,,62.38±17.90,
,,,,,,,,,,,,,,
,C010,"Betel leaves, big (",kolkata) (Piper,6,493±113,151±7.5,342±116,,2.27±0.61,0.58±0.31,6.25±0.62,0.27±0.03,10.74±2.70,145±13.5
,,betle),,,,,,,,,,,,
,,,,,,,,,,,,,,
,C011,"Betel leaves, sma",ll (Piper betle),4,577±139,183±8.1,393±138,,1.65±0.31,0.27±0.14,5.39±0.40,0.32±0.04,12.62±2.15,51.07±9.78
,,,,,,,,,,,,,,
,C012,Brussels sprouts,(Brassica oleracea,1,12.40,4.67,7.73,,2.63,2.24,4.07,,11.56,
,,var. gemmifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,C013,"Cabbage, Chines",e (Brassica rupa),1,16.55,1.85,14.77,,67.54,0.41,5.65,88.30,85.00,
,,,,,,,,,,,,,,
,C014,"Cabbage, collard",greens (Brassica,1,9.42,0.80,8.62,0.03,45.82,0.81,0.55,58.30,89.66,2.98
,,oleracea var. viridi,s),,,,,,,,,,,
318,C015,"Cabbage, green (",Brassica oleracea,6,2.88±0.67,0.53±0.40,2.35±0.42,0.04±0.03,64.87±12.68,0.82±0.44,0.22±0.09,90.09±3.28,90.00±6.27,2.04±0.94
,,var. capitata f. alb,a),,,,,,,,,,,
,,,,,,,,,,,,,,
,C016,"Cabbage, violet (",Brassica oleracea,2,2.70,0.26,2.45,0.02,61.73,0.78,0.62,37.25,88.78,2.43
,,var. capitata f. rub,ra),,,,,,,,,,,
,,,,,,,,,,,,,,
,C017,Cauliflower leave,s (Brassica,6,172±25.8,10.10±1.36,162±25.5,,62.21±0.97,0.35±0.23,1.82±0.10,3.45±0.16,48.86±1.42,4.20±0.07
,,oleracea var. botry,tis),,,,,,,,,,,
,,,,,,,,,,,,,,
,C018,"Colocasia leaves,",green (Colocasia,6,701±112,208±13.2,492±105,,19.37±1.49,3.95±1.20,56.27±5.95,,212±3.0,
,,anti-quorum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,C019,Drumstick leaves,(Moringa oleifera),3,120±14.9,13.69±1.54,107±16.0,,19.22±2.39,,88.40±4.34,105±3.9,101±21.2,
,,,,,,,,,,,,,,
,C020,Fenugreek leaves,(Trigonella foenum,5,34.29±9.84,9.08±4.26,25.21±5.80,,32.26±11.71,8.41±1.41,130±1.8,189±1.8,16.47±2.19,
,,graecum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,C021,Garden cress (Le,pidium sativum),2,115,30.47,84.15,,7.13,5.64,85.23,,152,
,,,,,,,,,,,,,,
,C022,"Gogu leaves, gre",en (Hibiscus,4,177±13.2,33.01±3.67,144±14.4,7.51±0.90,3.99±1.24,11.56±1.04,40.77±5.23,102±0.8,25.25±1.54,
,,cannabinus),,,,,,,,,,,,
,,,,,,,,,,,,,,
,C023,"Gogu leaves, red",(Hibiscus,1,187,31.86,155,6.86,3.42,11.82,34.63,105,22.40,
,,cannabinus),,,,,,,,,,,,
,,,,,,,,,,,,,,
,C024,"Knol-Khol, leaves",(Brassica oleracea,2,2.92,1.88,1.04,,5.47,3.87,38.98,,26.96,
,,var. gongylodes),,,,,,,,,,,,
,,,,,,,,,,,,,,
,C025,Lettuce (Lactuca s,ativa),3,364±82.7,72.08±35.77,292±47.2,,9.24±0.60,1.99±0.15,63.28±2.19,12.74±1.73,60±3.3,
,,,,,,,,,,,,,,
,C026,Mustard leaves (B,rassica juncea),3,1.69±0.04,1.49±0.09,0.20±0.05,,4.62±0.95,4.07±0.86,0.68±0.32,,22.73±0.64,
