,,,,Total,Soluble,Insoluble,,,,,,,
,,,,,,,,mg,,,,,
,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
D031,Brinjal - all variet melongena),ies (Solanum,6,34.31±5.90,28.17±5.01,6.14±4.44,1.66±1.03,9.76±2.73,56.02±26.03,47.84±24.54,,9.26±1.10,15.52±5.06
D032,Broad beans (Vic,ia faba),3,20.25±1.21,5.81±2.00,13.00±1.34,,124±1.2,1.12±0.18,4.99±0.37,,,
D033,"Capsicum, green",(Capsicum annuum),6,19.12±1.47,6.83±1.34,2.29±1.07,,103±1.4,0.26±0.02,185±2.9,,250±6.3,
D034,"Capsicum, red (C",apsicum annuum),4,16.28±4.34,10.73±0.98,5.54±3.61,,33.39±9.88,0.41±0.11,116±8.2,5.10±2.99,151±40.3,
D035,"Capsicum, yellow annuum)",(Capsicum,4,18.07±2.72,11.03±1.22,7.04±3.82,,56.43±17.52,1.03±0.32,115±10.1,,127±19.5,
D036,Cauliflower (Bras,sica oleracea),6,9.82±1.49,1.88±0.83,7.95±1.59,0.25±0.05,104±1.8,4.60±0.68,11.04±0.87,4.94±0.81,282±5.6,4.25±2.38
D037,Celery stalk (Apiu,m graveolens),3,54.23±7.31,23.18±3.10,31.04±10.38,,158±3.4,,5.96±0.75,51.46±2.07,9.36±0.58,
D038,Cho-cho-marrow,(Sechium edule),4,1.55±0.45,1.14±0.41,0.41±0.20,0.13±0.02,60.10±4.56,,,37.30±4.21,32.49±3.30,0.51±0.26
D039,Cluster beans (C tetragonobola),yamopsis,6,16.49±1.45,8.55±0.23,8.58±1.10,0.03±0.01,92.19±1.95,1.36±0.56,6.02±1.12,45.46±1.06,227±1.8,
D040,"Colocasia, stem, antiquorum)",black (Colocasia,1,250,177,73.74,,20.30,4.65,296,,62.60,
D041,"Colocasia, stem, antiquorum)",green (Colocasia,5,229±48.1,172±14.4,64.37±37.16,,24.01±1.37,0.15±0.02,156±2.8,,96.99±1.38,
D042,"Corn, Baby(Zea",mays),6,9.22±3.75,4.94±3.44,4.27±0.69,0.29±0.00,21.14±15.00,4.15±2.34,,5.57±2.27,60.48±19.84,4.38±1.77
D043,"Cucumber, green (Cucumis sativus)",", elongate",6,12.13±1.56,2.28±0.05,9.84±1.58,,81.51±17.01,4.13±0.44,68.75±8.77,4.97±2.73,40.70±5.40,
D044,"Cucumber, green sativus)",", short (Cucumis",6,10.49±1.31,2.27±0.05,8.22±1.31,,60.82±11.41,3.50±0.55,67.07±5.09,3.38±1.81,47.40±6.19,
D045,"Cucumber, orang sativus)","e, round (Cucumis",2,11.55,2.31,9.24,,37.31,4.40,64.48,5.70,50.82,
D046,Drumstick (Morin,ga oleifera),6,123±8.5,66.98±5.99,55.82±3.91,16.31±2.04,72.33±14.95,44.83±1.95,406±2.7,29.95±5.10,60.96±12.76,130±6.5
D047,"Field beans, tend faba)","er, broad (Vicia",2,34.83,8.82,26.02,16.20,52.58,5.26,59.82,,,
D048,"Field beans, tend","er, lean (Vicia faba)",6,35.12±6.94,8.81±0.16,26.31±6.94,12.43±2.69,58.47±7.11,4.45±0.91,54.81±2.50,,,
D049,"French beans, co vulgaris)",untry (Phaseolus,5,36.01±7.98,4.02±0.04,31.99±7.99,14.40±0.61,92.41±12.43,13.53±1.34,67.01±0.85,,,
D050,"French beans, hy vulgaris)",brid (Phaseolus,2,36.97,4.88,32.09,12.60,81.10,14.40,68.60,,,
