T,,,,,,,,,,,,,,,
able,,,,,sn,,Oxalate,,Cis-Aconitic,Citric Acid F,umaric Acid,Mallic Acid,Quinic Acid S,uccinic Acid T,artaric Aci
9. Org,edoc,Foo,d Name,,oigeR,Total,Soluble,Insoluble,Acid,,,,,,
anic,doo,,,,fo,,,,,mg,,,,,
A,F,,,,.o,,,,,,,,,,
ci,,,,,N,,,,,,,,,,
ds,,,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
,,,,,,,,,,,,,,,
,D051,"Jack fruit, raw (A",rtocarpu,s,5,9.60±1.48,7.24±1.39,2.37±0.33,4.81±0.55,35.40±1.54,7.80±1.06,82.78±0.99,450±30.9,,
,,heterophyllus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D052,"Jack fruit, seed,",mature,(Artocarpus,5,38.51±7.16,31.03±2.98,7.48±4.68,1.72±0.57,19.76±1.49,7.51±0.64,82.47±1.71,427±37.5,,
,,heterophyllus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D053,Knol - Khol (Bras,sica ole,racea),6,2.92±0.96,1.88±0.55,1.04±0.41,,14.19±1.86,5.90±1.29,5.57±2.23,248±40.5,6.42±0.67,
,,,,,,,,,,,,,,,
,D054,"Kovai, big (Cocci",nia cord,ifolia),6,7.72±1.93,4.76±0.26,2.96±1.79,5.38±0.53,22.68±2.00,0.56±0.18,46.41±4.22,90.46±2.46,254±1.3,
,,,,,,,,,,,,,,,
,D055,"Kovai, small (Co",ccinia co,rdifolia),1,8.15,5.01,3.14,5.63,25.89,0.41,51.63,92.82,239.14,
,,,,,,,,,,,,,,,
,D056,Ladies finger (Ab,elmosc,hus,6,83.87±6.55,5.99±0.15,77.88±6.46,3.65±0.65,21.66±6.84,64.57±1.17,16.24±0.99,151±4.5,120±3.5,
,,esculentus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D057,"Mango, green, ra",w (Man,gifera indica),6,7.51±1.45,3.92±0.04,3.60±1.47,0.47±0.29,32.73±1.32,1.38±0.37,84.39±1.25,,,85.92±3.20
,,,,,,,,,,,,,,,
,D058,"Onion, stalk (Alli",um cepa,),6,29.72±6.15,22.72±7.76,7.00±2.16,,839±6.3,1.41±0.27,76.23±2.35,82.32±3.15,,
,,,,,,,,,,,,,,,
322,D059,"Papaya, raw (Car",ica pap,aya),6,9.38±1.31,4.77±0.56,4.69±0.77,2.51±0.52,28.85±0.71,2.05±0.10,57.46±3.88,31.63±1.71,22.61±0.12,
,,,,,,,,,,,,,,,
,D060,Parwar (Trichosa,nthes di,oica),6,3.24±0.72,1.56±0.19,1.58±0.25,,28.36±10.14,3.26±0.70,1.61±0.31,3.29±0.96,31.10±1.95,3.13±0.64
,,,,,,,,,,,,,,,
,D061,"Peas, fresh (Pisu",m sativu,m),6,18.42±1.34,14.18±1.03,4.65±0.69,0.15±0.02,,17.69±2.27,0.84±0.83,160±3.9,2.39±0.99,
,,,,,,,,,,,,,,,
,D062,"Plantain, flower",(Musa x,paradisiaca),6,169±23.5,129±7.4,39.91±21.86,0.05±0.01,57.65±5.95,2.04±0.54,13.04±1.14,,,
,,,,,,,,,,,,,,,
,D063,"Plantain, green (",Musa x,paradisiaca),6,85.25±9.52,49.83±2.70,35.42±11.56,0.13±0.03,35.87±3.43,1.27±0.54,33.35±1.74,12.62±1.49,,
,,,,,,,,,,,,,,,
,D064,"Plantain, stem (M",usa x p,aradisiaca),6,213±27.5,159±4.9,53.28±29.45,0.13±0.02,14.29±1.65,0.11±0.02,34.47±4.30,,,
,,,,,,,,,,,,,,,
,D065,"Pumpkin, green,",cylindr,ical,1,57.33,49.61,7.72,1.13,159,1.13,13.51,37.98,,
,,(Cucurbita maxim,a),,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D066,"Pumpkin, orang","e, roun",d (Cucurbita,6,41.22±10.34,35.84±11.23,5.38±1.93,1.59±0.33,33.32±14.78,1.35±0.31,3.34±1.11,,4.56±1.56,
,,maxima),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D067,"Red gram, tende","r, fresh",(Cajanus,1,19.83,19.29,0.54,,,28.36,0.77,5.19,0.76,5.60
,,cajan),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D068,Ridge gourd (Luf,fa acuta,ngula),6,29.55±4.23,1.22±0.10,28.33±4.20,0.07±0.01,152±4.8,11.35±1.54,12.36±1.46,32.05±1.81,,
,,,,,,,,,,,,,,,
,D069,"Ridge gourd, sm",ooth sk,in (Luffa,3,35.85±6.19,1.15±0.02,34.70±6.20,0.07±0.01,112±9.2,10.13±0.80,45.56±9.92,,,
,,acutangula),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D070,"Snake gourd, lon","g, pale",green,6,24.22±5.03,3.88±0.66,20.34±4.78,2.53±0.74,110±8.3,1.67±0.47,54.35±1.86,,,
,,(Trichosanthes an,guina),,,,,,,,,,,,
,,,,,,,,,,,,,,,
,D071,"Snake gourd, lon","g, dark",green,2,13.44,3.53,9.90,1.29,123,1.91,68.18,36.82,,
,,(Trichosanthes an,guina),,,,,,,,,,,,
