Ta,,,,,,,,,,,,,,
b,,,,,,Oxalate,,,,,,,,
le 9,e,,,sn,,,,Cis-Aconitic,Citric Acid F,umaric Acid,Mallic Acid,Quinic Acid S,uccinic Acid T,artaric Aci
. Org,doc,Food Nam,e,oigeR,Total,Soluble,Insoluble,Acid,,,,,,
anic,doo,,,fo,,,,,mg,,,,,
A,F,,,.o,,,,,,,,,,
ci,,,,N,,,,,,,,,,
ds,,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
,,,,,,,,,,,,,,
,E053,Pineapple (Ananas co,mosus),6,3.39±0.60,2.55±0.10,0.84±0.61,4.89±0.95,605±11.3,0.04±0.01,92.39±1.61,3.71±0.69,4.89±0.95,
,,,,,,,,,,,,,,
,E054,Plum (Prunus domesti,ca),3,0.74±0.13,0.19±0.13,0.70±0.13,87.64±7.75,62.32±11.93,0.83±0.21,96.33±14.39,,87.64±7.75,
,,,,,,,,,,,,,,
,E055,"Pomegranate, maroon",seeds,6,253±53.6,178±52.9,75.75±13.77,,1239±8.9,0.05±0.01,123±2.0,5.94±0.76,,0.39±0.19
,,(Punica granatum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E056,Pummelo (Citrus maxi,ma),3,16.25±5.51,8.78±3.02,7.47±2.62,,2013±0.0,0.84±0.00,74.78±0.00,,,
,,,,,,,,,,,,,,
,E057,"Raisins, dried, black (",Vitis vinifera),6,10.71±1.36,5.24±0.75,5.47±1.00,5.89±1.11,24.92±1.60,1.13±0.20,61.00±9.45,63.62±8.66,5.89±1.11,
,,,,,,,,,,,,,,
,E058,"Raisins, dried, golden",(Vitis vinifera),6,10.90±4.02,5.32±0.72,5.86±3.60,5.43±1.52,17.47±4.66,0.23±0.06,33.86±3.60,338±8.7,5.43±1.52,
,,,,,,,,,,,,,,
,E059,Rambutan (Nephelium,lappaceum),1,1.89,1.24,0.65,,12.65,1.77,,,,
,,,,,,,,,,,,,,
,E060,Sapota (Achras sapota),,6,8.97±2.09,6.68±2.67,2.28±0.75,440±3.7,355±4.2,3.26±1.10,17.94±1.68,44.00±0.88,440±3.7,
,,,,,,,,,,,,,,
,E061,Soursop (Annona muri,cata),1,1.07,0.31,0.76,,12.33,,,,,2.25
3,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
,E062,Star fruit (Averrhoa car,ambola),1,1.23,0.97,0.26,0.15,886,1.23,,,0.15,
,,,,,,,,,,,,,,
,E063,Strawberry (Fragaria a,nanassa),6,2.04±0.44,1.50±0.37,0.52±0.32,,0.11±0.11,0.19±0.07,2.55±1.35,,0.82±0.14,
,,,,,,,,,,,,,,
,E064,"Tamarind, pulp (Tamar",indus indicus),6,48.91±16.19,21.42±1.80,27.50±16.79,,0.06±0.02,0.18±0.03,2.81±1.16,,0.80±0.26,12.25±2.11
,,,,,,,,,,,,,,
,,"Water melon, dark gre",en (sugar,6,0.72±0.40,0.47±0.35,0.25±0.18,0.92±0.04,47.35±2.04,14.58±0.90,7.27±0.46,,,
,E065,baby) (Citrullus vulgaris,),,,,,,,,,,,
,,,,,,,,,,,,,,
,E066,"Water melon, pale gre",en (Citrullus,6,0.55±0.31,0.31±0.19,0.24±0.13,0.86±0.07,52.65±3.06,15.18±1.06,7.55±1.04,,,
,,vulgaris),,,,,,,,,,,,
,,,,,,,,,,,,,,
,E067,Wood Apple (Limonia a,cidissima),3,55.80±8.41,7.91±0.35,47.88±8.06,0.26±0.03,257±6.4,0.65±0.11,13.83±1.00,4.86±1.00,18.49±0.93,2.90±0.47
,,,,,,,,,,,,,,
,E068,Zizyphus(Zizyphus juju,be),1,2.89,1.33,1.56,,19.93,1.37,1.21,141,89.70,129
,,,,,,,,,,,,,,
,F,ROOTS AND TU,BERS,,,,,,,,,,,
,,,,,,,,,,,,,,
,F001,Beet root (Beta vulgaris,),6,71.37±13.10,30.15±1.79,41.21±12.20,45.43±3.34,134±16.2,0.02±0.01,0.33±0.18,,0.29±0.12,
,,,,,,,,,,,,,,
,F002,"Carrot, orange (Dacus",carota),6,17.45±6.32,12.63±5.24,4.82±4.30,37.50±1.80,222±11.2,5.62±0.33,4.83±1.42,,5.58±1.00,
,,,,,,,,,,,,,,
,F003,"Carrot, red (Dacus caro",ta),4,16.41±7.00,15.43±7.09,0.98±0.09,39.15±2.74,105±0.8,,5.01±1.22,,5.13±0.01,
