T,,,,,,,,,,,,,,
able,,,,sn,,Oxalate,,Cis-Aconitic,,,,,,
9.,ed,,,oi,,,,Acid,Citric Acid F,umaric Acid,Mallic Acid,Quinic Acid S,uccinic Acid,Tartaric Acid
Org,oc,Fo,od Name,geR,Total,Soluble,Insoluble,,,,,,,
anic,doo,,,fo,,,,,mg,,,,,
A,F,,,.o,,,,,,,,,,
ci,,,,N,,,,,,,,,,
ds,,,,,,,,,CITAC,FUMAC,MALAC,,SUCAC,TARAC
,,,,,,,,,,,,,,
,H007,"Coconut, kerne","l, fresh (Cocos",6,3.44±1.52,1.68±0.33,1.76±1.33,1.71±0.75,1.82±0.20,,15.15±0.49,,119±1.4,
,,nucifera),,,,,,,,,,,,
,,,,,,,,,,,,,,
,H008,"Garden cress,",seeds (Lepidium,5,60.04±5.04,33.30±5.55,26.74±2.45,,2.08±1.11,1.73±0.25,94.12±1.04,,25.42±2.35,0.84±0.09
,,sativum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,H009,Gingelly seeds,", black (Sesamum",6,2156±199,78.58±5.76,2078±200,0.22±0.03,4.56±2.11,1.77±0.32,,10.45±0.15,104±2.5,3.84±0.89
,,indicum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,H010,Gingelly seeds,", brown (Sesamum",4,2030±794,83.13±4.87,1947±792,0.64±0.09,54.18±16.15,3.27±0.46,34.68±1.45,11.90±3.25,10.72±1.12,139±12.7
,,indicum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,H011,Gingelly seeds,", white (Sesamum",5,2004±123,73.51±3.34,1931±122,0.77±0.06,56.42±2.93,0.42±0.04,0.12±0.01,,,93.82±1.11
,,indicum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,H012,Ground nut (Ar,achis hypogea),6,60.98±11.01,39.67±3.31,21.31±10.21,,61.34±11.36,1.05±0.38,6.21±0.77,12.48±0.64,9.70±1.98,154±7.8
,,,,,,,,,,,,,,
,H013,Mustard seeds,(Brassica juncea),6,6.92±1.59,5.28±0.21,1.64±1.65,,67.49±13.38,0.39±0.04,16.04±0.64,14.12±0.72,5.95±0.53,149±2.2
,,,,,,,,,,,,,,
,H014,Linseeds (Linu,m usitatissimum),6,5.85±1.00,1.91±0.34,3.95±1.09,,9.73±0.53,7.06±1.03,11.46±2.65,,1.87±0.19,
3,,,,,,,,,,,,,,
30,,"Niger seeds, bl",ack (Guizotia,,,,,,,,,,,
,H015,abyssinica),,4,1913±123,93.94±12.22,1819±134,0.35±0.08,102±3.7,,41.54±2.58,,41.73±2.64,371±2.9
,,,,,,,,,,,,,,
,H016,"Niger seeds, gr",ay (Guizotia,5,1544±224,90.22±3.55,1453±222,0.74±0.03,343±4.5,,13.80±1.99,,,
,,abyssinica),,,,,,,,,,,,
,,,,,,,,,,,,,,
,H017,Pine seed (Pinu,s gerardiana),5,159±19.3,94.00±4.91,64.99±15.30,,15.26±0.52,23.06±0.60,,,34.32±1.13,
,,,,,,,,,,,,,,
,H018,Pistachio nuts,(Pistacla vera),6,46.42±7.95,22.88±2.45,23.54±7.90,,3.24±0.34,1.22±0.21,139±3.6,53.79±2.27,6.12±0.37,4.21±1.04
,,,,,,,,,,,,,,
,H019,Safflower seed,s (Carthamus,5,215±27.2,92.57±6.98,122±33.5,,1.95±0.53,1.94±0.93,133±7.0,25.63±0.79,9.02±0.62,5.67±0.64
,,tinctorius),,,,,,,,,,,,
,,,,,,,,,,,,,,
,H020,Sunflower seed,s (Helianthus annuus),5,23.70±5.39,6.13±0.72,17.57±5.94,,33.42±1.26,1.46±0.23,7.47±1.05,,0.60±0.05,57.95±9.16
,,,,,,,,,,,,,,
,H021,Walnut (Juglan,s regia),6,37.03±9.41,27.31±4.89,9.72±5.45,3.33±0.85,15.32±0.80,,24.59±0.82,,279±3.7,81.29±11.73
,,,,,,,,,,,,,,
,I,SUGARS,,,,,,,,,,,,
,,,,,,,,,,,,,,
,I001,"Jaggery, cane (",Saccharum,6,,,,,5.24±1.14,3.31±0.70,36.91±1.90,60.69±2.73,46.62±2.59,3.21±0.98
,,officinarum),,,,,,,,,,,,
,,,,,,,,,,,,,,
,I002,"Sugarcane, juic",e (Saccharum,6,,,,,3.55±1.01,,2.04±0.49,132±6.2,459±5.4,
,,officinarum),,,,,,,,,,,,
