,,,Total,Soluble,Insoluble,,,,,
,,,,,,,mg,,,
,,,,,,,CITAC,FUMAC,MALAC,SUCAC
J,MUSHROOMS,,,,,,,,,
J001,"Button mushroom, fresh (Agaricus sp.)",1,10.23,2.46,7.77,,5.61,0.81,3.50,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,12.56,3.55,9.01,,6.48,0.97,3.96,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,15.84,4.12,11.72,,6.25,0.76,3.25,
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,20.65,6.34,14.31,,6.97,0.86,3.04,
,,,,,,,,,,
K,MISCELLANEOUS FOODS,,,,,,,,,
K001,Toddy,10,,,,,,0.03±0.01,,
K002,Coconut Water,6,,,,0.82±0.07,,1.74±0.92,,124±15.5
,,,,,,,,,,
L,MILK AND MILK PRODUCTS,,,,,,,,,
L001,"Milk, whole, Buffalo",6,,,,,,,,
L002,"Milk, whole, Cow",6,,,,,,,,
L003,Panner,6,,,,,5.21±0.82,,64.28±2.59,1.42±0.22
L004,Khoa,6,,,,,25.26±1.48,1.12±0.23,1.43±0.19 651±10.2,6.99±0.76
