edoc dooF,Food Na,me,snoigeR fo .oN,Quercetin-3- β‐ Isoramnetin Myricetin Resvertrol galactoside,Hesperetin Naringenin Hesperdin Daidzein Genistein,(-)- Epicatechin
,,,,,mg,
,,,,,HESPT HESPD DAIDZN GNSTEIN,EPICATEC
A,CEREALS AND MI,LLETS,,,,
A001,"Amaranth seed, black (A cruentus)",maranthus,1,,,
A002,"Amaranth seed, pale bro cruentus)",wn (Amaranthus,6,,,
A003,Bajra (Pennisetum typhoi,deum),6,0.30±0.04,,
A004,Barley (Hordeum vulgare),,6,,,
A005,Jowar (Sorghum vulgare),,6,,,
A006,"Maize, dry (Zea mays)",,6,,,
A007,"Maize, tender, local (Zea",mays),6,,,
A008,"Maize, tender, sweet (Ze",a mays),4,,,
A009,Quinoa(Chenopodium qui,noa),1,4.30,,
A010,Ragi (Eleusine coracana),,5,,,
A011,Rice flakes (Oryza sativa,),6,,,
A012,Rice puffed (Oryza sativa,),6,,,
A013,"Rice, raw, brown (Oryza",sativa ),6,,,
A014,"Rice, parboiled, milled (",Oryza sativa ),6,,,
A015,"Rice, raw, milled (Oryza",sativa ),6,,,
A016,Samai (Panicum miliare),,6,,,
A017,Varagu (Setaria italica),,5,,,
A018,"Wheat flour, refined (Triti",cum aestivum),6,,,
