Ta,,,,,,,,,,
ble,,,,,(-)- Epigallo s (-)- Epigallo,(-),(-),,,Total
10.,ed,,,,noi catechin (+)-Catechin catechin,Gallocatechin,Gallo S,yringic acid Si,napinic acid Ellagic acid,polyphenols
Pol,oc,,Food Nam,e,geR 3-gallate,gallate,catechin,,,
yphe,doo,,,,fo,,mg,,,
n,F,,,,.o,,,,,
ols,,,,,N,,,,,
,,,,,EPICATEGC,,,,,
,,,,,,,,,,
,A019,"Wheat flour,",atta (Triticum,aestivum),6,,,0.04±0.01,0.13±0.02,13.98±2.54
,,,,,,,,,,
,A020,"Wheat, whol",e (Triticum aes,tivum),6,,,0.07±0.01,0.12±0.02,14.33±1.76
,,,,,,,,,,
,A021,"Wheat, bulg",ur (Triticum ae,stivum),6,,,0.06±0.02,0.11±0.01,9.53±1.40
,,,,,,,,,,
,A022,"Wheat, semo",lina (Triticum,aestivum),6,,,0.03±0.01,0.04±0.01,6.50±1.30
,,,,,,,,,,
,A023,"Wheat, verm",icelli (Triticum,aestivum),6,,,0.03±0.01,0.03±0.01,5.55±0.34
,,,,,,,,,,
,A024,"Wheat, verm","icelli, roasted",(Triticum,6,,,0.02±0.00,0.02±0.01,7.37±0.57
,,aestivum),,,,,,,,
,,,,,,,,,,
,B,GRAIN L,EGUMES,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,B001,Bengal gram,", dal (Cicer ar",ietinum),6,,,5.68±1.07,,14.13±0.67
42,,,,,,,,,,
,B002,Bengal gram,", whole (Cice",r arietinum),6,,,6.00±0.57,,64.28±3.08
,,,,,,,,,,
,B003,"Black gram,",dal (Phaseolu,s mungo),6,,,,0.26±0.04,32.43±6.76
,,,,,,,,,,
,B004,"Black gram,",whole (Phase,olus mungo),6,,,,1.55±0.23,168±5.4
,,,,,,,,,,
,B005,"Cowpea, bro",wn (Vigna cat,jang),6,,,,,59.65±5.21
,,,,,,,,,,
,B006,"Cowpea, whi",te (Vigna catj,ang),1,,,,,63.57
,,,,,,,,,,
,B007,"Field bean, b",lack (Phaseo,lus vulgaris),1,,,,,180
,,,,,,,,,,
,B008,"Field bean, b",rown (Phase,olus vulgaris),1,,,,,172
,,,,,,,,,,
,B009,"Field bean,",white (Phaseo,lus vulgaris),5,,,,,170±6.2
,,,,,,,,,,
,B010,"Green gram,",dal (Phaseolu,s aureus),6,,,,,6.44±0.53
,,,,,,,,,,
,B011,"Green gram,",whole (Phas,eolus aureus),6,,,,,90.74±5.49
,,,,,,,,,,
,B012,"Horse gram,",whole (Dolicu,s biflorus),6,,,,,332±27.7
,,,,,,,,,,
,B013,Lentil dal (Le,ns culinaris),,6 0.06±0.02 0.11±0.02,,0.03±0.01,,7.17±0.74 4.10±1.57,14.94±2.10
