Tabl,,,,,,,,,,Apigenin-7-,,,,Quercetin-3-,Quercetin-3-
e 1,,,,,sn,Chlorogenic,,,Apigenin-6-,O-,,,,β- D-,
0. Po,edoc,,,,oige,F acid,erulic acid,Apigenin,C-gluoside,neohesperid oside,Luteolin,Kaempferol,Quercetin,glucoside,O- rutinoside
lyph,doo,Fo,o,d Name,R fo,,,,,m,g,,,,
en,F,,,,.o,,,,,,,,,,
ol,,,,,N,,,,,,,,,,
s,,,,,,CHLRAC,FERAC,APIGEN,,,LUTEOL,KAEMF,QUERCE,,
,,,,,,,,,,,,,,,
,B014,"Lentil whole, bro",w,n (Lens culinaris),6,,0.08±0.01,0.72±0.07,0.20±0.04,0.24±0.08,0.12±0.01,0.84±0.13,1.42±0.19,,1.28±0.09
,,,,,,,,,,,,,,,
,B015,"Lentil whole, yell",o,wish (Lens culinaris),2,2.56,0.12,0.05,0.17,0.22,0.09,0.61,1.46,,1.21
,,,,,,,,,,,,,,,
,B016,Moth bean (Vigna,a,conitifolia),6,2.56±0.86,,,,,,,,,
,,,,,,,,,,,,,,,
,B017,"Peas, dry (Pisum",sa,tivum),6,2.08±0.54,,,,,1.68±0.32,,,,
,,,,,,,,,,,,,,,
,B018,"Rajmah, black (P",ha,seolus vulgaris),2,5.66,,,,28.35,5.90,2.30,,,
,,,,,,,,,,,,,,,
,B019,"Rajmah, brown (P",h,aseolus vulgaris),6,6.12±1.25,,,,,4.86±0.82,2.58±0.17,,,
,,,,,,,,,,,,,,,
,B020,"Rajmah, red (Pha",se,olus vulgaris),3,5.93±0.22,,,,,4.76±0.96,2.76±0.33,,,
,,,,,,,,,,,,,,,
,B021,"Red gram, dal (Ca",j,anus cajan),6,,0.05±0.01,0.40±0.13,,,0.05±0.01,,,,2.87±0.16
,,,,,,,,,,,,,,,
,B022,"Red gram, whole",(C,ajanus cajan),6,,0.12±0.02,1.50±0.23,,,1.16±0.25,,,,8.32±0.85
34,,,,,,,,,,,,,,,
4,B023,Ricebean (Vigna u,m,bellata),1,,0.32,0.01,,,0.01,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,B024,"Soya bean, brown",,(Glycine max),6,2.52±0.28,8.23±0.11,1.77±0.33,,,,1.67±0.20,1.47±0.57,1.47±0.09,6.51±0.25
,,,,,,,,,,,,,,,
,B025,"Soya bean, white",(,Glycine max),1,2.45,7.42,2.47,,,,1.47,1.41,1.58,5.93
,,,,,,,,,,,,,,,
,C,GREEN LEA,F,Y VEGETABLES,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C001,Agathi leaves (Se,s,bania grandiflora),1,10.90,0.35,0.84,,,0.25,0.42,0.51,,
,,,,,,,,,,,,,,,
,C002,"Amaranth leaves,",g,reen (Amaranthus,6,1.82±0.76,1.59±0.50,,,,,,,7.93±0.95,
,,gangeticus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C003,"Amaranth leaves,",r,ed (Amaranthus,1,1.25,2.41,,,,,,,7.91,
,,gangeticus),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,C004,"Amaranth leaves,",r,ed and green,4,2.07±0.30,1.69±0.36,,,,,,,8.35±0.49,
,,(Amaranthus gang,et,icus),,,,,,,,,,,
,,,,,,,,,,,,,,,
,C005,Amaranth spinos,u,"s, leaves, green",4,1.97±0.77,,,,,,0.74±0.20,1.47±0.10,,
,,(Amaranthus spino,s,us),,,,,,,,,,,
,C006,Amaranth spinos,u,"s, leaves, red and",2,2.67,,,,,,0.89,1.70,,
,,green (Amaranthu,s,spinosus),,,,,,,,,,,
,,,,,,,,,,,,,,,
,C007,Basella leaves (B,as,ella alba),2,1.12,0.41,2.65,,,,,,,
